word,question,generated,expected
"Nov 4, 2025","When was Dorcey Applyrs elected to serve as the Mayor of Albany, New York?","Nov 4, 2025","Nov 4, 2025"
Manta,"Discovered off the coast of Mexico, the newly identified Mobula yarae is a species of which sea creature?",Manta,Manta
Bitcoin,"In early October 2025 markets coverage about an all-time high above $125,000, what asset was being discussed?",Bitcoin was the asset reported to have reached a record price level.,Bitcoin was the asset reported to have reached a record price level.
Lewis Hamilton,Who finished the 2025 Formula 1 season in third place immediately before transferring to Ferrari?,It was Lewis Hamilton.,It was Lewis Hamilton.
Expo 2025 Osaka,"What global exhibition officially closed its doors in Japan on October 13, 2025?",Expo 2025 Osaka,Expo 2025 Osaka
Resignation,Coverage describing a leader’s decision to step aside used what single word?,The Resignation was reported as a significant political turning point.,The Resignation was reported as a significant political turning point.
Tron: Ares,Nine Inch Nails composed the soundtrack for the sci-fi sequel released in October titled ___?,Tron: Ares,Tron: Ares
US election,The gubernatorial races in Virginia and New Jersey were analyzed as temperature checks following the ___?,US election,US election
Stranger Things,"Finn Wolfhard described the final table read for which series as ""heartbreaking""?",The series is Stranger Things.,The series is Stranger Things.
GTA,The massive drop in Take-Two's stock price was caused by the delay of the sixth installment of Grand Theft... what?,It was GTA.,It was GTA.
Resignation,"On Oct. 6, 2025, Reuters reported that France’s newly appointed prime minister and government stepped down only hours after naming a cabinet; what one word describes that act of stepping down?",The word that described that act is a Resignation.,Resignation was reported after the newly appointed government stepped down within hours. (Reuters)
Earthquake,Reports about a deadly tremor in 2025 referred to the event by what single word?,The Earthquake was the central event in discussions about deadly tremors for that year.,The Earthquake was the central event described in the disaster coverage.
Butterfly,Coverage about the UK’s annual insect survey referenced which insect by name?,Butterfly counts were used as an indicator of habitat health.,Butterfly counts were used as an indicator of habitat health.
Drone,"New ""Edge AI"" processing allows UAVs to detect anomalies in real-time without cloud connectivity, advancing the field of ___?",Drone,Drone
Switch,Metroid Prime 4: Beyond was confirmed as a flagship title for the successor to the Nintendo ___?,Switch,Switch
Dua Lipa,"In December 2025 reporting about a Mexico City fan event tied to a tour stop, what performer’s name was highlighted?",Dua Lipa was the performer celebrated at the Mexico City pop-up event.,Dua Lipa was the performer celebrated at the Mexico City pop-up event.
The Bear,Hulu confirmed the fourth season of the kitchen-based drama ___?,The Bear,The Bear
James Solomon,"On November 4, 2025, who was elected to serve as the Mayor of Jersey City?",James Solomon,James Solomon
Labubu,A late-December Financial Times report described a Chinese toymaker accelerating overseas expansion amid concerns its viral plush character might be peaking; what character was it?,Labubu was the viral plush character driving the company’s expansion push. (Financial Times),Labubu was the viral plush character driving the company’s expansion push. (Financial Times)
Taylor Swift,"The artist who released a surprise ""Acoustic Collection"" album in November is ___?",Taylor Swift,Taylor Swift
Yellowstone,Reporting about upcoming related series referenced the original franchise title—what was it?,Yellowstone was the franchise title cited in the spinoff coverage.,Yellowstone was the franchise title cited in the spinoff coverage.
Pixel,"In late-summer 2025, Google announced a new flagship handset line—what was the product name used in headlines?",Pixel was the brand name used for Google’s new handset launch.,Pixel was the product name used for Google’s new handset launch.
Pedro Pascal,The actor currently filming the third season of The Last of Us in Vancouver is... who?,The actor is Pedro Pascal.,The actor is Pedro Pascal.
Resignation,"On October 27, 2025, CBS News anchor John Dickerson announced his departure from the network, a move classified as a ___?",Resignation,Resignation
Eruption,"The Telica volcano in Nicaragua began spewing ash and gas in July 2025, marking the start of a new... what?",It was an eruption.,It was an eruption.
The White Lotus,Reporting about prestige-TV nominations repeatedly referenced one resort-set series—what was it called?,The White Lotus was the series name referenced in those reports.,The White Lotus was the series name referenced in those reports.
Phone,A July 2025 study commissioned by a European government reported better student focus after restricting a common handheld communications device at school; what device was restricted?,Phone restrictions were linked to improved classroom focus in the study.,Phone restrictions were linked to improved classroom focus in the study.
Forest,"In the Premier League match at the City Ground, Everton FC faced the club from Nottingham known as... what?",They faced Nottingham Forest.,They faced Nottingham Forest.
Glastonbury,Organizers announced a ban on disposable vapes for the upcoming edition of the music festival ___?,Glastonbury,Glastonbury
Resignation,"In late-December 2025 political reporting about a leader stepping down from a role, what one-word label describes that action?",The Resignation was reported.,The Resignation triggered immediate questions about succession and stability.
Nintendo Switch,"In late-2025 coverage about next-gen plans and compatibility, what current hybrid console name kept appearing?",Nintendo Switch was repeatedly cited as the benchmark console for future hybrid designs.,Nintendo Switch was repeatedly cited as the baseline console for compatibility.
Outage,"On October 20, 2025, AWS experienced a massive service disruption in the US-EAST-1 region, an event technically described as an ___?",Outage,Outage
Windows,"In 2025 coverage about update channels and support timelines, what operating system name anchored the discussion?",Windows was the operating system cited in the support and update discussions.,Windows was the platform discussed in the support and update notes.
Oasis,Which group behind “Wonderwall” was reported to be returning for headline concerts in 2025?,Oasis was the band reported to be returning to the stage.,Oasis was the band reported to be returning to the stage.
Zoe Saldaña,The actress portraying the warrior Neytiri in the third film of the Avatar saga is ___?,Zoe Saldaña,Zoe Saldaña
Worm,The absence of which specific decomposer in low-oxygen waters prevented the expected breakdown of whale bones in a recent study?,Worm,Worm
Resignation,"Citing concerns over editorial independence, a high-profile CBS journalist formally submitted his ___?",Resignation,Resignation
Nobel Peace Prize,A diplomatic figure was controversially snubbed for the 2025 iteration of the ___?,Nobel Peace Prize,Nobel Peace Prize
Minecraft Movie,"In late-2025 film-industry coverage about a major game adaptation and its release strategy, what title was used?",Minecraft Movie was the title referenced in coverage of the adaptation.,Minecraft Movie was the title referenced in coverage of the adaptation.
Coco Gauff,Coverage discussing a high-profile U.S. tennis player’s results repeatedly used one name—who was it?,It was Coco Gauff.,Coco Gauff was the name most frequently cited in the reports.
Outage,"Snapchat received 3 million user reports during the Amazon Web Services failure, which was labeled the largest internet ___ of the year.",Outage,Outage
Cybercab,The steering-wheel-free autonomous vehicle tested by Tesla in San Francisco is named the ___?,Cybercab,Cybercab
Cybercab,"In late October 2025, Tesla debuted a new autonomous-vehicle concept in Shanghai; what name did it give the model?",Cybercab was the name Tesla used for the debuted concept.,Cybercab was the name Tesla used for the debuted concept.
Coco Gauff,"In September 2025, which American tennis player won the US Open women’s singles title according to match coverage?",Coco Gauff won the title in the coverage.,Coco Gauff won the title in the coverage.
Coco Gauff,"The athlete who defended their title at the US Open, winning a second Grand Slam at Arthur Ashe Stadium, is ___?",Coco Gauff,Coco Gauff
Super Bowl,Reporting about the headline entertainment slot for the NFL title game referenced what two-word event name?,Super Bowl,Super Bowl was the event referenced as the centerpiece broadcast.
wind,"In Reuters coverage of Typhoon Wipha’s impact on Hong Kong, the city’s weather authorities downgraded the warning to a “No. 3” signal; what specific hazard did that signal explicitly refer to?",Reuters reported that the downgrade was to the “No. 8 South China Sea gale or storm signal.” (Reuters),Reuters reported that the downgrade was to the “No. 3 strong wind signal.” (Reuters)
Oasis,"In July 2025, which Britpop band’s reunion shows were confirmed after years of speculation?",Oasis confirmed reunion performances scheduled for 2025.,Oasis confirmed reunion performances scheduled for 2025.
Steam Deck 2,"Ahead of CES 2026, Valve downplayed rumors of a new handheld; what name do fans commonly use for a hypothetical second-generation device?",Steam Deck 2 is the fan shorthand for the hypothetical successor.,Steam Deck 2 is the fan shorthand for the hypothetical successor.
Manta,Reporting about newly recognized giant-ray species referenced what one-word group label?,Manta,Manta was the label used to describe the ray group in the announcement.
Recall,"The FDA's removal of contaminated ""Prepared Pasta Meals"" from stores in late 2025 is an example of a product... what?",It is a product recall.,It is a product recall.
Manta,"The ""Atlantic"" variety of this large marine ray was officially described as a distinct species after DNA testing.",Manta,Manta
Ariana Grande,"The artist who topped the music charts with the ballad ""For Good"" from a movie soundtrack is... who?",The artist is Ariana Grande.,The artist is Ariana Grande.
Taylor Swift,High NFL viewership for Chiefs games is attributed to the attendance of... whom?,It is attributed to Taylor Swift.,It is attributed to Taylor Swift.
"July 2, 2025",When was Eliyahu Baruchi sworn in as a member of Knesset for the United Torah Judaism party?,"July 10, 2025","July 2, 2025"
GTA,"The ""Leonida"" setting was confirmed for the sixth main entry in the franchise ___?",GTA,GTA
Butterfly,"Reuters reported that a sanctuary in central Mexico opened to visitors in late November 2025, offering a chance to see millions of orange-hued insects clustered on oyamel fir trees; what insect was it?",Butterfly season in Mexico began in late November.,Butterfly season in Mexico drew visitors to sanctuaries to see migrating monarchs clustered on fir trees. (Reuters)
Tron: Ares,"The visual aesthetic of ""red light"" was highlighted in the latest installment of the franchise... what?",The franchise is Tron: Ares.,The franchise is Tron: Ares.
Ariana Grande,Who hosted the season finale of Saturday Night Live to promote the R.E.M. Beauty line?,The host was Ariana Grande.,The host was Ariana Grande.
"December 1–5, 2025",When did the global cloud computing conference AWS re:Invent take place in Las Vegas?,"December 1–5, 2025","December 1–5, 2025"
Category,"""Melissa"" was designated a ""___ 5"" storm, the highest rating on the Saffir-Simpson scale.",Category,Category
Shrek 5,Eddie Murphy confirmed he finished voice work for the upcoming sequel ___?,Shrek 5,Shrek 5
Recall,"On Dec. 23, 2025, Reuters reported that Amazon-owned Zoox would bring 332 self-driving vehicles back to address a software issue cited by U.S. regulators; what term did the report use for that action?",Recall,Recall was the term used for Zoox bringing 332 vehicles back to address the software issue. (Reuters)
Andre Dickens,"On November 4, 2025, who was re-elected to serve as the Mayor of Atlanta?",Andre Dickens,Andre Dickens
Minecraft Movie,"In 2025 box-office reporting, what video-game adaptation was described as approaching a major global revenue milestone?",Minecraft Movie was the adaptation described as nearing the milestone.,Minecraft Movie was the adaptation described as nearing the milestone.
Wanda Williams,"On November 4, 2025, who was elected to serve as the Mayor of Harrisburg, Pennsylvania?",Wanda Williams,Wanda Williams
Strike,Trash pickup in Philadelphia ceased for a week when municipal employees walked off the job in a major labor ___?,Strike,Strike
Severance,"The ""waffle party"" twist was a major talking point in the season premiere of the series... what?",The series is Severance.,The series is Severance.
Uri Maklev,"On July 16, 2025, who entered the Knesset to serve in the United Torah Judaism faction?",Uri Maklev,Uri Maklev
Nobel Peace Prize,The ceremony on December 10th in Oslo honored the recipients of the humanitarian award... what?,The award is the Nobel Peace Prize.,The award is the Nobel Peace Prize.
Jacob Frey,"On November 4, 2025, who was re-elected to serve as the Mayor of Minneapolis?",Jacob Frey,Jacob Frey
Spider-Man 4,Tom Holland confirmed filming begins next summer for the sequel ___?,Spider-Man 4,Spider-Man 4
Meir Porush,"On July 17, 2025, who re-entered the Knesset to replace Moshe Roth in the UTJ faction?",Meir Porush,Meir Porush
Artemis II,"In late September 2025, NASA said it completed key work on the core stage for which upcoming crewed lunar mission?",Artemis II was the mission referenced in the update.,Artemis II was the mission referenced in the update.
Category,"In reports describing the storm’s intensity rating, what term introduced the numeric level (e.g., “5”)?",The storm was described using the term hurricane scale with the storm rated a 5 using the Saffir-Simpson scale.,The storm was described using the term Category to label its level.
Art Basel Miami,"What international art fair took place in Miami Beach from December 4 to December 7, 2025?",Art Basel Miami,Art Basel Miami
Slushy,Coverage of a food-authority product notice involved a frozen flavored drink—what was it broadly described as?,The notice was for Slushy Treats Fruit Slushy Mix?,The notice described a Slushy-style drink as the affected product type.
Corey O'Connor,"On November 4, 2025, who was elected to serve as the Mayor of Pittsburgh?",Corey O'Connor,Corey O'Connor
Cybercab,Texas regulators approved the first fully driverless fleet of the Tesla vehicle called the ___?,Cybercab,Cybercab
"Sept 13–21, 2025",When did the World Athletics Championships take place in Tokyo?,"Sept 13–21, 2025","Sept 13–21, 2025"
Lewis Hamilton,"The driver photographed in Maranello for a seat fitting with the ""Prancing Horse"" team is... who?",The driver is Lewis Hamilton.,The driver is Lewis Hamilton.
Starship,"In late-2025 coverage of SpaceX testing and investigations, what vehicle name was repeatedly referenced?",Starship was the vehicle name referenced in the testing coverage.,Starship was the vehicle name referenced in the testing coverage.
IFA Berlin,"What consumer electronics trade show took place in Germany from September 5 to September 9, 2025?",IFA Berlin,IFA Berlin
Cillian Murphy,Reporting about the “Peaky Blinders” movie emphasized the return of its lead—who was it?,Cillian Murphy was the returning lead mentioned in the coverage.,Cillian Murphy was the returning lead mentioned in the coverage.
Neuralink,"The ""Blindsight"" chip, designed to restore vision, received FDA designation for the company ___?",Neuralink,Neuralink
Squid Game,"The ""Red Light, Green Light"" doll returned in the promotional teaser for the new season of ___?",Squid Game,Squid Game
Tariff,"On August 7, 2025, additional country-specific import duties were implemented, expanding the scope of the existing... what?",They expanded the scope of the existing Tariffs.,They expanded the tariff.
Spotify Wrapped,Bad Bunny and Taylor Swift were named top global artists in the year-end music summary known as ___?,Spotify Wrapped,Spotify Wrapped
Spider-Man 4,"In late-December 2025 reporting about the next Tom Holland Marvel sequel and a new cast addition, what shorthand label was used?",Spider-Man 4 was the shorthand label used for the upcoming sequel.,Spider-Man 4 was the shorthand label used for the upcoming sequel in coverage.
Drone,"In Reuters coverage of the Thailand–Cambodia truce published Dec. 30, 2025, Thailand cited suspected breaches involving a specific type of unmanned aircraft; what was it?",Drone use was cited as a suspected breach that prevented the originally planned press conference from happening. (Reuters),Drone use was cited by Thailand as a suspected breach that delayed the planned prisoner release. (Reuters)
Real Madrid,The team that announced plans to host an NFL game at the Santiago Bernabéu stadium is... who?,The team is Real Madrid.,The team is Real Madrid.
Slushy,"The viral kitchen gadget released in late 2025 is officially named the ""Ninja ___ Professional Frozen Drink Maker.""",Slushy,Slushy
The White Lotus,"Mike White stated the new season would focus on ""death and Eastern religion"" for the series... what?",The series is The White Lotus.,The series is The White Lotus.
iPhone,Reports about Apple’s fall 2025 keynote centered on a new handset family—what was it called?,The iPhone was the headline product line discussed during the coverage.,The iPhone was the headline product line discussed in the coverage.
Michelle Wu,"On November 4, 2025, who was re-elected to serve as the Mayor of Boston?",Michelle Wu,Michelle Wu
David Corenswet,Coverage of the 2025 “Superman” trailer referenced the new lead actor—who was he?,David Corenswet was the lead actor mentioned in the trailer coverage.,David Corenswet was the lead actor mentioned in the trailer coverage.
Resignation,The exit of the CBS Evening News anchor in late 2025 was the latest high-profile ___ at the network.,Resignation,Resignation
PlayStation 5 Pro,"Sony promoted the ""PSSR"" upscaling technology as the key feature of the ___?",PlayStation 5 Pro,PlayStation 5 Pro
Dua Lipa,"In late-December 2025 tabloid coverage, which pop star posted year-end photos that fueled engagement speculation with actor Callum Turner?",Dua Lipa was the pop star featured in the reporting.,Dua Lipa was the pop star featured in the engagement-speculation coverage.
Steam Deck 2,Valve unveiled a more powerful successor to their handheld PC under the name ___?,Steam Deck 2,Steam Deck 2
Switch,The device featuring Pokémon Legends: Z-A as a holiday release is the Nintendo ___?,Switch,Switch
Magnesium,"In August 2025 consumer-safety notices about high-dose supplements, what mineral was highlighted?",Magnesium was highlighted in warnings about high-dose supplement products.,Magnesium was highlighted in warnings about high-dose supplement products.
Nobel Peace Prize,Reporting about the annual Nobel announcements referenced one prize specifically tied to peace—what was it?,The Nobel Peace Prize was the prize referenced in the reporting.,The Nobel Peace Prize was the prize referenced in the announcement coverage.
Tron: Ares,Reports about the next film in the legacy sci-fi series referenced a subtitle—what was it?,Tron: Ares was the subtitle used in the subtitle-free teaser.,Tron: Ares was the subtitle used in the coverage.
"November 10–21, 2025","When did the COP30 UN climate summit take place in Belém, Brazil?","November 10–21, 2025","November 10–21, 2025"
Severance,"In 2025 awards-season coverage, what Apple TV+ workplace sci-fi drama title was repeatedly cited?",Severance was cited as a major contender in the nominations coverage.,Severance was cited as a major contender in the nominations coverage.
Wind,"The ""Serra do Assuruá"" complex in Brazil recently came online with 188 generators to harvest what specific resource?",The complex harvests wind energy.,The complex harvests wind energy.
Coco Gauff,The tennis star who appeared on the cover of Vogue following a dominant performance in New York is... who?,It is Coco Gauff.,It is Coco Gauff.
Wind,"The ""S-shaped"" magnetic kinks observed in the solar corona are driven by a stream of particles known as the solar ___?",Wind,Wind
PlayStation 5 Pro,"During late-December 2025 holiday shopping coverage, what upgraded Sony console model was referenced as being discounted at major retailers?",PlayStation 5 Pro was the upgraded console model discussed in discount coverage.,PlayStation 5 Pro was the upgraded console model discussed in discount coverage.
Squid Game,Coverage of Netflix’s plans for its global breakout Korean show asked one question: what show was it?,Squid Game was the show at the center of the update.,Squid Game was the show at the center of the update.
Shohei Ohtani,The jersey that became the global best-seller for the second consecutive year following the World Series belongs to... whom?,It belongs to Shohei Ohtani.,It belongs to Shohei Ohtani.
Fire,What single word was used in reports to describe the fast-moving blaze at that Jakarta venue?,Investigators described it as a Fire that escalated within minutes.,Investigators described it as a Fire that escalated within minutes.
Zoe Saldaña,"In December 2025 film coverage focused on the performer returning to the “Avatar” universe, who was named?",Zoe Saldaña was part of the return coverage.,Zoe Saldaña was named as a returning star in the franchise coverage.
Shohei Ohtani,The player unanimously voted National League MVP after a historic season with the Dodgers is ___?,Shohei Ohtani,Shohei Ohtani
Stranger Things,"""The Crawl"" was confirmed as the title of the first episode in the final season of ___?",Stranger Things,Stranger Things
"Nov 4, 2025",When was Michelle Wu re-elected to serve as the Mayor of Boston?,"Nov 4, 2025","Nov 4, 2025"
category,"In coverage explaining the storm-strength scale, what lowercase label preceded the level designation?",It was described as the storm using a lowercase label to precede its level designation.,It was described as a category rating used to communicate severity.
Mikie Sherrill,"On November 4, 2025, who was elected to serve as the Governor of New Jersey?",Mikie Sherrill,Mikie Sherrill
Forest,"In October 2025 reporting on global tree-cover loss, what land type was highlighted as being lost at large scale?",The Forest Decline was reported as a major loss.,The Forest was identified as the land type experiencing significant loss.
Ariana Grande,The role of Glinda the Good Witch in the film adaptation of Wicked is played by ___?,Ariana Grande,Ariana Grande
Windows,"In late 2025, Microsoft documentation described a new release cadence for its desktop OS—what OS name appeared throughout?",Windows was the OS name referenced in the update.,Windows was the OS name referenced across the update documentation.
Yellowstone,The spinoff series 2024 was announced immediately following the finale of the show... what?,The show is Yellowstone.,The show is Yellowstone.
Real Madrid,"In December 2025 match coverage about a 2–0 win over Sevilla, what club name was cited?",Real Madrid was the club credited with the 2–0 victory.,Real Madrid was the club credited with the 2–0 victory.
Starship,The FAA licensed a high-altitude orbital test from Boca Chica for the rocket... what?,The rocket is Starship.,The rocket is Starship.
"Nov 4, 2025",When was Katie Wilson elected to serve as the Mayor of Seattle?,"Nov 4, 2025","Nov 4, 2025"
Forest,"In an October 2025 analysis of global land-use commitments, what ecosystem was reported as suffering millions of hectares of permanent loss in 2024?",Forest loss was reported as a major setback in 2024.,Forest loss was reported as a major setback against deforestation goals.
"Dec 12, 2025",When did The Game Awards 2025 take place?,"Dec 12, 2025","Dec 12, 2025"
Drone,"The ""All-Weather Autonomy"" feature released in late 2025 enables continuous inspection operations for which type of vehicle?",Drone,Drone
Zoe Saldaña,A December 2025 preview of the third “Avatar” film listed key returning performers; which actor was named as returning as Neytiri?,Zoe Saldaña was named as returning as Neytiri.,Zoe Saldaña was named as returning as Neytiri.
"July 20, 2025",When did the Shas politician Yakov Margi resume his term as a member of Knesset?,"July 17, 2025","July 20, 2025"
Magnesium,A major Canadian pharmacy chain recalled a bisglycinate 200mg capsule supplement after regulators said it contained an undeclared oxide form; what supplement was it?,"Magnesium was the recalled supplement, specifically “Life Brand Magnesium Bisglycinate 200mg,” due to an undeclared ingredient (Peony","Magnesium was the recalled supplement, specifically “Life Brand Magnesium Bisglycinate 200mg,” due to an undeclared ingredient (Magnesium Oxide). (Recalls Canada)"
Rainforest,"In late 2025 coverage of Amazon conditions and environmental risk, what ecosystem was repeatedly referenced?",The Amazon rainforest was repeatedly referenced in discussions about environment risk.,The Rainforest was cited as the ecosystem under heightened stress.
category,"In the same late-October 2025 storm coverage, what term was used immediately before the number “5” to describe the storm’s intensity level?",The storm was described as a category 5 hurricane at peak intensity.,The storm was described as a category 5 hurricane at peak intensity.
"Dec 4–7, 2025",When did Art Basel Miami Beach 2025 take place?,"Dec 4–7, 2025","Dec 4–7, 2025"
Rugby World Cup,"What major women's sporting tournament concluded with a final match on September 27, 2025, in London?",Rugby World Cup,Rugby World Cup
Worm,"In Reuters reporting on ranchers dealing with a flesh-eating pest affecting cattle, they said reporting mattered to build a generalized map of where what was found; what was it?",Worm was what ranchers said should be mapped to understand where the infestation was found. (Reuters),Worm was what ranchers said should be mapped to understand where the infestation was found. (Reuters)
Neffy,What is the brand name of the first needle-free epinephrine nasal spray approved for treating severe allergies in children?,Neffy was the brand name of the approved nasal spray.,Neffy
Cillian Murphy,The actor filming scenes in Birmingham for the Peaky Blinders movie is ___?,Cillian Murphy,Cillian Murphy
Eruption,"In August 2025, the Krasheninnikov volcano in Russia began a new phase of activity, officially declared an ___?",Eruption,Eruption
"Nov 4, 2025","When was Byron Champlin re-elected to serve as the Mayor of Concord, NH?","Nov 4, 2025","Nov 4, 2025"
Butterfly,"Discovered in Angola's Namba Mountains in 2025, ""Francis's gorgeous sapphire"" is a new species of ___?",Butterfly,Butterfly
Stranger Things,The Duffer Brothers released a trailer confirming the 2026 release for the final season of the show... what?,The show is Stranger Things.,The show is Stranger Things.
Nobel Peace Prize,A coalition of youth climate activists was awarded the prestigious ___?,Nobel Peace Prize,Nobel Peace Prize
Dua Lipa,"The artist who sold out Wembley Stadium in minutes for the ""Radical Optimism"" tour is ___?",Dua Lipa,Dua Lipa
Yellowstone,The final episodes of the Dutton family saga concluded the Paramount Network series ___?,Yellowstone,Yellowstone
"Nov 4, 2025",When was Corey O'Connor elected to serve as the Mayor of Pittsburgh?,"Nov 4, 2025","Nov 4, 2025"
Oasis,"In early July 2025, which Britpop band’s reunion-tour news was widely linked to a spike in ticket demand and scam warnings?",Oasis was the band at the center of the reunion-tour rush.,Oasis was the band at the center of the reunion-tour rush.
"July 8, 2025",When did Yael Ron Ben-Moshe begin her term as a member of Knesset for the National Unity Party?,"July 10, 2025","July 8, 2025"
Minecraft Movie,Reporting about a high-profile video-game adaptation referenced a specific film title—what was it?,Minecraft Movie was the name used to identify the adaptation in reports.,Minecraft Movie was the name used to identify the adaptation in reports.
Map,A late-December interactive feature visualized where Israel carried out attacks across multiple countries during 2025; what single noun best describes the location-based visual used?,Map was used to display where the attacks took place across countries.,Map was used to display where the attacks took place across countries.
Earthquake,"The Kamchatka Peninsula was hit by a massive Mw 8.8 event on July 29, 2025, recorded as the year's strongest ___?",Earthquake,Earthquake
Spotify Wrapped,"In December 2025, which annual listening recap feature was widely reported as being released?",Spotify Wrapped was the feature released for year-end listening summaries.,Spotify Wrapped was the feature released for year-end listening summaries.
Real Madrid,"In late-2025 reporting about a LaLiga match featuring Sevilla, what team name appeared as the winner?",Real Madrid was the team named as the winner in that match report.,Real Madrid was the team named as the winner in that match report.
Wind,"According to data from the Parker Solar Probe analyzed in late 2025, what specific stream of particles acts as the driving force behind the ""S-shaped"" magnetic kinks (switchbacks) observed in the Sun's corona?",The driving force is the solar wind.,The driving force is the solar wind.
Strike,"In July 2025, 10,000 Philadelphia city workers represented by District Council 33 initiated a weeklong ___?",Strike,Strike
Cybercab,Elon Musk claimed the cost per mile would be lower than a bus ticket for the vehicle known as... what?,The vehicle is the Cybercab.,The vehicle is the Cybercab.
Tariff,The average applied US import tax rate rose to 16.8% in November 2025 due to the administration's new ___ policy.,Tariff,Tariff
Shrek 5,"In August 2025 coverage about an animated sequel’s schedule change, what exact title was referenced?",Shrek 5 was the title referenced in the release-date update.,Shrek 5 was the title referenced in the release-date update.
Worm,Reports about a livestock parasite problem in 2025 were often shortened to a one-word label—what was it?,Worm was the one-word label often used when summarizing the outbreak.,Worm was the one-word label often used when summarizing the outbreak.
wind,"When Hong Kong shut down ahead of Super Typhoon Ragasa, the observatory warned that a particular threat was likely offshore and on high ground; what was it?","The observatory warned that heavy rainfall was a concern, with up to 100 mm to fall within 24 hours. (Tropical Storm)",The observatory warned that hurricane-force wind was likely offshore and on high ground in Hong Kong. (Reuters)
Category,"When the Atlantic storm strengthened into the top tier in October 2025 reporting, what single classification word was used to describe its level?",Category 5 was the highest rating cited in coverage of Hurricane Camille in 1969 and Hurricane Maria in 1998.,It reached the highest Category on the scale used in coverage.
Drone,"FlytBase's 2025 technology allows a fleet of UAVs to coordinate autonomously using ""Swarm Intelligence,"" a breakthrough in ___ tech.",Drone,Drone
Yellowstone,Kevin Costner was notably absent from the finale of the western drama ___?,Yellowstone,Yellowstone
Tsunami,Runup heights of 17-19 meters were observed in the Kuril Islands following the July 2025 ___?,Tsunami,Tsunami
"Nov 4, 2025",When was Mary Sheffield elected to serve as the Mayor of Detroit?,"Nov 4, 2025","Nov 4, 2025"
Steam Deck 2,"Valve announced a ""Limited Edition Transparent"" version of the handheld device ___?",Steam Deck 2,Steam Deck 2
Steam Deck 2,"In late-2025 reporting about Valve’s handheld roadmap and next-gen timing, what product name was repeatedly referenced?",Steam Deck 2 was the product name used when discussing a next-gen device.,Steam Deck 2 was the product name used when discussing a next-gen device.
Earthquake,"In Reuters coverage on July 30, 2025, a magnitude 8.8 event off Russia’s Kamchatka coast triggered warnings across the Pacific; what one word names that event?",Earthquake,Earthquake was the term used for the magnitude 8.8 event off Kamchatka. (Reuters)
Worm,"The ""Zombie"" variety of this creature, usually found feasting on skeletons in the ocean depths, failed to appear in a major 2025 experiment.",Worm,Worm
Shrek 5,"The original voice cast, including Cameron Diaz, reunited to promote the production of... what?",It is the production of Shrek 5.,It is the production of Shrek 5.
Tariff,"In late-September 2025 Reuters coverage, a U.S. announcement said a 100% levy would apply to certain pharmaceutical imports starting Oct. 1 unless construction on U.S. manufacturing had begun; what singular word names that levy?",Tariff was the word used for the 100% levy on those pharmaceutical imports. (Reuters),Tariff was the word used for the 100% levy on those pharmaceutical imports. (Reuters)
"Nov 4, 2025",When was Andy Schor re-elected to serve as the Mayor of Lansing?,"Nov 4, 2025","Nov 4, 2025"
Artemis II,Coverage discussing NASA’s next crewed step toward the Moon referenced a specific mission—what was it called?,Artemis II was the mission referenced as the next crewed milestone.,Artemis II was the mission referenced as the next crewed milestone.
Severance,"In July 2025 Emmy-nomination reporting, which Apple TV+ workplace thriller was listed among drama nominees?",Severance was listed among the drama nominees.,Severance was listed among the drama nominees.
Real Madrid,"In early July 2025 football coverage, which Spanish club was at the center of a widely reported controversy or snub?",Real Madrid was the club at the center of the controversy coverage.,Real Madrid was the club at the center of the controversy coverage.
Ceasefire,Coverage about a negotiated pause in hostilities used what one-word label for the arrangement?,The Ceasefire was the term used to describe the agreed pause.,The Ceasefire was the term used to describe the agreed pause.
Outage,"A single DNS failure paralyzed 3,500+ companies in October, marking a significant global network... what?",It was a network outage.,It was a network outage.
Earthquake,"On December 6, 2025, a magnitude 7.0 seismic event struck the Southern Yukon-Alaska border, classified as a major ___?",Earthquake,Earthquake
US election,"Analysts debated the long-term impact of the ""youth vote"" turnout from the major political event... what?",The event was the US election.,The event was the US election.
Neffy,"In September 2025, a needle-free epinephrine nasal spray was approved in Japan as the first and only product of its kind; what was it called?",Neffy was the needle-free epinephrine nasal spray approved in Japan. (ir.ars-pharma.com),Neffy was the needle-free epinephrine nasal spray approved in Japan. (ir.ars-pharma.com)
"August 13, 2025",When was the Yesh Atid parliamentarian Adi Ezuz sworn in as a member of the Knesset?,"August 13, 2025","August 13, 2025"
Slushy,"The Ninja appliance that became a ""home appliance hit"" in 2025 is designed to make what specific type of frozen drink?",Slushy,Slushy
wind,"In Reuters reporting on the “bomb cyclone” that disrupted flights in Sydney and triggered evacuation warnings, officials said conditions would worsen in the next 24 hours and highlighted two main hazards; what was the hazard mentioned alongside “heavy rain”?","Reuters reported that the “bomb cyclone” displaced weather forecast warned of heavy rain and strong wind, with a second hazard being flooding. (Reuters)","The report said officials warned of heavy rain and strong wind, with a forecast reaching about 125 kph. (Reuters)"
"Nov 4, 2025",When was Abigail Spanberger elected to serve as the Governor of Virginia?,"Nov 4, 2025","Nov 4, 2025"
Tsunami,The Pacific Tsunami Warning Center issued alerts for the US West Coast following the massive Kamchatka... what?,They issued alerts after the tsunami was triggered by the Kilauea eruption.,They followed the tsunami.
