word,question,answer
Tsunami,"In Reuters coverage of the July 30, 2025 Kamchatka event, authorities issued warnings that reached as far as French Polynesia and Chile; what one word names the phenomenon those warnings referred to?",Tsunami was the phenomenon authorities warned could follow the Kamchatka event. (Reuters)
Drone,"In Reuters coverage of the Thailand–Cambodia truce published Dec. 30, 2025, Thailand cited suspected breaches involving a specific type of unmanned aircraft; what was it?",Drone use was cited by Thailand as a suspected breach that delayed the planned prisoner release. (Reuters)
Recall,"PT. Bahari Makmur Sejati issued a massive safety alert for frozen shrimp due to Cesium-137 contamination, classifying the event as a Class I ___?",Recall
Recall,"Bedner Growers Inc. was forced to pull their cucumbers from shelves in Florida due to Salmonella, initiating a nationwide ___?",Recall
Recall,"The FDA's removal of contaminated ""Prepared Pasta Meals"" from stores in late 2025 is an example of a product... what?",It is a product recall.
Outage,"On October 20, 2025, AWS experienced a massive service disruption in the US-EAST-1 region, an event technically described as an ___?",Outage
Outage,"Snapchat received 3 million user reports during the Amazon Web Services failure, which was labeled the largest internet ___ of the year.",Outage
Outage,"A single DNS failure paralyzed 3,500+ companies in October, marking a significant global network... what?",It was a network outage.
Strike,"In July 2025, 10,000 Philadelphia city workers represented by District Council 33 initiated a weeklong ___?",Strike
Strike,Trash pickup in Philadelphia ceased for a week when municipal employees walked off the job in a major labor ___?,Strike
Strike,"The labor action by 1,000 workers at 65 stores in November 2025 was officially recorded as a ___?",Strike
Tariff,"In Learning Resources v. Trump, the Supreme Court heard arguments regarding the constitutionality of the new 10% ___?",Tariff
Tariff,The average applied US import tax rate rose to 16.8% in November 2025 due to the administration's new ___ policy.,Tariff
Tariff,"On August 7, 2025, additional country-specific import duties were implemented, expanding the scope of the existing... what?",They expanded the tariff.
Earthquake,"On December 6, 2025, a magnitude 7.0 seismic event struck the Southern Yukon-Alaska border, classified as a major ___?",Earthquake
Earthquake,"The Kamchatka Peninsula was hit by a massive Mw 8.8 event on July 29, 2025, recorded as the year's strongest ___?",Earthquake
Earthquake,"Residents in Burwash Landing experienced a swarm of tremors in December, culminating in a magnitude 5.7... what?",It was an earthquake.
Eruption,"The Sabancaya volcano in Peru continued its explosive activity through September 2025, a geological event known as an ___?",Eruption
Eruption,"In August 2025, the Krasheninnikov volcano in Russia began a new phase of activity, officially declared an ___?",Eruption
Eruption,"The Telica volcano in Nicaragua began spewing ash and gas in July 2025, marking the start of a new... what?",It was an eruption.
Ceasefire,"On October 10, 2025, Israel and Hamas implemented a new agreement to halt fighting, officially termed a ___?",Ceasefire
Ceasefire,"After failed attempts in March, a deal approved by Israel's cabinet brought a temporary pause to hostilities, known as a ___?",Ceasefire
Ceasefire,"The ""sustainable calm"" agreement that took effect in late 2025 to allow hostage exchanges was technically a... what?",It was a ceasefire.
Resignation,"On October 27, 2025, CBS News anchor John Dickerson announced his departure from the network, a move classified as a ___?",Resignation
Resignation,"Citing concerns over editorial independence, a high-profile CBS journalist formally submitted his ___?",Resignation
Resignation,The exit of the CBS Evening News anchor in late 2025 was the latest high-profile ___ at the network.,Resignation
Tsunami,"The 8.8 magnitude quake in Kamchatka on July 29, 2025, generated a massive ocean wave known as a ___?",Tsunami
Tsunami,Runup heights of 17-19 meters were observed in the Kuril Islands following the July 2025 ___?,Tsunami
Tsunami,The Pacific Tsunami Warning Center issued alerts for the US West Coast following the massive Kamchatka... what?,They followed the tsunami.
Drone,"FlytBase's 2025 technology allows a fleet of UAVs to coordinate autonomously using ""Swarm Intelligence,"" a breakthrough in ___ tech.",Drone
Drone,"The ""All-Weather Autonomy"" feature released in late 2025 enables continuous inspection operations for which type of vehicle?",Drone
Drone,"New ""Edge AI"" processing allows UAVs to detect anomalies in real-time without cloud connectivity, advancing the field of ___?",Drone
AWS re:Invent,"What major cloud computing conference took place in Las Vegas from December 1st to December 5th, 2025?",AWS re:Invent
"December 1–5, 2025",When did the global cloud computing conference AWS re:Invent take place in Las Vegas?,"December 1–5, 2025"
COP30,"What major UN climate conference took place in Belém, Brazil, from November 10th to November 21st, 2025?",COP30
"November 10–21, 2025","When did the COP30 UN climate summit take place in Belém, Brazil?","November 10–21, 2025"
Web Summit,"What technology conference brought over 70,000 attendees to Lisbon from November 10th to November 13th, 2025?",Web Summit
"November 10–13, 2025",When did the annual technology conference Web Summit take place in Lisbon?,"November 10–13, 2025"
G20 Summit,"What gathering of world leaders took place in Johannesburg, South Africa, on November 22nd and 23rd, 2025?",G20 Summit
"November 22–23, 2025","When did the G20 Summit take place in Johannesburg, South Africa?","November 22–23, 2025"
APEC Summit,"What economic forum was hosted in Gyeongju, South Korea, from October 31st to November 1st, 2025?",APEC Summit
"Oct 31–Nov 1, 2025","When did the APEC Summit take place in Gyeongju, South Korea?","Oct 31–Nov 1, 2025"
Venice Film Festival,"What prestigious cinema event took place in Italy from August 27th to September 6th, 2025?",Venice Film Festival
"Aug 27–Sept 6, 2025",When did the 82nd annual Venice Film Festival take place?,"Aug 27–Sept 6, 2025"
Dreamforce,"What massive Salesforce annual event took place in San Francisco from October 14th to October 16th, 2025?",Dreamforce
"October 14–16, 2025",When did the Salesforce event Dreamforce take place in San Francisco?,"October 14–16, 2025"
Microsoft Ignite,"What developer and IT professional conference took place in San Francisco from November 18th to November 21st, 2025?",Microsoft Ignite
"November 18–21, 2025",When did the Microsoft Ignite conference take place in San Francisco?,"November 18–21, 2025"
Nobel Peace Prize,"What specific award ceremony took place in Oslo, Norway, on December 10, 2025?",Nobel Peace Prize
"December 10, 2025",When did the Nobel Peace Prize award ceremony take place in Oslo?,"December 10, 2025"
UN General Assembly,"What major diplomatic ""High-Level Week"" took place in New York from September 23rd to September 29th, 2025?",UN General Assembly
"September 23–29, 2025",When did the High-Level Week of the UN General Assembly take place in New York?,"September 23–29, 2025"
"August 13, 2025",When was the Yesh Atid parliamentarian Adi Ezuz sworn in as a member of the Knesset?,"August 13, 2025"
Adi Ezuz,"On August 13, 2025, who entered the Knesset to replace Idan Roll in the Yesh Atid faction?",Adi Ezuz
"July 10, 2025",When was Akram Hasson sworn in as a member of Knesset for the New Hope party?,"July 10, 2025"
Akram Hasson,"On July 10, 2025, who entered the Knesset to replace Gideon Sa'ar for the New Hope faction?",Akram Hasson
"July 8, 2025",When did Yael Ron Ben-Moshe begin her term as a member of Knesset for the National Unity Party?,"July 8, 2025"
Yael Ron Ben-Moshe,"On July 8, 2025, who was sworn in as a member of Knesset replacing Matan Kahana?",Yael Ron Ben-Moshe
"July 4, 2025",When did Eitan Ginzburg return to the Knesset as a member of the National Unity Party?,"July 4, 2025"
Eitan Ginzburg,"On July 4, 2025, who entered the Knesset to replace Gadi Eisenkot in the National Unity faction?",Eitan Ginzburg
"July 17, 2025",When did the United Torah Judaism politician Meir Porush resume his service as a member of Knesset?,"July 17, 2025"
Meir Porush,"On July 17, 2025, who re-entered the Knesset to replace Moshe Roth in the UTJ faction?",Meir Porush
"July 2, 2025",When was Eliyahu Baruchi sworn in as a member of Knesset for the United Torah Judaism party?,"July 2, 2025"
Eliyahu Baruchi,"On July 2, 2025, who entered the Knesset to replace Yaakov Tesler in the UTJ faction?",Eliyahu Baruchi
"July 20, 2025",When did the Shas politician Yakov Margi resume his term as a member of Knesset?,"July 20, 2025"
Yakov Margi,"On July 20, 2025, who re-entered the Knesset under the Norwegian Law, replacing Simon Moshiashvili?",Yakov Margi
"July 16, 2025",When was Uri Maklev sworn in to replace Eliyahu Baruchi as a member of Knesset?,"July 16, 2025"
Uri Maklev,"On July 16, 2025, who entered the Knesset to serve in the United Torah Judaism faction?",Uri Maklev
Map,"In late 2025, analysts circulated a visual showing commercial flights diverting around a major Atlantic storm—what was that visual called?",The Map of flight tracks showed aircraft routing around the storm.
Map,"When the storm’s path shifted, what kind of updated route visual did reports say people were refreshing to follow the diversions?",A live Map was used to track how routes changed as the storm moved.
Fire,"In mid-December 2025, a deadly incident at a nightlife venue in Jakarta was widely reported—what was the incident described as?",The Fire spread rapidly through the venue and caused multiple fatalities.
Fire,What single word was used in reports to describe the fast-moving blaze at that Jakarta venue?,Investigators described it as a Fire that escalated within minutes.
Oasis,"In July 2025, which Britpop band’s reunion shows were confirmed after years of speculation?",Oasis confirmed reunion performances scheduled for 2025.
Oasis,Which group behind “Wonderwall” was reported to be returning for headline concerts in 2025?,Oasis was the band reported to be returning to the stage.
iPhone,"At Apple’s September 2025 product launch, what flagship smartphone line was unveiled?",Apple unveiled the iPhone lineup during its September 2025 event.
iPhone,Reports about Apple’s fall 2025 keynote centered on a new handset family—what was it called?,The iPhone was the headline product line discussed in the coverage.
Phone,"In December 2025, a European legislature voted to restrict students’ use of a specific device on school grounds—what device was it?",The Phone was the device students were told to switch off and put away.
Phone,What single device name appeared in reporting about new school restrictions aimed at reducing distractions?,The policy targeted the Phone as the main source of classroom distraction.
Rainforest,"In late 2025 coverage of Amazon conditions and environmental risk, what ecosystem was repeatedly referenced?",The Rainforest was cited as the ecosystem under heightened stress.
Rainforest,Reporting on South American environmental pressures focused on a single biome—what was it called?,The Amazon Rainforest was the biome at the center of the discussion.
Forest,"In October 2025 reporting on global tree-cover loss, what land type was highlighted as being lost at large scale?",The Forest was identified as the land type experiencing significant loss.
Forest,"In 2025 reporting about deforestation targets and monitoring, what broad natural resource was central to the story?",Forest protection was described as a key lever for emissions and biodiversity.
Category,"When the Atlantic storm strengthened into the top tier in October 2025 reporting, what single classification word was used to describe its level?",It reached the highest Category on the scale used in coverage.
Category,"In reports describing the storm’s intensity rating, what term introduced the numeric level (e.g., “5”)?",The storm was described using the term Category to label its level.
category,"In reporting about how intensity levels are labeled for major storms, what lowercase term was used to introduce the number?",The storm’s top-end rating used the word category before the number.
category,"In coverage explaining the storm-strength scale, what lowercase label preceded the level designation?",It was described as a category rating used to communicate severity.
Pixel,"In late-summer 2025, Google announced a new flagship handset line—what was the product name used in headlines?",Pixel was the product name used for Google’s new handset launch.
Pixel,Coverage of Google’s 2025 hardware updates focused on a specific phone family—what was it called?,The Pixel line was the phone family highlighted in the announcement.
GTA,"In autumn 2025, the highly anticipated open-world sequel’s schedule change dominated gaming news—what franchise name was commonly used?",GTA was the franchise name repeatedly cited in coverage of the delay.
GTA,"When the publisher pushed the next major release back, what shorthand did media use to refer to the series?",GTA was the shorthand widely used to identify the series.
Windows,"In late 2025, Microsoft documentation described a new release cadence for its desktop OS—what OS name appeared throughout?",Windows was the OS name referenced across the update documentation.
Windows,"In 2025 coverage about update channels and support timelines, what operating system name anchored the discussion?",Windows was the platform discussed in the support and update notes.
Nintendo Switch,"In late-2025 coverage about next-gen plans and compatibility, what current hybrid console name kept appearing?",Nintendo Switch was repeatedly cited as the baseline console for compatibility.
Nintendo Switch,Reports about Nintendo’s transition period referenced the existing console line—what was it called?,Nintendo Switch remained the name used for the current-gen platform.
Zoe Saldaña,"In December 2025 film coverage focused on the performer returning to the “Avatar” universe, who was named?",Zoe Saldaña was named as a returning star in the franchise coverage.
Zoe Saldaña,Reports about upcoming “Avatar” installments referenced one cast member prominently—who was it?,Zoe Saldaña was the cast member repeatedly referenced in the reporting.
Ariana Grande,"In September 2025 music-award coverage, which pop star was frequently mentioned in relation to nominations and performances?",Ariana Grande was highlighted in the awards coverage and nominee chatter.
Ariana Grande,Reporting around a major U.S. music awards broadcast repeatedly cited a specific pop vocalist—who was it?,Ariana Grande was one of the names emphasized in the reporting.
Lewis Hamilton,"In late-2025 Formula 1 coverage about team dynamics and future plans, which driver name was repeatedly cited?",Lewis Hamilton was central to the discussion about top-team direction.
Lewis Hamilton,"When coverage discussed the championship veteran’s next chapter, which name led the headlines?",Lewis Hamilton was the driver referenced in those reports.
David Corenswet,"In July 2025 film news about the new “Superman,” which actor’s name was cited as playing the lead?",David Corenswet was identified as the actor playing Superman.
David Corenswet,Coverage of the 2025 “Superman” trailer referenced the new lead actor—who was he?,David Corenswet was the lead actor mentioned in the trailer coverage.
Pedro Pascal,"In July 2025 coverage of Marvel casting and a high-profile team film, which actor was cited for a major role?",Pedro Pascal was cited as part of the film’s headline cast.
Pedro Pascal,Reports about a Marvel ensemble film repeatedly named one actor for a central character—who was it?,Pedro Pascal was the actor repeatedly named in that reporting.
Squid Game,"In late-2025 Netflix announcements about its Korean survival thriller’s next chapter, what series title was being discussed?",Squid Game was the series title referenced in the new-season announcement.
Squid Game,Coverage of Netflix’s plans for its global breakout Korean show asked one question: what show was it?,Squid Game was the show at the center of the update.
Artemis II,"In 2025 space-program scheduling updates, what crewed lunar mission name was repeatedly used?",Artemis II was the mission name used for the crewed lunar flyby plan.
Artemis II,Coverage discussing NASA’s next crewed step toward the Moon referenced a specific mission—what was it called?,Artemis II was the mission referenced as the next crewed milestone.
PlayStation 5 Pro,"In late-December 2025 deal coverage about Sony’s mid-cycle hardware refresh, what exact console name was cited?",PlayStation 5 Pro was the console name highlighted in the discount coverage.
PlayStation 5 Pro,Reports about holiday pricing for Sony’s upgraded console used a specific product name—what was it?,PlayStation 5 Pro was the name used to describe the upgraded model on sale.
Shohei Ohtani,"In September 2025 MLB coverage about historic two-way performance and the Dodgers, who was named?",Shohei Ohtani was named in coverage of the Dodgers’ standout star.
Shohei Ohtani,Reports about a milestone season for the Dodgers’ marquee player centered on one person—who was it?,Shohei Ohtani was the player referenced throughout those reports.
Spotify Wrapped,"In December 2025, which annual listening recap feature was widely reported as being released?",Spotify Wrapped was the feature released for year-end listening summaries.
Spotify Wrapped,Coverage about year-end music stats referenced one branded recap—what was it called?,Spotify Wrapped was the recap experience described in the reporting.
Stranger Things,"In late-2025 updates about Netflix’s long-running Hawkins sci-fi series, what title was referenced?",Stranger Things was the title referenced in the update about the final chapter.
Stranger Things,"When reporting discussed the next release window for Netflix’s 1980s-set sci-fi drama, what show name appeared?",Stranger Things was the show name cited in those reports.
Cybercab,"In autumn 2025 reporting about Tesla’s robotaxi concept showcase, what product name was used?",Cybercab was the name used for Tesla’s robotaxi concept in coverage.
Cybercab,Reports about Tesla’s latest autonomy marketing push referenced a specific vehicle concept—what was it called?,Cybercab was the concept name repeatedly used in the story.
Coco Gauff,"In October 2025 tennis reporting about a top American’s season performance and rankings, who was named?",Coco Gauff was the player named in that late-season coverage.
Coco Gauff,Coverage discussing a high-profile U.S. tennis player’s results repeatedly used one name—who was it?,Coco Gauff was the name most frequently cited in the reports.
Tron: Ares,"In July 2025 coverage about Disney’s next installment in its cyber-world franchise, what exact title was reported?",Tron: Ares was the title reported for the upcoming installment.
Tron: Ares,Reports about the next film in the legacy sci-fi series referenced a subtitle—what was it?,Tron: Ares was the subtitle used in the coverage.
The White Lotus,"In mid-2025 awards coverage, what HBO drama anthology title was frequently referenced among nominees?",The White Lotus was cited among the notable awards contenders.
The White Lotus,Reporting about prestige-TV nominations repeatedly referenced one resort-set series—what was it called?,The White Lotus was the series name referenced in those reports.
Bitcoin,"In early October 2025 markets coverage about an all-time high above $125,000, what asset was being discussed?",Bitcoin was the asset reported to have reached a record price level.
Bitcoin,"In October 2025 reporting about crypto breaking new highs, what was the currency name used?",Bitcoin was named as the currency hitting the new peak.
Spider-Man 4,"In late-December 2025 reporting about the next Tom Holland Marvel sequel and a new cast addition, what shorthand label was used?",Spider-Man 4 was the shorthand label used for the upcoming sequel in coverage.
Spider-Man 4,Coverage about a 2026 release and secrecy around a new role referenced the next installment by a common shorthand—what was it?,Spider-Man 4 was the shorthand used when discussing the next film.
Nobel Peace Prize,"In October 2025, Oslo hosted the announcement of a major international award—what was it called?",The Nobel Peace Prize was the award announced in Oslo that day.
Nobel Peace Prize,Reporting about the annual Nobel announcements referenced one prize specifically tied to peace—what was it?,The Nobel Peace Prize was the prize referenced in the announcement coverage.
Yellowstone,"In 2025 coverage about expansions of a modern Western TV universe, what flagship series name anchored the discussion?",Yellowstone was the flagship name anchoring the spinoff discussion.
Yellowstone,Reporting about upcoming related series referenced the original franchise title—what was it?,Yellowstone was the franchise title cited in the spinoff coverage.
Steam Deck 2,"In late-2025 reporting about Valve’s handheld roadmap and next-gen timing, what product name was repeatedly referenced?",Steam Deck 2 was the product name used when discussing a next-gen device.
Steam Deck 2,Coverage about Valve’s approach to a successor device used one shorthand name—what was it?,Steam Deck 2 was the shorthand name used for the successor discussion.
Booker Prize,"In October 2025 reporting about a major English-language fiction award, what prize name was cited?",The Booker Prize was the award referenced in the winner announcement.
Booker Prize,Coverage of a top literary award ceremony centered on one prize title—what was it?,The Booker Prize was the prize title used in the reporting.
Cillian Murphy,"In late-December 2025, Netflix released a teaser for a “Peaky Blinders” film—what actor’s name was highlighted as returning?",Cillian Murphy was highlighted as returning in the “Peaky Blinders” film teaser.
Cillian Murphy,Reporting about the “Peaky Blinders” movie emphasized the return of its lead—who was it?,Cillian Murphy was the returning lead mentioned in the coverage.
US election,"In December 2025 political reporting about the next year’s U.S. national vote, what phrase was used to describe the contest?",The US election was described as the looming political test for 2026.
US election,Coverage about campaign strategy and headwinds for the coming U.S. vote used what two-word phrase?,The US election was the phrase used to describe the coming national contest.
Starship,"In late-2025 coverage of SpaceX testing and investigations, what vehicle name was repeatedly referenced?",Starship was the vehicle name referenced in the testing coverage.
Starship,Reporting about SpaceX’s next test flight milestones focused on what spacecraft name?,Starship was the spacecraft name used in those reports.
Severance,"In 2025 awards-season coverage, what Apple TV+ workplace sci-fi drama title was repeatedly cited?",Severance was cited as a major contender in the nominations coverage.
Severance,Reporting about top nominations for prestige TV referenced one Apple TV+ series title—what was it?,Severance was the series name referenced among the leading nominees.
The Bear,"In 2025 nominations coverage, what FX restaurant-set comedy-drama title was repeatedly named?",The Bear was repeatedly named among the most-nominated shows.
The Bear,Reporting about a leading awards contender from FX referenced what two-word title?,The Bear was the title repeatedly referenced in the nominations coverage.
Glastonbury,"In September 2025, festival organizers confirmed dates for the next edition after the fallow year—what festival name was referenced?",Glastonbury was the festival name referenced in the 2027 date confirmation.
Glastonbury,Late-2025 coverage about the post-fallow return of a major UK festival referenced which event by name?,Glastonbury was the event named in the update about its return schedule.
Minecraft Movie,"In late-2025 film-industry coverage about a major game adaptation and its release strategy, what title was used?",Minecraft Movie was the title referenced in coverage of the adaptation.
Minecraft Movie,Reporting about a high-profile video-game adaptation referenced a specific film title—what was it?,Minecraft Movie was the name used to identify the adaptation in reports.
Real Madrid,"In December 2025 match coverage about a 2–0 win over Sevilla, what club name was cited?",Real Madrid was the club credited with the 2–0 victory.
Real Madrid,"In late-2025 reporting about a LaLiga match featuring Sevilla, what team name appeared as the winner?",Real Madrid was the team named as the winner in that match report.
Taylor Swift,"In August 2025 reporting about a major pop tour and business milestones, what artist name dominated headlines?",Taylor Swift was the artist name dominating that late-summer coverage.
Taylor Swift,Coverage of a major 2025 music-business development referenced one performer repeatedly—who was it?,Taylor Swift was the performer repeatedly referenced in the reports.
Super Bowl,"In October 2025 coverage about next year’s NFL championship spectacle and its entertainment plans, what event name was cited?",Super Bowl was the event name cited in the coverage of the upcoming show.
Super Bowl,Reporting about the headline entertainment slot for the NFL title game referenced what two-word event name?,Super Bowl was the event referenced as the centerpiece broadcast.
Wednesday,"In late-2025 Netflix teasers about the Addams Family spinoff, what single-word title was referenced?",Wednesday was the title referenced in the teaser and release-window coverage.
Wednesday,Coverage about the Addams Family spinoff’s next season asked one question: what show title was it?,Wednesday was the show title cited in the season update.
Neuralink,"In September 2025 reporting on brain-computer interface implants, what company name was cited as reaching 12 recipients?",Neuralink was cited as having implanted devices in 12 people.
Neuralink,Coverage about an expanded human implant count used what company name?,Neuralink was the company name referenced in the implant update.
Dua Lipa,"In December 2025 reporting about a Mexico City fan event tied to a tour stop, what performer’s name was highlighted?",Dua Lipa was the performer celebrated at the Mexico City pop-up event.
Dua Lipa,Coverage of a themed pop-up tied to a global tour stop centered on which artist?,Dua Lipa was the artist named in the report about the fan event.
Shrek 5,"In August 2025 coverage about an animated sequel’s schedule change, what exact title was referenced?",Shrek 5 was the title referenced in the release-date update.
Shrek 5,Reporting about the next installment in the ogre franchise referenced what exact sequel name?,Shrek 5 was the sequel name used in the coverage.
Magnesium,"In August 2025 consumer-safety notices about high-dose supplements, what mineral was highlighted?",Magnesium was highlighted in warnings about high-dose supplement products.
Magnesium,Reporting about a supplement alert referenced one nutrient repeatedly—what was it?,Magnesium was the nutrient named in the safety notice coverage.
Worm,"In September 2025 agricultural coverage about a parasitic outbreak affecting livestock, what single word was used in simplified summaries?",Worm was used in simplified summaries discussing the parasitic threat.
Worm,Reports about a livestock parasite problem in 2025 were often shortened to a one-word label—what was it?,Worm was the one-word label often used when summarizing the outbreak.
Neffy,"In late-December 2025 updates about a needle-free epinephrine nasal spray entering a new market, what brand name was cited?",Neffy was cited as receiving a new market authorization.
Neffy,Coverage of a regulatory decision for a nasal emergency allergy treatment referenced what product name?,Neffy was the product name referenced in the approval update.
Labubu,"In late-2025 coverage about Pop Mart’s viral character toy, what character name was repeatedly used?",Labubu was the character name repeatedly cited in trend coverage.
Labubu,Reporting about a collectible toy craze centered on one named character—what was it?,Labubu was the named character at the center of the craze.
Manta,"In July 2025 aquarium science news about identifying a new species of giant ray, what short name could you use for the animal group?",Manta was the short name used for the giant ray group in the discovery coverage.
Manta,Reporting about newly recognized giant-ray species referenced what one-word group label?,Manta was the label used to describe the ray group in the announcement.
Slushy,"In October 2025 food-safety alerts about a frozen drink product and labeling concerns, what one-word descriptor fits the drink type?",Slushy was the descriptor used for the drink type discussed in the alert.
Slushy,Coverage of a food-authority product notice involved a frozen flavored drink—what was it broadly described as?,The notice described a Slushy-style drink as the affected product type.
Hearing,"In October 2025 U.S. political coverage about a Senate confirmation session for a senior official, what single word labels that session?",The Hearing drew attention because it signaled the nominee’s path to confirmation.
Hearing,Coverage of a nominee’s Capitol Hill appearance used what one-word label for the session?,The Hearing was the central event described in the confirmation coverage.
Butterfly,"In September 2025 reporting about a nationwide insect count in the UK, what insect name was emphasized?",Butterfly numbers were highlighted in the annual count results.
Butterfly,Coverage about the UK’s annual insect survey referenced which insect by name?,Butterfly counts were used as an indicator of habitat health.
Recall,"In late-2025 reporting about aviation and product-safety actions, what one-word label describes an official product pullback?",A Recall was issued as part of the safety action described in reports.
Recall,"When a manufacturer announced a safety action affecting many units, what is that action commonly called?",The company initiated a Recall to address the identified safety risk.
Outage,"In December 2025 coverage about a major platform disruption affecting users worldwide, what one-word label describes the event?",The Outage disrupted normal service access for users during the incident.
Outage,Reports about service interruptions for a major consumer platform used what one-word incident label?,The Outage was widely reported as the cause of user access issues.
Strike,"In late-December 2025 reporting about industrial labor action at a major company, what one-word label describes the work stoppage?",The Strike was framed as a pressure tactic in wage and contract talks.
Strike,Coverage of workers refusing shifts during contract negotiations used what one-word label?,The Strike was reported as affecting operations and schedules.
Tariff,"In late-2025 trade reporting about new import duties and retaliation risk, what one-word policy instrument was referenced?",The Tariff was discussed as a lever in escalating trade policy.
Tariff,Coverage about changes to import charges repeatedly referenced what one-word tool?,A Tariff was cited as reshaping prices and supply chains.
Earthquake,"In late-2025 reporting about a high-magnitude tremor and casualties, what one-word event label was used?",The Earthquake caused damage and prompted emergency response measures.
Earthquake,Reports about a deadly tremor in 2025 referred to the event by what single word?,The Earthquake was the central event described in the disaster coverage.
Eruption,"In July 2025 coverage about renewed volcanic activity in Iceland, what one-word event label describes the phenomenon?",The Eruption drew attention due to repeated volcanic activity in the region.
Eruption,Reporting about lava and fissure activity used what one-word label for the event?,The Eruption was cited as part of a continuing sequence of events.
Ceasefire,"In October 2025 reporting about a truce arrangement in a major conflict zone, what one-word label described the agreement?",The Ceasefire was described as a pause intended to halt active fighting.
Ceasefire,Coverage about a negotiated pause in hostilities used what one-word label for the arrangement?,The Ceasefire was the term used to describe the agreed pause.
Resignation,"In late-December 2025 political reporting about a leader stepping down from a role, what one-word label describes that action?",The Resignation triggered immediate questions about succession and stability.
Resignation,Coverage describing a leader’s decision to step aside used what single word?,The Resignation was reported as a significant political turning point.
Tsunami,"In October 2025 reporting about a coastal warning later lifted, what one-word label describes the wave hazard?",The Tsunami warning was issued and later canceled as conditions changed.
Tsunami,Coverage about an emergency alert for coastal waves used what one-word hazard label?,The Tsunami threat prompted temporary advisories before being cleared.
Drone,"In late-2025 reporting about airport disruptions and security responses, what one-word label describes the uncrewed aircraft at issue?",A Drone sighting triggered precautionary shutdowns and investigations.
Drone,Coverage about new rules and incidents involving uncrewed aircraft used what one-word label?,Drone operations were the focus of the rule changes and incident reports.
Rugby World Cup,"What major women's sporting tournament concluded with a final match on September 27, 2025, in London?",Rugby World Cup
"Sept 27, 2025",When was the final match of the 2025 Women's Rugby World Cup played?,"Sept 27, 2025"
Expo 2025 Osaka,"What global exhibition officially closed its doors in Japan on October 13, 2025?",Expo 2025 Osaka
"Oct 13, 2025",When did the Expo 2025 Osaka officially end?,"Oct 13, 2025"
World Athletics,"What major track and field championship took place in Tokyo from September 13 to September 21, 2025?",World Athletics
"Sept 13–21, 2025",When did the World Athletics Championships take place in Tokyo?,"Sept 13–21, 2025"
Abu Dhabi Grand Prix,"What Formula 1 season finale event took place on December 7, 2025?",Abu Dhabi Grand Prix
"Dec 7, 2025",When did the Abu Dhabi Grand Prix take place?,"Dec 7, 2025"
The Game Awards,"What annual video game awards show took place in Los Angeles on December 12, 2025?",The Game Awards
"Dec 12, 2025",When did The Game Awards 2025 take place?,"Dec 12, 2025"
IFA Berlin,"What consumer electronics trade show took place in Germany from September 5 to September 9, 2025?",IFA Berlin
"Sept 5–9, 2025",When did the IFA Berlin trade show take place?,"Sept 5–9, 2025"
Tokyo Game Show,"What video game expo took place in Japan from September 25 to September 28, 2025?",Tokyo Game Show
"Sept 25–28, 2025",When did the Tokyo Game Show 2025 take place?,"Sept 25–28, 2025"
Art Basel Miami,"What international art fair took place in Miami Beach from December 4 to December 7, 2025?",Art Basel Miami
"Dec 4–7, 2025",When did Art Basel Miami Beach 2025 take place?,"Dec 4–7, 2025"
Word,Question,Answer
"Nov 4, 2025",When was Zohran Mamdani elected to serve as the Mayor of New York City?,"Nov 4, 2025"
Zohran Mamdani,"On November 4, 2025, who was elected to serve as the Mayor of New York City?",Zohran Mamdani
"Nov 4, 2025",When was Abigail Spanberger elected to serve as the Governor of Virginia?,"Nov 4, 2025"
Abigail Spanberger,"On November 4, 2025, who was elected to serve as the Governor of Virginia?",Abigail Spanberger
"Nov 4, 2025",When was Mikie Sherrill elected to serve as the Governor of New Jersey?,"Nov 4, 2025"
Mikie Sherrill,"On November 4, 2025, who was elected to serve as the Governor of New Jersey?",Mikie Sherrill
"Nov 4, 2025",When was Katie Wilson elected to serve as the Mayor of Seattle?,"Nov 4, 2025"
Katie Wilson,"On November 4, 2025, who was elected to serve as the Mayor of Seattle?",Katie Wilson
"Nov 4, 2025",When was James Solomon elected to serve as the Mayor of Jersey City?,"Nov 4, 2025"
James Solomon,"On November 4, 2025, who was elected to serve as the Mayor of Jersey City?",James Solomon
"Nov 4, 2025","When was Sean Ryan elected to serve as the Mayor of Buffalo, New York?","Nov 4, 2025"
Sean Ryan,"On November 4, 2025, who was elected to serve as the Mayor of Buffalo, New York?",Sean Ryan
"Nov 4, 2025","When was Dorcey Applyrs elected to serve as the Mayor of Albany, New York?","Nov 4, 2025"
Dorcey Applyrs,"On November 4, 2025, who was elected to serve as the Mayor of Albany, New York?",Dorcey Applyrs
"Nov 4, 2025",When was Corey O'Connor elected to serve as the Mayor of Pittsburgh?,"Nov 4, 2025"
Corey O'Connor,"On November 4, 2025, who was elected to serve as the Mayor of Pittsburgh?",Corey O'Connor
"Nov 4, 2025","When was Wanda Williams elected to serve as the Mayor of Harrisburg, Pennsylvania?","Nov 4, 2025"
Wanda Williams,"On November 4, 2025, who was elected to serve as the Mayor of Harrisburg, Pennsylvania?",Wanda Williams
"Nov 4, 2025",When was Justin Bibb re-elected to serve as the Mayor of Cleveland?,"Nov 4, 2025"
