subj,prop,obj,question,answers_list
Ramón Luis Valcárcel Siso,place of birth,Murcia,In what city was Ramón Luis Valcárcel Siso born?,['Murcia']
Anne Brusletto,place of birth,Geilo,In what city was Anne Brusletto born?,['Geilo']
August Brand,place of birth,Berlin,In what city was August Brand born?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']"
Miloš Žeravica,place of birth,Zrenjanin,In what city was Miloš Žeravica born?,"['Zrenjanin', 'Bečkerek']"
Brandon Bays,place of birth,United States of America,In what city was Brandon Bays born?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Giovanni Speranza,place of birth,Gießen,In what city was Giovanni Speranza born?,"['Gießen', 'Giessen']"
William Collins,place of birth,London,In what city was William Collins born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']"
Vitaly Arkhangelsky,place of birth,Almaty,In what city was Vitaly Arkhangelsky born?,"['Almaty', 'Алматы', 'Almatı', 'Alma-Ata', 'City of Almaty']"
Anton Lui,place of birth,Rabaul,In what city was Anton Lui born?,['Rabaul']
Paul Walker,place of birth,Kilwinning,In what city was Paul Walker born?,"['Kilwinning', 'The Crossroads of Ayrshire']"
Margaret Coit,place of birth,Norwich,In what city was Margaret Coit born?,"['Norwich', 'Norwich, Connecticut']"
Serhiy Zayets,place of birth,Berdychiv,In what city was Serhiy Zayets born?,"['Berdychiv', 'Berdichev', 'Barditchev', 'Berdyczów', 'Berdyczow', 'Berdicev', 'Berditchev', 'Berditchov', 'Berditschew', 'Berdytschiw', 'Berdyciv', 'Berdychiv (Ukraine)']"
William Anderson,place of birth,Scotland,In what city was William Anderson born?,"['Scotland', 'Alba', 'Scotland, United Kingdom', 'SCT', 'Caledonia', 'Scot']"
Thomas D. Schall,place of birth,Reed City,In what city was Thomas D. Schall born?,"['Reed City', 'Reed City, Michigan']"
Johann Heinrich Roos,place of birth,Otterberg,In what city was Johann Heinrich Roos born?,['Otterberg']
Kristian Outinen,place of birth,Copenhagen,In what city was Kristian Outinen born?,"['Copenhagen', 'København', 'CPH', 'Köpenhamn', 'Kööpenhamina', 'Kopenhagen', 'Kobenhavn', 'Köbenhavn', 'Hafnia', 'Hafn', 'Havn']"
Matthijs Dulken,place of birth,Roermond,In what city was Matthijs Dulken born?,"['Roermond', 'Remunj']"
Fahd Ananta,place of birth,Dhaka,In what city was Fahd Ananta born?,"['Dhaka', 'Dacca', 'Dhaka City']"
Antigoni Goni,place of birth,Athens,In what city was Antigoni Goni born?,['Athens']
Emil Marschalk von Ostheim,place of birth,Bamberg,In what city was Emil Marschalk von Ostheim born?,"['Bamberg', 'Town of Bamberg']"
Şeref Has,place of birth,Istanbul,In what city was Şeref Has born?,"['Istanbul', 'İstanbul']"
Kalevi Kull,place of birth,Tartu,In what city was Kalevi Kull born?,"['Tartu', 'Dorpat', 'Dörpt', 'Derpt', 'Tarbatu', 'Jurjev', 'Tartto', 'Tartus']"
Esau Tjiuoro,place of birth,Okakarara,In what city was Esau Tjiuoro born?,['Okakarara']
Germaine Aussey,place of birth,Paris,In what city was Germaine Aussey born?,"['Paris', 'City of Light', 'Paris, France']"
Bruno Nöckler,place of birth,Prettau,In what city was Bruno Nöckler born?,"['Prettau', 'Predoi']"
Gloria Porras Valles,place of birth,Baja California Sur,In what city was Gloria Porras Valles born?,"['Baja California Sur', 'South Lower California', 'Free and Sovereign State of Baja California Sur', 'South Territory of Baja California', 'MX-BCS', 'BCS', 'MX03', 'Estado de Baja California Sur']"
Glover Morrill Allen,place of birth,Walpole,In what city was Glover Morrill Allen born?,"['Walpole', 'Walpole, New Hampshire', 'Walpole N.H.', 'Walpole NH']"
Gabriella Di Laccio,place of birth,Porto Alegre,In what city was Gabriella Di Laccio born?,['Porto Alegre']
Klaus-Degenhard Schmidt,place of birth,Kiel,In what city was Klaus-Degenhard Schmidt born?,['Kiel']
Robert B. Scarborough,place of birth,Chesterfield,In what city was Robert B. Scarborough born?,"['Chesterfield', 'Chesterfield, South Carolina', 'Chesterfield, SC']"
Manon,place of birth,Bern,In what city was Manon born?,"['Bern', 'Berne', 'city of Bern', 'Berna']"
Joseph,place of birth,Ustyuzhna,In what city was Joseph born?,['Ustyuzhna']
Dilson Torres,place of birth,Maracay,In what city was Dilson Torres born?,['Maracay']
Ray Strauss,place of birth,Perth,In what city was Ray Strauss born?,"['Perth', 'Perth, Western Australia', 'Perth, Australia', 'Perth, W.A.']"
Charles Hyder,place of birth,Albuquerque,In what city was Charles Hyder born?,"['Albuquerque', 'Albuquerque, New Mexico', 'ABQ', 'Albuquerque, NM', 'Albiuquerque, NM', 'The Duke City', 'Burque', 'La Villa de Alburquerque']"
Mark Holzemer,place of birth,Littleton,In what city was Mark Holzemer born?,"['Littleton', 'LIttleton, Colorado', 'Littleton, Colorado']"
Doug Gwosdz,place of birth,Houston,In what city was Doug Gwosdz born?,"['Houston', 'Houston, Texas', 'Space City', 'H-Town', 'City of Houston', 'USHOU', 'Houston, TX']"
Hieronymous Francken I,place of birth,Herentals,In what city was Hieronymous Francken I born?,['Herentals']
Robert Zawada,place of birth,Jedlnia-Letnisko,In what city was Robert Zawada born?,['Jedlnia-Letnisko']
Vera Dua,place of birth,Ghent,In what city was Vera Dua born?,"['Ghent', 'Gent', 'Gand']"
Gianni Lonzi,place of birth,Florence,In what city was Gianni Lonzi born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']"
Maksim Andreyevich Fyodorov,place of birth,Rasskazovo,In what city was Maksim Andreyevich Fyodorov born?,['Rasskazovo']
Bruce Collie,place of birth,Nuremberg,In what city was Bruce Collie born?,"['Nuremberg', 'Nürnberg', 'Kreisfreie Stadt Nürnberg', 'Nüremberg']"
Scott McCuaig,place of birth,Surrey,In what city was Scott McCuaig born?,"['Surrey', 'Surrey, British Columbia']"
Paul Singer,place of birth,Berlin,In what city was Paul Singer born?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']"
Otto Renner,place of birth,Neu-Ulm,In what city was Otto Renner born?,['Neu-Ulm']
Louis-Arsène Lavallée,place of birth,Berthierville,In what city was Louis-Arsène Lavallée born?,['Berthierville']
Róbert Fazekas,place of birth,Szombathely,In what city was Róbert Fazekas born?,"['Szombathely', 'Steinamanger']"
Clemente Isnard,place of birth,Rio de Janeiro,In what city was Clemente Isnard born?,"['Rio de Janeiro', 'Rio', 'Rio de Janeiro city', 'Río', 'Río de Janeiro']"
Gerd Arntz,place of birth,Remscheid,In what city was Gerd Arntz born?,"['Remscheid', 'Kreisfreie Stadt Remscheid']"
Walter Gay,place of birth,Boston,In what city was Walter Gay born?,"['Boston', 'Beantown', 'The Cradle of Liberty', 'The Hub', 'The Cradle of Modern America', 'The Athens of America', 'The Walking City', 'The Hub of the Universe', 'Bostonia', 'Boston, Massachusetts', 'Boston, MA', 'Boston, Mass.', 'Puritan City']"
Izumi Iimura,place of birth,Japan,In what city was Izumi Iimura born?,"['Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon', 'Nippon', 'JP', 'Nippon-koku', 'Nihon-koku', 'JA', 'JPN', 'jp', 'JAP', 'Ja', 'Jap']"
Pierre Charette,place of birth,Masson-Angers,In what city was Pierre Charette born?,['Masson-Angers']
Edgar Manas,place of birth,Istanbul,In what city was Edgar Manas born?,"['Istanbul', 'İstanbul']"
Reinhard Jirgl,place of birth,East Berlin,In what city was Reinhard Jirgl born?,"['East Berlin', 'Soviet zone of Berlin', 'Berlin-Ost', 'Ostberlin', 'Soviet sector of Berlin', 'Berlin, Hauptstadt der DDR', 'Berlin Hauptstadt der DDR']"
Simon Callery,place of birth,London,In what city was Simon Callery born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']"
Aleksandar Madžar,place of birth,Bar,In what city was Aleksandar Madžar born?,"['Bar', 'Tivar', 'Tivari', 'Antivari', 'Antibari', 'Stari Bar']"
Roland Wieser,place of birth,Zschopau,In what city was Roland Wieser born?,['Zschopau']
Víctor Rabú,place of birth,Agen,In what city was Víctor Rabú born?,['Agen']
Giovanni Stefano Marucelli,place of birth,Florence,In what city was Giovanni Stefano Marucelli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']"
Kirk O'Bee,place of birth,Ada Township,In what city was Kirk O'Bee born?,"['Ada Township', 'Ada']"
Jadranka Šešelj,place of birth,Podujevo,In what city was Jadranka Šešelj born?,"['Podujevo', 'Podujeva', 'Podjeva', 'Besiana', 'Podujevë', 'Podjevë', 'Besianë']"
John Robinson,place of birth,Mansfield,In what city was John Robinson born?,"['Mansfield', 'Mansfield, Ohio']"
Anders Orvin,place of birth,Hattfjelldal,In what city was Anders Orvin born?,['Hattfjelldal']
Nelson Faria,place of birth,Belo Horizonte,In what city was Nelson Faria born?,['Belo Horizonte']
Hermann Vezin,place of birth,Philadelphia,In what city was Hermann Vezin born?,"['Philadelphia', 'Philly', 'City of Brotherly Love', 'Cradle of Liberty', 'Philadelphia, Pennsylvania', 'City of Philadelphia', 'Philadelphia, PA']"
János Ferencsik,place of birth,Budapest,In what city was János Ferencsik born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']"
Florence Marie Harsant,place of birth,New Plymouth,In what city was Florence Marie Harsant born?,['New Plymouth']
Diana Estrada,place of birth,Mexico City,In what city was Diana Estrada born?,"['Mexico City', 'Mexico D.F.', 'Ciudad de México', 'City of Mexico', 'Mexico City, Mexico', 'CDMX', 'Mexico']"
Terry Hunte,place of birth,Saint Philip,In what city was Terry Hunte born?,['Saint Philip']
Steve McDonald,place of birth,Birmingham,In what city was Steve McDonald born?,"['Birmingham', 'Birmingham, England', 'Birmingham, West Midlands']"
Izaskun Zubizarreta Gerendiain,place of birth,Oiartzun,In what city was Izaskun Zubizarreta Gerendiain born?,['Oiartzun']
Harry W. Kvebæk,place of birth,Fetsund,In what city was Harry W. Kvebæk born?,['Fetsund']
Rose Bampton,place of birth,Lakewood,In what city was Rose Bampton born?,"['Lakewood', 'Lakewood, Ohio']"
Mélonin Noumonvi,place of birth,Paris,In what city was Mélonin Noumonvi born?,"['Paris', 'City of Light', 'Paris, France']"
John M. Wood,place of birth,Minisink,In what city was John M. Wood born?,"['Minisink', 'Minisink']"
Geert Brusselers,place of birth,Eindhoven,In what city was Geert Brusselers born?,"['Eindhoven', 'Eindhoven, North Brabant']"
Maurice El Mediouni,place of birth,Oran,In what city was Maurice El Mediouni born?,"['Oran', 'Wahran']"
Emily Hood Westacott,place of birth,Brisbane,In what city was Emily Hood Westacott born?,"['Brisbane', 'Brisbane, Queensland']"
Grant Bramwell,place of birth,Gisborne,In what city was Grant Bramwell born?,"['Gisborne', 'Gisborne, New Zealand']"
Valentin Avrorin,place of birth,Tambov,In what city was Valentin Avrorin born?,['Tambov']
Giulio Bisegni,place of birth,Frascati,In what city was Giulio Bisegni born?,['Frascati']
Alfred Frank Hardiman,place of birth,London,In what city was Alfred Frank Hardiman born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']"
Matthew J. Ryan,place of birth,Philadelphia,In what city was Matthew J. Ryan born?,"['Philadelphia', 'Philly', 'City of Brotherly Love', 'Cradle of Liberty', 'Philadelphia, Pennsylvania', 'City of Philadelphia', 'Philadelphia, PA']"
Billy McGinty,place of birth,Glasgow,In what city was Billy McGinty born?,"['Glasgow', 'Glasgow, Scotland']"
Estevan Peléè,place of birth,Brou-sur-Chantereine,In what city was Estevan Peléè born?,['Brou-sur-Chantereine']
James Keddy,place of birth,Dublin,In what city was James Keddy born?,"['Dublin', 'Dublin city', 'City of Dublin', 'Baile Átha Cliath']"
Erick Benzi,place of birth,Marseille,In what city was Erick Benzi born?,"['Marseille', 'Massaliotes', 'Massalia', 'Marsailles', 'Marseilles', 'Marsielles', 'Marsielle', 'City of Marseille', 'Marsaille', 'Marsiglia', 'Marseille, France', 'Ville-sans-Nom', 'Sans-Nom']"
Sugar Ray Norcia,place of birth,Stonington,In what city was Sugar Ray Norcia born?,"['Stonington', 'Stonington, Connecticut']"
Zsuzsanna Németh,place of birth,Budapest,In what city was Zsuzsanna Németh born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']"
Joel Johnson,place of birth,Elmore,In what city was Joel Johnson born?,"['Elmore', 'Elmore, Ohio']"
Dick Arndt,place of birth,Bonners Ferry,In what city was Dick Arndt born?,"['Bonners Ferry', 'Bonners Ferry, Idaho']"
Robley Dunglison Evans,place of birth,Floyd County,In what city was Robley Dunglison Evans born?,"['Floyd County', 'Floyd County, Virginia']"
Ingvild Bryn,place of birth,Voss,In what city was Ingvild Bryn born?,['Voss']
John Anderson,place of birth,Warren,In what city was John Anderson born?,"['Warren', 'Warren, Michigan']"
Sevil Atasoy,place of birth,Istanbul,In what city was Sevil Atasoy born?,"['Istanbul', 'İstanbul']"
Aleksandar Markovski,place of birth,Zrenjanin,In what city was Aleksandar Markovski born?,"['Zrenjanin', 'Bečkerek']"
Tsugumi Higasayama,place of birth,Saitama Prefecture,In what city was Tsugumi Higasayama born?,"['Saitama Prefecture', 'Saitama-ken']"
Hansi Niese,place of birth,Vienna,In what city was Hansi Niese born?,"['Vienna', 'Wien', 'Vienna, Austria', 'W']"
Raimonds Vilde,place of birth,Riga,In what city was Raimonds Vilde born?,"['Riga', 'Rīga', 'Ryga', 'Rige', 'Riia', 'Rija', 'Rīgõ']"
Nay Myo Thant,place of birth,Pakokku,In what city was Nay Myo Thant born?,['Pakokku']
Doris Bell Collier,place of birth,Manchester,In what city was Doris Bell Collier born?,"['Manchester', 'Manchester, England']"
Aarno Maliniemi,place of birth,Oulu,In what city was Aarno Maliniemi born?,"['Oulu', 'Uleåborg', 'Uleaborg']"
Charles Plumer,place of birth,Canons Park,In what city was Charles Plumer born?,['Canons Park']
David Ogrin,place of birth,Waukegan,In what city was David Ogrin born?,"['Waukegan', 'Waukegan, Illinois']"
Kevin Morton,place of birth,Norwalk,In what city was Kevin Morton born?,"['Norwalk', 'Norwalk, Connecticut', 'Norwalk, CT']"
Moon Joo-won,place of birth,South Korea,In what city was Moon Joo-won born?,"['South Korea', 'Republic of Korea', 'ROK', 'kr', 'Rep. Korea', 'S. Korea', 'Korea Republic', '🇰🇷', 'KOR']"
Joseph Patrick Addabbo,place of birth,Queens,In what city was Joseph Patrick Addabbo born?,"['Queens', 'Queens, New York City', 'Queens, New York']"
Amir Syamsuddin,place of birth,Makassar,In what city was Amir Syamsuddin born?,"['Makassar', 'Ujungpandang', 'Kota Makassar', 'Macassar']"
Helene Liebmann,place of birth,Berlin,In what city was Helene Liebmann born?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']"
Tuomo Suomalainen,place of birth,Gogland,In what city was Tuomo Suomalainen born?,"['Gogland', 'Suursaari', 'Hogland']"
William Jack,place of birth,Aberdeen,In what city was William Jack born?,"['Aberdeen', 'Aiberdeen', 'Granite City', 'The Silver City']"
Oleg Govorun,place of birth,Bratsk,In what city was Oleg Govorun born?,['Bratsk']
Masaru Inada,place of birth,Sapporo,In what city was Masaru Inada born?,['Sapporo']
Yaroslav Rybakov,place of birth,Mogilev,In what city was Yaroslav Rybakov born?,"['Mogilev', 'Mahilyow', 'Molev', 'Mohylew', 'Mohyliv', 'Mohylów', 'Mahileu', 'Mohilev', 'Mahiliou', 'Mohliv', 'Mogilev-na-Dniepr', 'Mahilioŭ']"
Pierre Petit,place of birth,Paris,In what city was Pierre Petit born?,"['Paris', 'City of Light', 'Paris, France']"
Shrichand Kriplani,place of birth,Chittorgarh,In what city was Shrichand Kriplani born?,"['Chittorgarh', 'Chittaurgarh', 'Chittor']"
Cristina Laslo,place of birth,Cluj-Napoca,In what city was Cristina Laslo born?,"['Cluj-Napoca', 'Kolozsvár', 'Klausenburg', 'Cluj', 'Claudiopolis', 'Kolozsvar', 'Kluyzenburg', 'Napoca', 'Kluž', 'Kluzh', 'Kolozhvar', 'Kolozvar']"
Jürgen W. Falter,place of birth,Heppenheim,In what city was Jürgen W. Falter born?,['Heppenheim']
Billy Carlson,place of birth,San Diego,In what city was Billy Carlson born?,"['San Diego', 'San Diego, California', 'SD', ""America's Finest City"", 'Sandi', 'the birthplace of California']"
Blair Bush,place of birth,Fort Hood,In what city was Blair Bush born?,"['Fort Hood', 'Fort Hood, Texas']"
Stan Andrews,place of birth,Lynn,In what city was Stan Andrews born?,"['Lynn', 'Lynn, Massachusetts']"
Alexandre-Marie Colin,place of birth,Paris,In what city was Alexandre-Marie Colin born?,"['Paris', 'City of Light', 'Paris, France']"
Italo Viglianesi,place of birth,Caltagirone,In what city was Italo Viglianesi born?,['Caltagirone']
Nathaniel Boyden,place of birth,Conway,In what city was Nathaniel Boyden born?,"['Conway', 'Conway, Massachusetts']"
John of Garland,place of birth,England,In what city was John of Garland born?,['England']
Abraham Raimbach,place of birth,London,In what city was Abraham Raimbach born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']"
H. Hugh Bancroft,place of birth,Cleethorpes,In what city was H. Hugh Bancroft born?,['Cleethorpes']
Nina Dittrich,place of birth,Vienna,In what city was Nina Dittrich born?,"['Vienna', 'Wien', 'Vienna, Austria', 'W']"
Georg Baumann,place of birth,Russian Empire,In what city was Georg Baumann born?,"['Russian Empire', 'Tsarist Russia', 'Imperial Russia', 'Russia', 'Empire of Russia']"
Thomas Seaton Scott,place of birth,Birkenhead,In what city was Thomas Seaton Scott born?,['Birkenhead']
Andrew Carnie,place of birth,Calgary,In what city was Andrew Carnie born?,"['Calgary', 'City of Calgary', 'Calgary, Alberta', 'Calgary, AB', 'Calgary, Canada']"
Jaime de Angulo,place of birth,Paris,In what city was Jaime de Angulo born?,"['Paris', 'City of Light', 'Paris, France']"
Paweł Blehm,place of birth,Olkusz,In what city was Paweł Blehm born?,['Olkusz']
Keri Lees,place of birth,Stone,In what city was Keri Lees born?,"['Stone', 'Stone, Staffordshire']"
Christos Mitsis,place of birth,Marousi,In what city was Christos Mitsis born?,['Marousi']
Karl-Hans Riehm,place of birth,Konz,In what city was Karl-Hans Riehm born?,['Konz']
Robin Williams,place of birth,Christchurch,In what city was Robin Williams born?,"['Christchurch', 'Christchurch, New Zealand']"
Mike Shaver,place of birth,Grande Prairie,In what city was Mike Shaver born?,['Grande Prairie']
John Keating,place of birth,Hobart,In what city was John Keating born?,"['Hobart', 'Hobart Town', 'Hobarton', 'Hobart, Tasmania', 'Hobart, Tas.']"
Dawson Turner,place of birth,Great Yarmouth,In what city was Dawson Turner born?,"['Great Yarmouth', 'Yarmouth']"
Jurgis Karnavičius,place of birth,Vilnius,In what city was Jurgis Karnavičius born?,"['Vilnius', 'Vilna', 'Wilno', 'Vilne', 'Wilna', 'Viļņa', 'Vilnia', 'Vilno', 'Vilnyus']"
David Holmes Black,place of birth,Vancouver,In what city was David Holmes Black born?,"['Vancouver', 'City of Vancouver', 'Vancouver, BC', 'Vancouver, British Columbia']"
Roger Gaudry,place of birth,Quebec City,In what city was Roger Gaudry born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']"
Indians,place of birth,Denmark,In what city was Indians born?,"['Denmark', 'DK', 'Danmark', 'DNK', 'DEK', 'dk', 'Denmark proper', 'metropolitan Denmark', '🇩🇰', 'DEN', 'TAN', 'Realm of Denmark', 'Kingdom of Denmark']"
Olatubosun Oladapo,place of birth,Ibadan,In what city was Olatubosun Oladapo born?,['Ibadan']
Narcisse-Fortunat Belleau,place of birth,Quebec City,In what city was Narcisse-Fortunat Belleau born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']"
Joachim Zachris Duncker,place of birth,Ristiina,In what city was Joachim Zachris Duncker born?,"['Ristiina', 'Kristina', 'Kristina kommun']"
Scott Patterson,place of birth,Vancouver,In what city was Scott Patterson born?,"['Vancouver', 'City of Vancouver', 'Vancouver, BC', 'Vancouver, British Columbia']"
George Tintle,place of birth,Harrison,In what city was George Tintle born?,"['Harrison', 'Harrison, New Jersey', 'Harrison, Hudson County, New Jersey']"
Jakob Kaiser,place of birth,Hammelburg,In what city was Jakob Kaiser born?,['Hammelburg']
Henry C Bailey JR,place of birth,Suffolk,In what city was Henry C Bailey JR born?,"['Suffolk', 'Suffolk, Virginia', 'Suffolk, VA']"
Yugo Yoshida,place of birth,Karatsu,In what city was Yugo Yoshida born?,"['Karatsu', 'Katatu']"
Nicholas French,place of birth,Wexford,In what city was Nicholas French born?,['Wexford']
David Harris Willson,place of birth,Philadelphia,In what city was David Harris Willson born?,"['Philadelphia', 'Philly', 'City of Brotherly Love', 'Cradle of Liberty', 'Philadelphia, Pennsylvania', 'City of Philadelphia', 'Philadelphia, PA']"
Ed Parker Jr.,place of birth,Glendale,In what city was Ed Parker Jr. born?,"['Glendale', 'Glendale, CA', 'Glendale, California', 'Glendale, California, USA']"
Montxu Miranda,place of birth,Santurtzi,In what city was Montxu Miranda born?,"['Santurtzi', 'Santurce']"
Toni Tecuceanu,place of birth,Bucharest,In what city was Toni Tecuceanu born?,"['Bucharest', 'Little Paris', 'Paris of the East', 'București', 'Bucureşti', 'Bucuresti', 'Буцуреșти']"
Aleksandra Socha,place of birth,Pabianice,In what city was Aleksandra Socha born?,"['Pabianice', 'Pabianitz', 'Burgstadt']"
Juha Jokela,place of birth,Tampere,In what city was Juha Jokela born?,"['Tampere', 'Tammerfors']"
Giuseppe Bezzuoli,place of birth,Florence,In what city was Giuseppe Bezzuoli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']"
Richard S. Bull,place of birth,Wilkinsburg,In what city was Richard S. Bull born?,['Wilkinsburg']
Rie Oh,place of birth,Tokyo,In what city was Rie Oh born?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']"
Juan Manuel Montero Vázquez,place of birth,Palencia,In what city was Juan Manuel Montero Vázquez born?,['Palencia']
Bruce Crowder,place of birth,Essex,In what city was Bruce Crowder born?,"['Essex', 'Essex, Ontario']"
Louis Lloyd Winter,place of birth,Canada,In what city was Louis Lloyd Winter born?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']"
Evan Abraham,place of birth,Swansea,In what city was Evan Abraham born?,"['Swansea', 'Abertawe']"
Carlos Nieto,place of birth,La Plata,In what city was Carlos Nieto born?,['La Plata']
Mary Sanders,place of birth,Toronto,In what city was Mary Sanders born?,"['Toronto', 'City of Toronto', 'The Six', 'T-O', 'The 416', 'Hogtown']"
Ian Rutherford,place of birth,Dunedin,In what city was Ian Rutherford born?,"['Dunedin', 'Dunedin, NZ', 'Dunedin, New Zealand', 'Dunedin City']"
Andy Keeley,place of birth,Basildon,In what city was Andy Keeley born?,['Basildon']
Fernando García,place of birth,Santiago,In what city was Fernando García born?,"['Santiago', 'Santiago de Chile', 'Santiago, Chile']"
William Franklin Switzler,place of birth,Columbia,In what city was William Franklin Switzler born?,"['Columbia', 'Columbia, Missouri']"
Dennis Havig,place of birth,Powell,In what city was Dennis Havig born?,"['Powell', 'Powell, Wyoming']"
Petros Tabouris,place of birth,Athens,In what city was Petros Tabouris born?,['Athens']
György Kárpáti,place of birth,Budapest,In what city was György Kárpáti born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']"
Rolland Golden,place of birth,New Orleans,In what city was Rolland Golden born?,"['New Orleans', 'NOLA', 'New Orleans, Louisiana', 'New Orleans, LA', 'The Big Easy', 'Crescent City']"
John Mant,place of birth,Darling Point,In what city was John Mant born?,"['Darling Point', 'Darling Point, New South Wales', 'Darling Point, New South Wales, Australia']"
Andrea Magi,place of birth,Pesaro,In what city was Andrea Magi born?,['Pesaro']
Gérard Fromanger,place of birth,Jouars-Pontchartrain,In what city was Gérard Fromanger born?,['Jouars-Pontchartrain']
Joe English,place of birth,Newtownabbey,In what city was Joe English born?,['Newtownabbey']
Mukhtar Mukhtarov,place of birth,Lankaran,In what city was Mukhtar Mukhtarov born?,['Lankaran']
Renato Bartilotti,place of birth,Villahermosa,In what city was Renato Bartilotti born?,['Villahermosa']
Olegarius,place of birth,Tarragona,In what city was Olegarius born?,"['Barcelona', 'BCN', ""B'na"", 'Barcelona, Spain', 'Tarragona', 'Tarraco', 'Tarqon', 'Tarragona, Spain', 'Tarragona Spain']"
Philibert Orry,place of birth,Troyes,In what city was Philibert Orry born?,"['Troyes', 'Troyes, Aube', 'Troyes, Aube France']"
Shagari Mohammed,place of birth,Kano,In what city was Shagari Mohammed born?,['Kano']
Gyula Czimra,place of birth,Budapest,In what city was Gyula Czimra born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']"
Erik Pedersen,place of birth,Porsgrunn,In what city was Erik Pedersen born?,['Porsgrunn']
Pete Donohue,place of birth,Athens,In what city was Pete Donohue born?,"['Athens', 'Athens, Texas']"
Damian Pettigrew,place of birth,Quebec,In what city was Damian Pettigrew born?,"['Quebec', 'Québec', 'QC', 'Province of Quebec', 'Quebec, Canada', 'Quebec Province']"
Walter W. Arndt,place of birth,Istanbul,In what city was Walter W. Arndt born?,"['Istanbul', 'İstanbul']"
Christian Vaquero,place of birth,Montevideo,In what city was Christian Vaquero born?,['Montevideo']
David Watson,place of birth,Quebec City,In what city was David Watson born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']"
Catherine Tishem,place of birth,Norwich,In what city was Catherine Tishem born?,"['Norwich', 'Norwich, England', 'Norwich, Norfolk']"
Travis Thomas,place of birth,Washington,In what city was Travis Thomas born?,"['Washington', 'Washington, Pennsylvania']"
Rahmatullo Fuzailov,place of birth,Dushanbe,In what city was Rahmatullo Fuzailov born?,"['Dushanbe', 'Dyushambe', 'Stalinabad']"
Jiří Vyčichlo,place of birth,Prague,In what city was Jiří Vyčichlo born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']"
Youri Messen-Jaschin,place of birth,Arosa,In what city was Youri Messen-Jaschin born?,"['Arosa', 'Arosa GR']"
