obj,split
Rabaul,train
Fred Dinenage,train
Gianfranco Parolini,train
Dmitri Shostakovich,train
Pete Smith,train
Berthold Bartosch,train
Dafydd ab Hugh,train
Errol Flynn,train
Tim Kring,train
Quebec,train
Charles Stross,train
Turkey,train
Tracy Hickman,train
Gore Vidal,train
James Lapine,train
Johann Sebastian Bach,train
Roscoe Arbuckle,train
Greece,train
photographer,train
Saverio Mercadante,train
Minneapolis,train
Rudyard Kipling,train
Croatia,train
Julie Corman,train
Katie Roiphe,train
Brian Reed,train
Pete Michels,train
Nelson Rodrigues,train
Franklyn Barrett,train
South Africa,train
Leah Purcell,train
Buronson,train
Gaoua,train
association football,train
Joey Travolta,train
William Dean Howells,train
Willie Reale,train
Mary McGuckian,train
Dimitar Dimov,train
Mani Sharma,train
George Archainbaud,train
Carlos Hugo Christensen,train
Sergio Martino,train
Brescia,train
Belo Horizonte,train
Athens,train
Sidney Morgan,train
Laishevsky District,train
Jian Ghomeshi,train
Theodore Taylor,train
Norman Krasna,train
Gabriele Muccino,train
American Film Manufacturing Company,train
Isabelle Montour,train
Axel Munthe,train
Jac Holzman,train
Park Gok-ji,train
Herbert Achternbusch,train
Jeff Smith,train
swashbuckler film,train
Dean Parisot,train
Knud Leif Thomsen,train
Sybille Bedford,train
Aleksandr Rogozhkin,train
Kevin Billington,train
Mary Roberts Rinehart,train
Chulalongkorn,train
monk,train
Mel Ferrer,train
Lazar Ristovski,train
Sigmund Romberg,train
folk rock,train
Rajasenan,train
Larry Buchanan,train
Connie Willis,train
Tinchy Stryder,train
Allan Dwan,train
Boroughbridge,train
Holly Dale,train
Yann Tiersen,train
Saudi Arabia,train
Norma Talmadge,train
Marie Anne Mancini,train
Jean Aurenche,train
Henri-Georges Clouzot,train
Matthew Richey,train
Amma Asante,train
Naples,train
Sapporo,train
David Lowell Rich,train
Vercelli,train
Andy Ackerman,train
Mexico City,train
Gunnora,train
Vinton,train
Rex Ingram,train
David VII of Georgia,train
John Guillermin,train
Terence Rattigan,train
Youssef Chahine,train
Taunton,train
Karlstad,train
Rachel Cosgrove Payes,train
geneticist,train
Daniel Cross,train
Paramaribo,train
Chuck Workman,train
Jean-Pierre Mocky,train
Brian Aldiss,train
Claude Berri,train
Hobart Henley,train
Vaxholm,train
Jesse Bochco,train
Kij Johnson,train
Richard Brinsley Sheridan,train
Alasdair Gray,train
noise rock,train
Victor Herbert,train
Karlheinz Stockhausen,train
Melanie Rawn,train
Gregory Benford,train
Jeffrey Lau,train
Arturo Ambrosio,train
UB40,train
Rio de Janeiro,train
Miley Cyrus,train
Chicago blues,train
Joe Meno,train
Jack Heath,train
Centre-Sud Region,train
Fausto Brizzi,train
Eric Whitacre,train
Allen Fong,train
Wang Shuo,train
Bob Ellis,train
Stephen Lack,train
David Baldacci,train
Vatroslav Mimica,train
Robert Enrico,train
Haruki Kadokawa,train
Jimmie Johnson,train
Douglas Preston,train
Jim O'Connolly,train
fencing,train
Jem Cohen,train
Aage Neutzsky-Wulff,train
Roger Young,train
panel game,train
Colin Trevorrow,train
Surrey,train
Andrew Clements,train
Independent Moving Pictures,train
Gothenburg,train
Ebrahim Hatamikia,train
Gwen Raverat,train
Slovakia,train
film director,train
Charles Chauvel,train
Lord Clifden,train
Jean-Michel Charlier,train
Houston,train
Clyde Fitch,train
Alain Corneau,train
Bert Haanstra,train
Paul Armont,train
Dennis Kelly,train
Charles Dickens,train
Tommy Noonan,train
Kevin Williamson,train
Otto Brower,train
Christopher Priest,train
Roman Vlad,train
Kirsten Munk,train
seiyū,train
Otis Turner,train
Luis Moglia Barth,train
industrial metal,train
Bruges,train
Jack Conway,train
Ernst Winar,train
Frances Marion,train
Moira Buffini,train
Charles Cuvillier,train
Alexandre Brongniart,train
Joaquim Sapinho,train
Chano Urueta,train
reggae,train
Carleton Place,train
Bulgaria,train
Edward Albee,train
Pieter Pourbus,train
Irving Reis,train
Laurence Olivier,train
Meddler,train
Evan Parker,train
Armand Gatti,train
Eddie Vedder,train
Cosmopolitan Productions,train
Yeshaq I,train
David Slade,train
Walt Disney,train
Ken Wilber,train
Brou-sur-Chantereine,train
John Howard Lawson,train
Darrell Schweitzer,train
Whitley Strieber,train
Burewala,train
farmer,train
Jamie xx,train
Isaac Bashevis Singer,train
Leslie Cheung,train
Dickson,train
Trevor Horn,train
Shin Kibayashi,train
Edmond Keosayan,train
Binka Zhelyazkova,train
Dan Fogelman,train
Bonners Ferry,train
Harlan Ellison,train
Gillies MacKinnon,train
Matt Wayne,train
Harrison,train
Danielle Steel,train
Idrissa Ouédraogo,train
Walpole,train
Gene Autry,train
Cologne,train
musical film,train
Bill Rebane,train
power pop,train
Zakhar Prilepin,train
Juan Diego Solanas,train
contemporary Christian music,train
Denmark,train
Kenneth Hawks,train
Somerled,train
Rottweil,train
cycle sport,train
John Lennon,train
Oran,train
Carhaix-Plouguer,train
David Belasco,train
Todd Zeile,train
Erfurt,train
Muriel Box,train
John McGahern,train
Boris Blacher,train
Eric Idle,train
Florence,train
Masson-Angers,train
Hou Hsiao-Hsien,train
Holyoke,train
Katherine Mansfield,train
"Geoffrey de Mandeville, 1st Earl of Essex",train
Niki Karimi,train
Rex Beach,train
Ben Folds,train
Newtownabbey,train
landscape art,train
model,train
Scott Sigler,train
Walter West,train
Lincoln Child,train
history painting,train
Roy William Neill,train
Philip Haas,train
Khair Bakhsh Marri,train
Greg Child,train
Ma Teng,train
Rick Wakeman,train
Pabianice,train
Roger Marshall,train
Harry Cohn,train
Basil Dean,train
Maurine Dallas Watkins,train
Alice Hegan Rice,train
Claude Chabrol,train
New Orleans,train
Teddy McRae,train
opera,train
Roland J. Green,train
Frederik Pohl,train
Anna Karina,train
Hayley Williams,train
Frederic Louis Norden,train
Master P,train
"Adolfo Alix, Jr.",train
Bryan Foy,train
Virginia Van Upp,train
Diego Dubcovsky,train
Duke Xian of Jin,train
Kharkiv,train
Michael Worth,train
Mario Bonnard,train
Peru,train
Veit Harlan,train
Avi,train
Lucas Demare,train
Robert Mason,train
role-playing video game,train
Steve Lyons,train
Gordon Chan,train
Owen Wister,train
volleyball,train
Van Dyke Brooke,train
Maurice Pialat,train
Claude Debussy,train
Alan Hollinghurst,train
Sandra Seacat,train
"Charlotte, Grand Duchess of Luxembourg",train
Leon Trotsky,train
Israel,train
Lutheranism,train
Duke Ellington,train
Russell Kirk,train
Pamela Dean,train
Ealhmund of Kent,train
Carl Macek,train
Kure,train
Zane Grey,train
Sigismund I the Old,train
James Hilton,train
Carlo Lizzani,train
Himesh Reshammiya,train
Rudolf Noelte,train
Yousry Nasrallah,train
Satyajit Ray,train
Jeremy Doner,train
Richard Rodgers,train
Michael Robotham,train
Thampi Kannanthanam,train
Yoram Gross,train
Porsgrunn,train
Graham Stark,train
Henri Decoin,train
Cuvette Department,train
Gheorghe Vitanidis,train
Ken Hughes,train
Alain Tanner,train
curator,train
James Gleason,train
journalist,train
Venu Madhav,train
Fetsund,train
Henry Green,train
Margarethe von Trotta,train
Toronto,train
Berthierville,train
Matsuri Hino,train
Henry Levin,train
Francis Searle,train
Gordon Korman,train
Dick Maas,train
Judith Hermann,train
Paul Redford,train
Arthur Darvill,train
Lisa Tuttle,train
Chance Play,train
Mary Pickford,train
Brad Anderson,train
Jorge Amado,train
Silvio Muccino,train
Berlin,train
Pesaro,train
Wenceslaus I of Zator,train
Glenda Adams,train
Frank Reicher,train
Daniel Quinn,train
Djedefhor,train
Melvin Burgess,train
Craig Zisk,train
Queens,train
Lawrence Trilling,train
Kon Ichikawa,train
Chris Landreth,train
Krzysztof Krauze,train
Kursk,train
Charles Shaw-Lefevre,train
Bratsk,train
real-time strategy,train
cinematographer,train
Michael Curtiz,train
Armistead Maupin,train
Joaquim Manuel de Macedo,train
Andre Dubus,train
Uppsala,train
Jon Alpert,train
Ray Cooney,train
Stan Lathan,train
Evangelicalism,train
cricket umpire,train
Estonia,train
Kim Ki-duk,train
Rick Alverson,train
metalcore,train
Lewis Milestone,train
"Fred Niblo, Jr.",train
John Goldschmidt,train
Melissa Joan Hart,train
Tod Browning,train
horror literature,train
Arnold Fanck,train
Michael Frayn,train
Howard Skempton,train
Herman Wouk,train
chef,train
Dominic Savage,train
Liz Friedlander,train
Giuseppe Piccioni,train
Challedon,train
Gus Trikonis,train
Okakarara,train
Ric Flair,train
graphic designer,train
Uzeyir Hajibeyov,train
James Russo,train
William Kennedy,train
Henrik Ibsen,train
Simon Cellan Jones,train
Warren Ellis,train
Idries Shah,train
Afghanistan,train
Simon Hartog,train
Bruno Corbucci,train
Tony Richardson,train
Ben Travers,train
Didier Bourdon,train
August Derleth,train
Catholic Church,train
Villahermosa,train
Bill Drummond,train
Greek Orthodox Church of Antioch,train
Amqui,train
Anthony Powell,train
Kinuyo Tanaka,train
Karen Joy Fowler,train
Bryan Elsley,train
Lucan Biddulph,train
Fair Trial,train
Poul Anderson,train
Ford Madox Ford,train
symphonic metal,train
Carl Franklin,train
Aberdeen,train
Lankaran,train
Faulkton,train
Kazuki Kaneshiro,train
Mohsen Makhmalbaf,train
Samuel Robert Lichter,train
Christadelphians,train
thriller,train
Theo van Gogh,train
Ralph Murphy,train
Kari Hotakainen,train
Linz,train
platform game,train
Sidney J. Furie,train
Corinne Griffith,train
businessperson,train
"Rorgon I, Count of Maine",train
Russian rock,train
Marousi,train
San Fernando,train
Damien Dematra,train
genre painting,train
Gail Carriger,train
Salem Municipality,train
"George Marion, Jr.",train
Sinclair Lewis,train
Papa John Creach,train
Tony Benn,train
Alison Croggon,train
politician,train
missionary,train
Don McBrearty,train
Manuel Puig,train
coming-of-age story,train
Dorothy Arzner,train
adventure film,train
Stig Claesson,train
Jersey City,train
Jean Renoir,train
Michael Zinberg,train
Bernhard Kellermann,train
David Von Ancken,train
William Dieterle,train
Hattfjelldal,train
Tori Spelling,train
Nick Grinde,train
Benedict XVI,train
Wyllis Cooper,train
Geneseo,train
Jonathan Cape,train
Yvan Delporte,train
Erik Lidbom,train
espionage novel,train
Bar,train
Darrell Wasyk,train
Merle Oberon,train
Smokey Robinson,train
Later Zhao,train
Anthony Hickox,train
Elizabeth Moon,train
William Mastrosimone,train
Alberto Lattuada,train
Jean-Jacques Andrien,train
Om Prakash Rao,train
Abdur Rashid Kardar,train
Ching Siu-tung,train
Jilly Cooper,train
ambient music,train
Rita Dominic,train
Hayao Miyazaki,train
Mitchell Hurwitz,train
Parviz Shahbazi,train
Raj Mukherji,train
Mogilev,train
Isobelle Carmody,train
Emma Bull,train
indie rock,train
tennis,train
Samuel Goldwyn,train
William Randolph Hearst,train
Alfred Rolfe,train
epistolary novel,train
Paul Zindel,train
Don Hahn,train
biathlon,train
major general,train
indie pop,train
Perseus of Macedon,train
Carmine Gallone,train
Frans Masereel,train
Sandip Ray,train
Jean Ure,train
Gmina Kluczewsko,train
Svatopluk I,train
post-rock,train
Lise Mayer,train
Shin Sang-ok,train
Hormizd III,train
Anupam Sinha,train
Ali Smith,train
Eleanor Arnason,train
Ayn Rand,train
Jan Lenica,train
Hans-Hermann Hoppe,train
Alistair Beaton,train
crime film,train
Damien Broderick,train
Philadelphia,train
Montauban,train
bishop,train
Arnold Schoenberg,train
Yasutaka Nakata,train
Isaac Asimov,train
Don Hertzfeldt,train
Nepal,train
Hong Kong,train
George Martin,train
reggaeton,train
Lady Gaga,train
Tom Ricketts,train
Odsherred Municipality,train
Chris Impey,train
Sidney Olcott,train
Ariarathes V of Cappadocia,train
Walter Hugo Khouri,train
Carroll Ballard,train
Leo Tolstoy,train
Tove Jansson,train
Diana Mitford,train
Atom Egoyan,train
Reginald Le Borg,train
Littleton,train
Milcho Manchevski,train
Adam Powers,train
Basildon,train
post-punk,train
Ngaio Marsh,train
Romford,train
Feng Xiaoning,train
James Tinling,train
Israel Horovitz,train
Mike Costa,train
Ipatovo,train
Edward Small,train
Astrid Lindgren,train
Nacio Herb Brown,train
Jack Dann,train
Anoop Seelin,train
Canons Park,train
Amleto Palermi,train
Wolfgang Kohlhaase,train
Tartu,train
David Stevens,train
Patrick Grandperret,train
Hamburg,train
Albert Dupontel,train
Svika Pick,train
Mildred D. Taylor,train
William Churchill deMille,train
Carlo Verdone,train
rhythm and blues,train
Simon Garfield,train
Stuart Walker,train
Olivier Ducastel,train
Robin Jarvis,train
Khri ma lod,train
Constantine Bodin,train
John Gilling,train
Jorge Luis Borges,train
Robert Wiene,train
Frederick II of Legnica,train
Finos Film,train
Matthew Boulton,train
Duncan Fegredo,train
Eadbald of Kent,train
Douglas McGrath,train
Giuliano Montaldo,train
David Macaulay,train
Thomas Arne,train
fantasy film,train
James Fenimore Cooper,train
Kōbe,train
Pete Jones,train
Joseph McElroy,train
Albuquerque,train
Muscotah,train
Val McDermid,train
trance,train
Sergio Corbucci,train
Mimmo Calopresti,train
singer-songwriter,train
table tennis,train
ski mountaineering,train
Mark Tavener,train
Kimberley,train
Ben Sombogaart,train
Francis Hopkinson Smith,train
Dennis Foon,train
Jeffrey Kramer,train
Jonathan Hardy,train
Gogland,train
Larry Shaw,train
Borgosesia,train
Hato Mayor del Rey,train
Alice O'Fredericks,train
Kinnitty,train
alternative rock,train
Norwich,train
Robert Anton Wilson,train
Margo Lanagan,train
Dann Huff,train
J-pop,train
James LaBrie,train
H. C. McNeile,train
Harry Tobias,train
Jay Chou,train
Herentals,train
Alice Brown,train
"Jack Haley, Jr.",train
Avril Lavigne,train
Matthew Crouch,train
Jan Rybkowski,train
Donald Harington,train
Marion County,train
Pascal Thomas,train
Joseph Sargent,train
motorcycle speedway,train
Lulach,train
Sinclair Hill,train
Carl Stalling,train
Cairo,train
Pang brothers,train
Carlos Santana,train
smooth jazz,train
Bull Lea,train
Kiarash Anvari,train
Shinichi Sekizawa,train
Rosa von Praunheim,train
Makassar,train
Paul Cornell,train
Vittorio Alfieri,train
Myrtle Stedman,train
Jeff Pinkner,train
Kara DioGuardi,train
Ed Earl Repp,train
Madagascar,train
Alain Bashung,train
George Fitzmaurice,train
Arosa,train
futurepop,train
Danny Cannon,train
Ryan Larkin,train
Nigel Hinton,train
horse trainer,train
Busia District,train
romance film,train
Greenland,train
Elizabeth of Hungary,train
Dayal Padmanabhan,train
John Prise,train
John Updike,train
Joe Dever,train
Johnston County,train
Ristiina,train
Joanna Glass,train
Hans Hinrich,train
Tamar Simon Hoffs,train
Mal Waldron,train
Cecil Hepworth,train
Guarenas,train
puzzle video game,train
Welwyn Wilton Katz,train
Claude Jutra,train
Jack Johnson,train
Mitsukazu Mihara,train
Romolo Guerrieri,train
Peter Lilienthal,train
Wang Tingcou,train
Nikolaus Geyrhalter,train
Sacha Guitry,train
Norman McLaren,train
Murong Jun,train
Paul Erman,train
Oliba Cabreta,train
Towa Tei,train
Texas,train
lyricist,train
Recanati,train
Frans Sammut,train
Luther Reed,train
Matthew Saville,train
Russian Empire,train
Jiang Wenli,train
Bernardo Sassetti,train
Telets of Bulgaria,train
Santurtzi,train
Saitama Prefecture,train
Marseille,train
Wu Ma,train
Plautus,train
Kiel,train
Carl Zuckmayer,train
Jedlnia-Letnisko,train
Tahmineh Milani,train
War Admiral,train
Cherkasy Oblast,train
Anders Refn,train
Thomas Woods,train
BBC,train
rock music,train
Fred Niblo,train
Quentin Lawrence,train
Miho Obana,train
People's Republic of China,train
novelist,train
Sergey Kuryokhin,train
progressive house,train
Santa Barbara,train
Harold Becker,train
Abatai,train
turn-based strategy video game,train
Diana Wynne Jones,train
bobsleigh,train
Michael Tippett,train
Leith,train
Damon Knight,train
Gene Kemp,train
Arne Garborg,train
Philip Dunning,train
Frank Howson,train
M. B. Sreenivasan,train
film producer,train
Jay Woelfel,train
Maracay,train
Fiji,train
Raghavan,train
Oksana Zabuzhko,train
Joseph Heller,train
mandopop,train
portrait,train
Ludwig Berger,train
Lev Arnshtam,train
David Cronenberg,train
Palencia,train
Valerie Bertinelli,train
Impfondo,train
John Wyndham,train
Daniel Filho,train
Pratibha Parmar,train
Peter II of Portugal,train
Ruteng,train
Charles Laughton,train
Kinaryosih,train
Betty Box,train
David Marshall Grant,train
Karatsu,train
Igor Stravinsky,train
The Malloys,train
Jeanne Moreau,train
Primo Zeglio,train
Steven Saylor,train
Almaty,train
Carrie Akre,train
Dariush Mehrjui,train
Mitsumasa Anno,train
Nicole Conn,train
Roderick Gordon,train
Yōji Yamada,train
Mike O'Malley,train
Nikolai Rimsky-Korsakov,train
Kevin Crossley-Holland,train
John Cromwell,train
Dushanbe,train
Bille August,train
Ringo Lam,train
Vice Regent,train
Meridel Le Sueur,train
Menahem Golan,train
Lemmy Kilmister,train
Stone,train
Podujevo,train
Werner Jacobs,train
doo-wop,train
Charles Fort,train
Blushing Groom,train
Matt Olmstead,train
Jessica Yu,train
Douglas Fairbanks,train
Marco Ferreri,train
Gaelic football,train
Mahmoud Shoolizadeh,train
Gianni Amelio,train
"William Marshal, 1st Earl of Pembroke",train
Matthew Lessner,train
pop music,train
dubstep,train
public art,train
Scott Bradley,train
Cantopop,train
novella,train
Sukanta Bhattacharya,train
Scott Turow,train
Nils Malmros,train
Matt Pizzolo,train
Hugh Leonard,train
Otterberg,train
A. J. Quinnell,train
Cluj-Napoca,train
Nuremberg,train
songwriter,train
Daniel Burman,train
Don Weis,train
Rufus Thomas,train
Ivan Kotliarevskyi,train
Maurice Ravel,train
Herman Yau,train
Judith Light,train
Mechetlinsky District,train
Michael Katleman,train
Walter Reisch,train
Troyes,train
Birkenhead,train
Perry,train
Jason Cahill,train
Bono,train
Reza Mirkarimi,train
Dick Glasser,train
Ann Hui,train
Stephen Belber,train
Angel Locsin,train
Bern,train
Eileen Wilks,train
James Shirley,train
Jamshed Usmonov,train
Suelette Dreyfus,train
Ariarathes IV of Cappadocia,train
Georg Jacoby,train
Frederic Zelnik,train
Lodeynopolsky District,train
Salah Abu Seif,train
Stefan Zweig,train
Laetitia Masson,train
Yang Xingmi,train
Gregory Maguire,train
Brion Gysin,train
Colombia,train
Pete Hautman,train
popular music,train
Claude Pinoteau,train
Tochigi Prefecture,train
Brazil,train
Salvatore Samperi,train
Frans Weisz,train
Lecce,train
Jeremy Kagan,train
Mick Schultz,train
Bhuvanekabahu VI of Kotte,train
Hammelburg,train
Gavin O'Connor,train
Marc Hempel,train
Syed Noor,train
Doug Naylor,train
Marshall Islands,train
Perth,train
Elmer Blaney Harris,train
Hall Caine,train
Dakar,train
Sun Yu,train
Manuel Summers Rivero,train
Carl Froelich,train
Dave Boyle,train
Todd Field,train
Maykop,train
Jack Thorne,train
Roman Polanski,train
Warner Bros.,train
cross-country skiing,train
Brisbane,train
Kanon Wakeshima,train
Dmitriyevsky District,train
Oscar Micheaux,train
"Eochaid, son of Rhun",train
Terry Brooks,train
Pyotr Ilyich Tchaikovsky,train
Bronxville,val
Victor Schertzinger,val
Hal Roach,val
Palmdale,val
Ron Mann,val
Ernest Reyer,val
Moscow,val
Huntington Hartford,val
paranormal romance,val
Lukas Moodysson,val
Espargos,val
Alex Chandon,val
Tony Visconti,val
Hugo del Carril,val
Kyle Killen,val
Walter Forde,val
Rabindranath Tagore,val
Kim Ki-young,val
Ratnakar Matkari,val
Matt Beaumont,val
Dougal Wilson,val
Néma,val
Jack Benny,val
Hall Bartlett,val
Steve Gerber,val
Jack Welch,val
James Hadley Chase,val
New York City,val
Beijing,val
Louis Hirsch,val
Buenos Aires,val
Clive Holden,val
Sergio Rubini,val
Bob Neuwirth,val
Umberto Lenzi,val
Ruth Manning-Sanders,val
Turku,val
Lon Chaney,val
Robert Charles Wilson,val
Tedd Pierce,val
Henry Rollins,val
reality television,val
"Keran, Queen of Armenia",val
Fridrikh Ermler,val
Ahmed Ahmed,val
Antwerp,val
Ouida,val
Luciano Emmer,val
Howard Bretherton,val
Christopher Golden,val
Steve Roach,val
Domenico Paolella,val
Newcastle upon Tyne,val
Jason Sherman,val
Teddy Sinclair,val
Brian Alexander Morgan,val
William Faulkner,val
Jeff Bhasker,val
Abbas Kiarostami,val
Arlene Sanford,val
romance novel,val
Jos Stelling,val
John Brahm,val
short story,val
Amsterdam,val
Peter Wintonick,val
American football,val
Sarah Fielding,val
Norway,val
Sunday Silence,val
Kevin Spacey,val
Steven Schachter,val
Los Angeles,val
Lavalleja Department,val
Gregg Hurwitz,val
Saul Bellow,val
Keisuke Kinoshita,val
Sreekumaran Thampi,val
Don Rosa,val
Stan Brakhage,val
Koper,val
Alfian Sa'at,val
Tetsuo Shinohara,val
Aceh Timur,val
Kurt Weill,val
priest,val
Elliott Hayes,val
Sanaa,val
Paul Greengrass,val
Nino Manfredi,val
Tian Han,val
Azerbaijan,val
Nick Tosches,val
Sabina Guzzanti,val
Pedro Costa,val
Edward Dmytryk,val
Slovenia,val
Ingmar Bergman,val
Alberto Ginastera,val
Puebla,val
Peter Pohl,val
Conor McPherson,val
Lisa Unger,val
Gofraid mac Arailt,val
Bernard Campan,val
Henry Fielding,val
Lebanon,val
James Cruze,val
Rob Hubbard,val
Michele Placido,val
Los Mochis,val
Robert Louis Stevenson,val
Tarachand Barjatya,val
Mikis Theodorakis,val
Thomas William Robertson,val
Linda Howard,val
Charles Strouse,val
Pauline Kael,val
Karel Zeman,val
Maurice Elvey,val
badminton,val
Ray Davies,val
Kaunas,val
Macrianus Major,val
Giambattista Basile,val
Timo Rose,val
Luis Alcoriza,val
David Devine,val
John Pardee,val
Erin Hunter,val
Milan,val
Agha Hashar Kashmiri,val
Luna Sea,val
Allan Arkush,val
Ilaiyaraaja,val
Lubango,val
Georges Sari,val
Ali Dashti,val
Alistair MacLeod,val
Junji Sakamoto,val
Makoto Tateno,val
David Lynch,val
"Rathmore, County Kerry",val
Guadalajara,val
mystery film,val
Hemel Hempstead,val
Deborah Moggach,val
Henry II of England,val
Clifton Ko,val
Henry Lawson,val
Kroger Babb,val
Henryk Grynberg,val
Francesco Maselli,val
Maarten 't Hart,val
Krzysztof Zanussi,val
Piers Anthony,val
acid house,val
Kalinda Vazquez,val
Cleveland,val
Darezhan Omirbaev,val
Bob Leman,val
Noam Chomsky,val
funk rock,val
Roger Corman,val
Quintero brothers,val
Duccio Tessari,val
Count Fleet,val
Alessandro Di Robilant,val
John Kander,val
Dirk Maggs,val
Aaro Hellaakoski,val
rabbi,val
experimental film,val
Shi Hu,val
Hattiesburg,val
Anthony Burgess,val
magistrate,val
Herbert Mason,val
Gordon Douglas,val
Leeds,val
Max Perutz,val
Simon Kernick,val
Ewald André Dupont,val
Lesley Selander,val
Mariah Carey,val
Archie Mayo,val
Mikhail Saltykov-Shchedrin,val
Selkirkshire,val
Gerardo Vera,val
Kenneth Branagh,val
Seabury Quinn,val
Im Sang-soo,val
Inger Christensen,val
Walton,val
Ken Burns,val
Riot grrrl,val
Watseka,val
Alexandre Astruc,val
Presbyterianism,val
Guacara,val
Chico Buarque,val
Johnny Harris,val
Pat Powers,val
electronic music,val
Topel Lee,val
screenwriter,val
Jacques Jaccard,val
Alfred Ely Beach,val
Sucha Beskidzka,val
Daniel Defoe,val
Ron Underwood,val
Sean Stewart,val
Spas-Demensky District,val
Ray Wilson,val
Ace Wilder,val
Ellen Hopkins,val
Anglicanism,val
Tian Zhuangzhuang,val
Jules Massenet,val
Ranuccio I Farnese,val
Constantine I of Georgia,val
Justin Richards,val
Mark Twain,val
hairdresser,val
John Zorn,val
Bernard Slade,val
blaxploitation,val
Ray Enright,val
Heraclius II of Georgia,val
Broad Brush,val
Albert Capellani,val
bebop,val
Fuyumi Soryo,val
Paulo Porto,val
Kelly Overton,val
Beaumont Smith,val
Joe Burke,val
Damian Thompson,val
Anthony Kimmins,val
Rob Nilsson,val
Mario Camerini,val
Galt MacDermot,val
Justin Bieber,val
La Chaux-de-Fonds,val
Lyon,val
Jan Campert,val
Lynne Littman,val
King Vidor,val
Shunji Iwai,val
David Nutter,val
Frederick Storrs Turner,val
thrash metal,val
Iris Murdoch,val
industrial rock,val
Rolf Hansen,val
Antonio Negri,val
Elizabeth Jordan,val
Hermann Bahr,val
cyclo-cross,val
Judy Blume,val
James Heneghan,val
India,val
Noginsk,val
Maurizio Ponzi,val
Leo XIII,val
Seraing,val
Ubud,val
Marco Denevi,val
David Was,val
Oskar Messter,val
Vietnam,val
factual television,val
Archibald MacLeish,val
Karin Molander,val
Mordecai Richler,val
Fred Frith,val
Michael Palin,val
Ben Elton,val
Warsaw,val
Pierre Granier-Deferre,val
George R. Stewart,val
adventure game,val
Jack Hibberd,val
Graham Swift,val
Kingston,val
philosopher,val
Alessandro Blasetti,val
Takashi Miike,val
Finland,val
Ettore Scola,test
Ronit Elkabetz,test
record producer,test
Cy Endfield,test
Pradeep Kumar,test
Sergei Rachmaninoff,test
Koo Hye-sun,test
Gary David Goldberg,test
Michael Thornhill,test
Lance Bangs,test
Ruth Rendell,test
Darko Dimitrov,test
Nigel Dick,test
Brunello Rondi,test
Avi Nesher,test
Gustaf Molander,test
legal drama,test
Yumi Tamura,test
Yoshihiro Nakamura,test
Kevin Falls,test
I. V. Sasi,test
Diane Keaton,test
Aalborg,test
Seamus Heaney,test
Georgetown,test
Geneva,test
Saint Petersburg,test
Jonathan Nossiter,test
Raymond Longford,test
Casimir IV Jagiellon,test
D. C. Moore,test
Little Rock,test
Tim Pears,test
Linda Nagata,test
Scott McClellan,test
Iain James,test
Yvonne Okoro,test
Colin Bateman,test
Arne Skouen,test
Howard Goodall,test
Slavník,test
Jed Whedon,test
Hans Werner Henze,test
Karl Edward Wagner,test
Michel Deville,test
Britpop,test
Daniel Guggenheim,test
John Dickson Carr,test
Australia,test
Portugal,test
Rocky,test
Karin Alvtegen,test
Dell Henderson,test
action role-playing game,test
Jack McDevitt,test
will.i.am,test
Edinburgh,test
Miner County,test
Ernst Lubitsch,test
judo,test
Mackay,test
Ricardo Palma,test
Michael Grossman,test
Charles Guggenheim,test
Ingela Forsman,test
Greg Egan,test
Andrew I of Hungary,test
Julio Médem,test
Guangzhou,test
Violante Manuel,test
Minoru Kawasaki,test
Shane Maloney,test
Mechelen,test
Alex van Warmerdam,test
Christa Wolf,test
Pakistan,test
Sinsheim,test
Jeff Woolnough,test
heavy metal,test
Stephen Dorff,test
Montreal,test
Abbas Mirza,test
Marcel Pagnol,test
Star Kingdom,test
production designer,test
Mortain,test
Tom Verica,test
Picton,test
Charlie Parker,test
P. Chandrakumar,test
Patrick McGrath,test
Vsevolod Pudovkin,test
Bill Travers,test
Gail Carson Levine,test
Einojuhani Rautavaara,test
ice hockey,test
Pen Densham,test
Warri,test
Maximilian Schell,test
Pierre Tchernia,test
Toomyvara,test
George Seaton,test
Pieter Verhoeff,test
Per Fly,test
Jacques Offenbach,test
Turin,test
Carlos Schlieper,test
artistic gymnastics,test
Harry Langdon,test
Melissa Marr,test
Joss Whedon,test
Barry Pilton,test
Tantieme,test
Tarusa,test
Jennifer Fallon,test
racing video game,test
Lyphard,test
Ralph Waldo Emerson,test
Christian-Jaque,test
Patti Smith,test
Oliver Morosco,test
"Gaston I, Count of Foix",test
Nicola Griffith,test
Theresa,test
Graham Streeter,test
Rome,test
Ellen Wilkinson,test
Harold Brighouse,test
Tan Dun,test
Eureka,test
Armin van Buuren,test
Preston Sturges,test
Dick Francis,test
Dieter Bohlen,test
Evan Brewer,test
Kaushik Ganguly,test
Droitwich Spa,test
Peter Wessel Zapffe,test
William A. Brady,test
architect,test
Ron Geesin,test
Paolo Villaggio,test
Adrian Belew,test
Walter Summers,test
Alain Souchon,test
Margit Sandemo,test
Nikolai Leskov,test
Harrisburg,test
Henry Fane of Brympton,test
test pilot,test
Carlo Mazzacurati,test
Irving Thalberg,test
Hope Hampton,test
Werner Schroeter,test
Karim Khan,test
sitcom,test
anarcho-punk,test
Arizona Territory,test
William A. Seiter,test
Frank Capra,test
Philip Glass,test
television comedy,test
biographical film,test
Kambarka,test
