subj,prop,obj,question,answers_list,s_pop,generated,model_knew
Clem Michael,father,Stephen Michael,Who is the father of Clem Michael?,"['Stephen Michael', 'Stephen Albert Michael']",145,I am unable to verify who the father of Clem Michael is.,False
Jean-Auguste Barre,father,Jacques-Jean Barre,Who is the father of Jean-Auguste Barre?,"['Jacques-Jean Barre', 'Jean Jacques Barre', 'Jean-Jacques Barré', 'Jean-Jacques Barre']",194,I am unable to verify who the father of Jean-Auguste Barre is.,False
Konstanty Władysław Filip Sobieski,father,John III Sobieski,Who is the father of Konstanty Władysław Filip Sobieski?,"['John III Sobieski', 'Jan III Sobieski', 'King of Poland John Sobieski', 'King of Poland John III Sobieski', 'King of Poland Jan III', 'roi de Pologne Jean III', 'III Sobjeskis, Pokaralis Jans', 'King of Poland John III', 'King of Poland Jana III', 'Sobieski, re di Polonia Jan III', 'król Polski Jan III Sobieski', 'III Sobjeskis, Polijas karalis Jans']",312,I do not have information on a historical figure named Konstanty Władysław Filip Sobieski.,False
Eric Anundsson,father,Anund Uppsale,Who is the father of Eric Anundsson?,['Anund Uppsale'],420,I am unable to verify who the father of Eric Anundsson is.,False
Maurice Laing,father,John Laing,Who is the father of Maurice Laing?,"['John Laing', 'Sir John William Laing']",138,I do not have information on who the father of Maurice Laing is.,False
Ginger Punch,father,Awesome Again,Who is the father of Ginger Punch?,['Awesome Again'],129,I am unable to verify who the father of Ginger Punch is.,False
Dance in the Dark,father,Sunday Silence,Who is the father of Dance in the Dark?,['Sunday Silence'],155,I am unable to verify who the father of Dance in the Dark is.,False
Princess Cristina of Bourbon-Two Sicilies,father,Francis II of the Two Sicilies,Who is the father of Princess Cristina of Bourbon-Two Sicilies?,"['Francis II of the Two Sicilies', 'Francis II']",179,I am unable to verify who the father of Princess Cristina of Bourbon-Two Sicilies is.,False
Pierre Joxe,father,Louis Joxe,Who is the father of Pierre Joxe?,['Louis Joxe'],339,I do not have information on Pierre Joxe's father.,False
Irene Laskarina,father,Theodore I Laskaris,Who is the father of Irene Laskarina?,['Theodore I Laskaris'],359,I do not have information on Irene Laskarina.,False
Infanta Francisca Josefa of Portugal,father,Peter II of Portugal,Who is the father of Infanta Francisca Josefa of Portugal?,"['Peter II of Portugal', 'Prince, son of João IV, King of Portugal Pedro I', 'king of Portugal Peter II', 'King of Portugal Pedro II', 'roi de Portugal Pierre II', 'Peter II', 'Unico Pedro', 'King of Portugal Petrus II', 'King of Portugal Peter II']",454,I am unable to verify who the father of Infanta Francisca Josefa of Portugal is.,False
Seol Chong,father,Wonhyo,Who is the father of Seol Chong?,"['Wonhyo', 'Won-ho']",307,I am unable to verify who the father of Seol Chong is.,False
Frederick Jagiellon,father,Casimir IV Jagiellon,Who is the father of Frederick Jagiellon?,['Casimir IV Jagiellon'],241,I am unable to verify who the father of Frederick Jagiellon is.,False
But Why Not,father,Blue Larkspur,Who is the father of But Why Not?,['Blue Larkspur'],96,"I'm not aware of any well-known figure or character named ""But Why Not."" However, I can think of a few possibilities:

1.  But Why Not is a phrase popularized by the American professional basketball player, Stephen Curry. He often uses this phrase in interviews and on social media to express his optimism and",False
Match II,father,Tantieme,Who is the father of Match II?,['Tantieme'],58,"I'm not aware of any information about a person named ""Match II"" or a well-known figure by that name.",False
Concern,father,Broad Brush,Who is the father of Concern?,['Broad Brush'],163,"I'm not aware of any well-known person or entity referred to as the ""father of Concern."" However, I can think of a few possibilities:

1. Concern Worldwide: Concern Worldwide is an international humanitarian organization that provides aid to people affected by crisis and poverty. The organization was founded in 1968 by John O",False
Alexander,father,Ivan Shishman of Bulgaria,Who is the father of Alexander?,['Ivan Shishman of Bulgaria'],213,"There are several historical figures named Alexander, so it's possible you're referring to one of the following:

1. Alexander the Great: He was the king of the ancient Greek kingdom of Macedon and the son of King Philip II of Macedon and Queen Olympias II of Epirus.
2. Alexander Graham Bell",False
Amenemopet,father,Amenhotep II,Who is the father of Amenemopet?,"['Amenhotep II', 'Amenophis II']",202,I am unable to verify who the father of Amenemopet is.,False
"Sophia Jagiellon, Duchess of Brunswick-Lüneburg",father,Sigismund I the Old,"Who is the father of Sophia Jagiellon, Duchess of Brunswick-Lüneburg?","['Sigismund I the Old', 'Sigismund the Old', 'roi de Pologne Sigismond I', 'King of Poland Zygmunt Stary', 'King of Poland Sigismund I', 'Zygmunt Stary', 'King of Poland Zsigmond', 're di Polonia Zygmunt I Stary', 'król Polski Zygmunt I Stary', 'Zygmunt I Stary', 'krol Polski Zygmunt I Stary']",291,"I am unable to verify who the father of Sophia Jagiellon, Duchess of Brunswick-Lüneburg is.",False
Reset,father,Zabeel,Who is the father of Reset?,['Zabeel'],233,"I'm not aware of any widely recognized figure known as the ""father of Reset."" However, there are a few possibilities:

1.  In the context of computer science, the term ""reset"" can refer to the process of restoring a computer system to its default state. In this case, the concept of reset is",False
Alexandra Kitchin,father,George Kitchin,Who is the father of Alexandra Kitchin?,"['George Kitchin', 'George William Kitchin']",427,I am unable to verify who Alexandra Kitchin's father is.,False
Nicholas I of Bohemia,father,Ottokar II of Bohemia,Who is the father of Nicholas I of Bohemia?,"['Ottokar II of Bohemia', 'Ottokar II the Great', 'Otakar II the Great']",215,The father of Nicholas I of Bohemia is Casimir I of Poland.,False
Court Martial,father,Fair Trial,Who is the father of Court Martial?,['Fair Trial'],130,The father of Court Martial is considered to be Sir John Fortescue.,False
Princess Yamanobe,father,Tenji,Who is the father of Princess Yamanobe?,"['Tenji', 'Tenji-tennō', 'Emperor Tenji']",143,I am unable to verify who the father of Princess Yamanobe is.,False
Isaac Bowman,father,George Bowman,Who is the father of Isaac Bowman?,['George Bowman'],206,I am unable to verify who the father of Isaac Bowman is.,False
Vira Someshwara,father,Vira Narasimha II,Who is the father of Vira Someshwara?,['Vira Narasimha II'],425,I am unable to verify who the father of Vira Someshwara is.,False
Caveat,father,Cannonade,Who is the father of Caveat?,['Cannonade'],152,I am not aware of any information about a person named Caveat.,False
Anton II of Georgia,father,Heraclius II of Georgia,Who is the father of Anton II of Georgia?,"['Heraclius II of Georgia', 'Heraclius II', 'Erekle II']",236,I am unable to verify who the father of Anton II of Georgia is.,False
Alfred Jefferis Turner,father,Frederick Storrs Turner,Who is the father of Alfred Jefferis Turner?,['Frederick Storrs Turner'],143,I am unable to verify who Alfred Jefferis Turner's father is.,False
Matthew Henry Richey,father,Matthew Richey,Who is the father of Matthew Henry Richey?,['Matthew Richey'],90,I am unable to verify who the father of Matthew Henry Richey is.,False
Gouverneur Morris II,father,Gouverneur Morris I,Who is the father of Gouverneur Morris II?,"['Gouverneur Morris I', 'Gouverneur Morris', 'Governor Morris']",464,I am unable to verify who the father of Gouverneur Morris II is.,True
Alexander,father,Perseus of Macedon,Who is the father of Alexander?,"['Perseus of Macedon', 'Persius']",416,"There are several historical figures named Alexander, so it's possible you're referring to one of the following:

1. Alexander the Great: He was the king of the ancient Greek kingdom of Macedon and the son of King Philip II of Macedon and Queen Olympias II of Epirus.
2. Alexander Graham Bell",False
Jinsa,father,Geungusu,Who is the father of Jinsa?,"['Geungusu', 'Geungusu of Baekje']",165,I am unable to verify who Jinsa's father is.,False
Wang Yuankui,father,Wang Tingcou,Who is the father of Wang Yuankui?,['Wang Tingcou'],68,I am unable to verify who Wang Yuankui's father is.,False
Dafydd ap Dafydd ap Llywelyn,father,Dafydd ap Llywelyn,Who is the father of Dafydd ap Dafydd ap Llywelyn?,"['Dafydd ap Llywelyn', 'Daffyd ap Llywelyn, Prince of North Wales']",244,I do not have information on who the father of Dafydd ap Dafydd ap Llywelyn is.,True
Mojmir II,father,Svatopluk I,Who is the father of Mojmir II?,['Svatopluk I'],393,I do not have information on Mojmir II.,False
Dixie Union,father,Dixieland Band,Who is the father of Dixie Union?,['Dixieland Band'],113,I am unable to verify who the father of Dixie Union is.,False
Niketa Thopia,father,Karl Topia,Who is the father of Niketa Thopia?,['Karl Topia'],315,I am unable to verify who the father of Niketa Thopia is.,False
Telerig of Bulgaria,father,Telets of Bulgaria,Who is the father of Telerig of Bulgaria?,['Telets of Bulgaria'],317,I do not have information on who the father of Telerig of Bulgaria is.,False
Ludmila Zeman,father,Karel Zeman,Who is the father of Ludmila Zeman?,"['Karel Zeman', 'Земан Карел', 'Karla Zemana', 'Карел Земан']",241,I do not have information on who Ludmila Zeman's father is.,False
Charles Catton the younger,father,Charles Catton,Who is the father of Charles Catton the younger?,"['Charles Catton', 'Charles, the elder Catton', 'R. A. Catton', 'Charles Catton the Elder', 'Charles I Catton', 'Charles, I Catton', 'Charles Caton', 'Charles (I) Catton', 'Caton', 'Catton R.A.', 'Catton', 'R.A. Catton', '[Charles Catton]', 'Charles Catton the elder, RA']",450,I am unable to verify who the father of Charles Catton the younger is.,True
Mohammed Omar Abdel-Rahman,father,Omar Abdel-Rahman,Who is the father of Mohammed Omar Abdel-Rahman?,['Omar Abdel-Rahman'],335,I do not have information on the father of Mohammed Omar Abdel-Rahman.,True
Herbert Richmond,father,William Blake Richmond,Who is the father of Herbert Richmond?,"['William Blake Richmond', 'Sir William Blake Richmond', 'Sir William Blake Richmond KCB', 'Sir William Blake Richmond KCB, RA', 'William Blake Richmond (Sir)', 'William Blake, Sir Richmond', 'Sir William Richmond', 'William Richmond']",307,I am unable to verify who Herbert Richmond's father is.,False
"Gaston II, Count of Foix",father,"Gaston I, Count of Foix","Who is the father of Gaston II, Count of Foix?","['Gaston I, Count of Foix']",231,"I am unable to verify who the father of Gaston II, Count of Foix was.",False
Dawit III,father,Iyasu I,Who is the father of Dawit III?,"['Iyasu I', 'Iyasu the Great', 'Adyam Sagad']",424,I am unable to verify who the father of Dawit III is.,False
"Edward Lloyd-Mostyn, 2nd Baron Mostyn",father,"Edward Lloyd, 1st Baron Mostyn","Who is the father of Edward Lloyd-Mostyn, 2nd Baron Mostyn?","['Edward Lloyd, 1st Baron Mostyn']",131,"I do not have information on Edward Lloyd-Mostyn, 2nd Baron Mostyn.",False
George,father,Constantine I of Georgia,Who is the father of George?,"['Constantine I of Georgia', 'Constantine I Bagrationi, King of Georgia']",58,I need more information about George. There are many notable individuals named George throughout history and in contemporary times. Could you please provide more context or specify which George you are referring to?,False
Eormenred of Kent,father,Eadbald of Kent,Who is the father of Eormenred of Kent?,['Eadbald of Kent'],310,I do not have information on who the father of Eormenred of Kent is.,False
George F. Sternberg,father,Charles Hazelius Sternberg,Who is the father of George F. Sternberg?,"['Charles Hazelius Sternberg', 'Sternberg']",213,I do not have information on the father of George F. Sternberg.,True
Proud Clarion,father,Hail To Reason,Who is the father of Proud Clarion?,['Hail To Reason'],159,I am unable to verify who the father of Proud Clarion is.,False
Elma Yerburgh,father,Daniel Thwaites,Who is the father of Elma Yerburgh?,['Daniel Thwaites'],386,I am unable to verify who Elma Yerburgh's father is.,False
Marvell Thomas,father,Rufus Thomas,Who is the father of Marvell Thomas?,['Rufus Thomas'],332,I do not have information on who the father of Marvell Thomas is.,False
Manila,father,Lyphard,Who is the father of Manila?,['Lyphard'],389,"The father of Manila is often attributed to be Rajah Lakandula, a local ruler of the Tondo Kingdom in the 16th century. However, the city's founder is often considered to be Rajah Sulayman, also known as Rajah Sulaiman III, who was a Muslim ruler of the",False
Ragnall mac Gofraid,father,Gofraid mac Arailt,Who is the father of Ragnall mac Gofraid?,['Gofraid mac Arailt'],167,I am unable to verify who the father of Ragnall mac Gofraid is.,False
Morgan,father,Henry II of England,Who is the father of Morgan?,"['Henry II of England', 'Henry Curtmantle', 'Henry FitzEmpress', 'Henry Plantagenet', 'Henry II', 'King of England Henry II', 'Henry of Anjou', 'King Henry II of England', 'King Henry II']",115,I can't verify who Morgan's father is.,False
John Shaw-Lefevre,father,Charles Shaw-Lefevre,Who is the father of John Shaw-Lefevre?,"['Charles Shaw-Lefevre', 'Charles Shaw Lefevre']",103,I do not have information on who the father of John Shaw-Lefevre is.,False
Ghazan Marri,father,Khair Bakhsh Marri,Who is the father of Ghazan Marri?,"['Khair Bakhsh Marri', 'Nawab Khair Bakhsh Marri']",378,I do not have information on who the father of Ghazan Marri is.,False
Now What,father,Chance Play,Who is the father of Now What?,['Chance Play'],59,"I'm not aware of any well-known person or entity referred to as the ""father of Now What."" However, I can think of a few possibilities:

1.  ""Now What?"" is a phrase that can be used in various contexts, such as a question or a title for a work. It's also the",False
"Thomas Fane, 8th Earl of Westmorland",father,Henry Fane of Brympton,"Who is the father of Thomas Fane, 8th Earl of Westmorland?","['Henry Fane of Brympton', 'Henry Fane of Bristol', 'Henry Fane']",487,"I am unable to verify who the father of Thomas Fane, 8th Earl of Westmorland is.",False
Arabia,father,Justin II,Who is the father of Arabia?,"['Justin II', 'Iustinus II']",436,"The concept of a single ""father of Arabia"" can be interpreted in different ways, depending on the context and historical period. However, I'll provide a few possible answers:

1. **Ishmael**: In the biblical account, Ishmael is considered the father of the Arabs. He was the son of",False
Parakramabahu VII of Kotte,father,Bhuvanekabahu VI of Kotte,Who is the father of Parakramabahu VII of Kotte?,"['Bhuvanekabahu VI of Kotte', 'Bhuvaneka Bãhu VI', 'Sapumal Kumaraya', 'Chempaha Perumal']",248,I do not have information on the father of Parakramabahu VII of Kotte.,False
Matthew Robinson Boulton,father,Matthew Boulton,Who is the father of Matthew Robinson Boulton?,['Matthew Boulton'],234,I do not have information on the father of Matthew Robinson Boulton.,False
"William de Mandeville, 3rd Earl of Essex",father,"Geoffrey de Mandeville, 1st Earl of Essex","Who is the father of William de Mandeville, 3rd Earl of Essex?","['Geoffrey de Mandeville, 1st Earl of Essex']",475,"I am unable to verify who the father of William de Mandeville, 3rd Earl of Essex is.",False
Clemente Palma,father,Ricardo Palma,Who is the father of Clemente Palma?,"['Ricardo Palma', 'Manuel Ricardo Palma Soriano']",181,I do not have information on who the father of Clemente Palma is.,False
Giacomo Guardi,father,Francesco Guardi,Who is the father of Giacomo Guardi?,"['Francesco Guardi', 'Francesco Guada', 'François Guardi', 'Fr. Guardi', 'Francesco Gardis', 'Franchesko Gvardi', 'Francesco Guarde', 'Francesco Gauda', 'Francesco Guardet', 'Francesco Gardi', 'Francesco Garde', 'Francesco de Guardi', 'Francesco Lazzaro Guardi', 'School of Guardi', ""Francesco de' Guardi"", 'Guardie', 'Gaurdy', 'Guada', 'francesco quardi', 'guarde f.', 'Gardi', 'Garde', 'Guardet', 'Gauda', 'guardi francesco', 'franc. guardi', 'Francisco Guardi', 'Fran. Guardi', 'fr. guardi', 'Guarde', 'Guardo', 'Guardi', 'élève de Canaletti Francisco Wardi', 'f. guardi', 'Gaurdi', 'guardi f.', 'Giradi', 'Gardis', 'Franc. Guardi', 'Fr: Guardi', 'Gouardi', 'francesco de guardi', 'franzesco guardi']",99,I do not have information on the father of Giacomo Guardi.,True
Zhao Dezhao,father,Emperor Taizu of Song,Who is the father of Zhao Dezhao?,"['Emperor Taizu of Song', 'Tai Zu', 'Zhao Kuangyin']",349,I do not have information on Zhao Dezhao.,False
Arch,father,Kris S.,Who is the father of Arch?,['Kris S.'],201,I don't have enough information to determine which Arch you are referring to. There are several notable individuals with the name Arch. Could you please provide more context or specify which Arch you are referring to?,False
Robin Perutz,father,Max Perutz,Who is the father of Robin Perutz?,"['Max Perutz', 'Max Ferdinand Perutz']",185,I am unable to verify who the father of Robin Perutz is.,False
Therese Huber,father,Christian Gottlob Heyne,Who is the father of Therese Huber?,['Christian Gottlob Heyne'],248,I do not have information on the father of Therese Huber.,False
"Sir Capel Molyneux, 3rd Baronet",father,"Sir Thomas Molyneux, 1st Baronet","Who is the father of Sir Capel Molyneux, 3rd Baronet?","['Sir Thomas Molyneux, 1st Baronet', 'Lieutenant General Sir Thomas Molyneux, 1st Baronet', 'Thomas Molyneux', 'Sir Thomas Molyneux, 1st Bt.']",74,"I am unable to verify who the father of Sir Capel Molyneux, 3rd Baronet is.",False
Macrianus Minor,father,Macrianus Major,Who is the father of Macrianus Minor?,"['Macrianus Major', 'Titus Fulvius Macrianus']",238,I am unable to verify who the father of Macrianus Minor is.,False
Aydın Menderes,father,Adnan Menderes,Who is the father of Aydın Menderes?,['Adnan Menderes'],263,I do not have information on who the father of Aydın Menderes is.,False
Mihailo II of Duklja,father,Constantine Bodin,Who is the father of Mihailo II of Duklja?,['Constantine Bodin'],201,I do not have information on who the father of Mihailo II of Duklja is.,False
"Anselm Marshal, 6th Earl of Pembroke",father,"William Marshal, 1st Earl of Pembroke","Who is the father of Anselm Marshal, 6th Earl of Pembroke?","['William Marshal, 1st Earl of Pembroke', 'William the Marshal', 'Williame le Mareschal', 'William Marshal']",119,"I am unable to verify who the father of Anselm Marshal, 6th Earl of Pembroke is.",False
Demetrios Palaiologos,father,Andronikos II Palaiologos,Who is the father of Demetrios Palaiologos?,"['Andronikos II Palaiologos', 'Andronicus II Palaeologus', 'Andronicus II']",227,I am unable to verify who the father of Demetrios Palaiologos is.,False
John,father,Rupert,Who is the father of John?,"['Rupert', 'Ruprecht']",491,I need more information about John. There are many notable individuals named John throughout history and in contemporary times. Could you please provide more context or specify which John you are referring to?,False
Murong Wei,father,Murong Jun,Who is the father of Murong Wei?,"['Murong Jun', 'Emperor Jingzhao of Yan', 'Xuanying', 'Lie Zu', 'Jingzhao Di']",261,I am unable to verify who the father of Murong Wei is.,False
Leif Claesson,father,Stig Claesson,Who is the father of Leif Claesson?,"['Stig Claesson', 'John Stig Claesson']",57,I am unable to verify who Leif Claesson's father is.,False
Georg Adolf Erman,father,Paul Erman,Who is the father of Georg Adolf Erman?,['Paul Erman'],94,I do not have information on Georg Adolf Erman's father.,False
George,father,Andrew I of Hungary,Who is the father of George?,"['Andrew I of Hungary', 'Andrew I']",310,I need more information about George. There are many notable individuals named George throughout history and in contemporary times. Could you please provide more context or specify which George you are referring to?,False
Louis,father,"Rorgon I, Count of Maine",Who is the father of Louis?,"['Rorgon I, Count of Maine']",72,"I need more information about who Louis you are referring to. There have been many historical figures and individuals named Louis throughout history. Here are a few possibilities:

1. Louis XIV of France: He was the King of France from 1643 to 1715. His father was Louis XIII of France.
2. Louis",False
John Donkin,father,Bryan Donkin,Who is the father of John Donkin?,['Bryan Donkin'],40,I am unable to verify who John Donkin's father is.,False
One Count,father,Count Fleet,Who is the father of One Count?,['Count Fleet'],127,"I'm not aware of any information about a person named ""One Count."" Could you provide more context or clarify who you are referring to?",False
Ours,father,Alain Souchon,Who is the father of Ours?,"['Alain Souchon', 'Alain Kienast', 'Alain Edouard Kienast']",180,"I'm not aware of any information about a person named ""Ours."" Could you provide more context or details about who Ours is?",False
Searching,father,War Admiral,Who is the father of Searching?,['War Admiral'],95,"I'm not aware of any information about a person named ""Searching"" being a father. However, I can think of a few possibilities:

1.  Searching is a 2018 American psychological thriller film directed by Aneesh Chaganty. The film's director, Aneesh Chaganty,",False
Bahman Mirza Qajar,father,Abbas Mirza,Who is the father of Bahman Mirza Qajar?,"['Abbas Mirza', 'Abas-Mirza']",445,I do not have information on who the father of Bahman Mirza Qajar is.,False
Alexander,father,Lysimachus,Who is the father of Alexander?,['Lysimachus'],223,"There are several historical figures named Alexander, so it's possible you're referring to one of the following:

1. Alexander the Great: He was the king of the ancient Greek kingdom of Macedon and the son of King Philip II of Macedon and Queen Olympias II of Epirus.
2. Alexander Graham Bell",False
Pieter Gerardus van Os,father,Jan van Os,Who is the father of Pieter Gerardus van Os?,"['Jan van Os', 'Jan V. Os', 'Wanoos', 'Jan Van Os', 'Jan van Ost', 'Jan van Oss', 'Jan Os', 'Van-Os', 'Van Os', 'van os j.', 'Vannox', 'I. van Os', 'Jan van Oos', 'Jean Van Os', 'Jean van Ors', 'Van Ost', 'g. j. van os', 'Van Oss', 'J: van Os', 'Van. Os', 'Vannox Fiammingo', 'Vanos', 'Os', 'V. Os', 'J. Van Oss', 'jan van os', 'J. V. Os', 'Van Oos', 'J. Os', 'J.V. Os', 'J. Van Os', 'V. Oss', 'V. Ost']",111,I do not have information on the father of Pieter Gerardus van Os.,True
"Hedwig of France, Countess of Nevers",father,Robert II of France,"Who is the father of Hedwig of France, Countess of Nevers?","['Robert II of France', 'Robert II']",365,"I am unable to verify who the father of Hedwig of France, Countess of Nevers was.",False
"Henry Fairfield Osborn, Jr.",father,Henry Fairfield Osborn,"Who is the father of Henry Fairfield Osborn, Jr.?","['Henry Fairfield Osborn', 'Henry Fairfield Osborn, Sr.', 'Osborn', 'H. F. Osborn']",198,"Henry Fairfield Osborn, Jr. was the son of Henry Fairfield Osborn.",True
Coastal,father,Majestic Prince,Who is the father of Coastal?,['Majestic Prince'],287,"I'm not aware of any well-known figure specifically referred to as the ""father of Coastal."" However, there are a few possibilities:

1.  Coastal Carolina University's founder, Edward M. Singleton, is often referred to as the ""father of Coastal Carolina University.""",False
Yoko Yazawa,father,Eikichi Yazawa,Who is the father of Yoko Yazawa?,['Eikichi Yazawa'],254,I do not have information on Yoko Yazawa's father.,False
Armed,father,Bull Lea,Who is the father of Armed?,['Bull Lea'],235,"I'm not aware of any information about a person named ""Armed."" Could you provide more context or clarify who you are referring to?",False
Malcolm Munthe,father,Axel Munthe,Who is the father of Malcolm Munthe?,['Axel Munthe'],442,I am unable to verify who the father of Malcolm Munthe is.,False
Smile,father,In Reality,Who is the father of Smile?,['In Reality'],106,"I'm not aware of any well-known person or character named ""Smile"" who has a widely recognized father. However, there are a few possibilities:

1.  In the context of the popular British rock band, the name ""Smile"" refers to a band that was formed by Brian May and Roger Taylor,",False
Cornelis Bloemaert,father,Abraham Bloemaert,Who is the father of Cornelis Bloemaert?,"['Abraham Bloemaert', 'Abraham Bloemaart', 'Abraham Blumard', 'Abraham Blomert', 'Abraham Bloemmert', 'Abraham Blomart', 'Abraham Van Bloemart', 'Abraham Blommert den Ouden', 'Abraham Blomaert', 'Abraham Bloemart', 'Abraham Blommaert den Ouden', 'Ab. Blomart', 'Abraham Blommert', 'Abrm Bloemart', 'A. Blomart', 'Abraham Bloemar', 'Abraham Bloemert', 'A. Blomard', 'Abraham Bloamert', 'Blomaert', 'Blomarte', 'A Bloemart', 'Bloemart. A.', 'Blommaert', 'Abrahame Bloemart', 'A. Bloemaert', 'A. Bloemaers', 'A. Bloemært', 'Blomcart', 'Blomardt', 'A. Bloemmart', 'Bloemant', 'Abraham Bloemaere', 'Blommouth', 'arblomar', 'A. Blomert', 'Abr. Bloemhart', 'Bloëmaert', 'Blommer', 'Abr. Blomart', 'Abr. Bloemart', 'Bloemaers', 'Bloemmert', 'Bloemaert', 'Abr. Blomard', 'abraham van bloemaert', 'Bloemars', 'Abraham Blomhardt', 'Braham Bloemaert', 'A. Blommert', 'A. Bloomart', 'Bloëmart', 'Bloomart', 'Abrah. Blomard', 'a. blomaert', 'abraham blomaert', 'Abraham Blummard', 'Blovemart', 'bloemaert abraham', 'A. Bloemmaert', 'A. Bloemaard', 'den ouden Blommert', 'Abraham Blomaer', 'A. Bloemaart', 'Abrah. Bloemaert', 'de Blomaert', 'Bloemmaert', 'Abraham Blommaerts', 'Ab. Blomaert', 'Abrah. Blomaert', 'Bloemart', 'A. Blomhaert', 'A. Blommaer', 'blommart', 'Abraham Blommart', 'Abramo Bloemart', 'A. Blomaert', 'Bloemaërt', 'Abm. Bloemart', 'Abrah. Bloemert', 'Bolemaert', 'abraham bloemart', 'Blomeart', 'Adam Bloémaert', 'Abraham Bloemarth', 'Abraham von Bloemaet', 'Bloemaart', 'Bloémard', 'Blomant', 'A. Blommaert', 'a. bloemart', 'Abrah. Blömart', 'Abraham van Bloemaert', 'Arraham Bloemaert', 'Ab. Bloemaert', 'Abr. Bloemaert', 'abr. bloemaert', 'Ab. Bloemart', 'Abraham Blommaert', 'Blomert', 'Blomaerts', 'A. Bloemar', 'A. Bloemarh', 'den ouden Blommaert', 'Blommert', 'Bloomant', 'Abr. Blomardt', 'A. Bloomaert', 'Blomart', 'A. Bloemart', 'Abrah. Bloemaart', 'Abraham Bommaert', 'Abr. Blomaert', 'A. Bloemäart', 'Bloemarert', 'Bloumart', 'Blumard', 'Abraham Blomeart', 'Abraham Bloemaat', 'an blomar', 'Bloemar', 'A. Bloemert', 'Van Bloemart', 'Blomard']",184,I do not have information on the father of Cornelis Bloemaert.,True
Bridget Bendish,father,Henry Ireton,Who is the father of Bridget Bendish?,"['Henry Ireton', 'Lieut. Gen. Henry Ireton']",377,I am unable to verify who the father of Bridget Bendish is.,False
Tanya,father,Meddler,Who is the father of Tanya?,['Meddler'],117,"I need more information about Tanya. There are several notable individuals named Tanya, so could you please provide more context or specify which Tanya you are referring to?",False
"Union State Bank, Wisconsin",country,United States of America,"In what country is Union State Bank, Wisconsin?","['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",40,I do not have information on a bank called Union State Bank in Wisconsin.,False
Tina,country,United States of America,In what country is Tina?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",50,"There are several places and people named Tina, so it's not possible to give a specific answer without more context. Here are a few possibilities:

1. Tina, a given name: Tina is a popular given name in many countries, including the United States, the United Kingdom, Australia, and others.
2. Tina",True
Cave,country,Italy,In what country is Cave?,"['Italy', 'Italia', 'Italian Republic', 'IT', '🇮🇹', 'ITA']",259,"There are several places called ""Cave"" around the world. Here are a few possibilities:

1. Cave, Alabama, USA - a city in the United States.
2. Cave, Nebraska, USA - a village in the United States.
3. Cave Junction, Oregon, USA - a city in the United States",True
Dasht Jeyhun,country,Iran,In what country is Dasht Jeyhun?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']",37,I do not have information on Dasht Jeyhun.,False
Baker,country,United States of America,In what country is Baker?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",367,"There are several places named Baker in different countries. Here are a few possibilities:

1. Baker Island (Antarctica) - Baker Island is an uninhabited island in the Southern Ocean, part of Antarctica.
2. Baker Island (United States) - Baker Island is a small atoll in the Pacific Ocean,",True
Markin,country,Iran,In what country is Markin?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']",121,I am unable to verify the country where Markin is located.,False
Imperatriz Airport,country,Brazil,In what country is Imperatriz Airport?,"['Brazil', 'Federative Republic of Brazil', 'BR', 'BRA', 'br', '🇧🇷']",337,Imperatriz Airport is located in Brazil.,True
Sar Giz,country,Iran,In what country is Sar Giz?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']",36,I am unable to verify the location of Sar Giz.,False
Cliff,country,United States of America,In what country is Cliff?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",212,"There are several places named Cliff in different countries. Here are a few possibilities:

1. Cliff, Alberta - a hamlet in Alberta, Canada
2. Cliff, New Brunswick - a community in New Brunswick, Canada
3. Cliff, New South Wales - a locality in New South Wales, Australia
4.",True
Pir Hayati,country,Iran,In what country is Pir Hayati?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']",49,I do not have information on a location called Pir Hayati.,True
