subj,prop,obj,question,answers_list,s_pop,o_pop
Din Joe Crowley,place of birth,"Rathmore, County Kerry",In what city was Din Joe Crowley born?,"['Rathmore, County Kerry']",69,384
Olatubosun Oladapo,place of birth,Ibadan,In what city was Olatubosun Oladapo born?,['Ibadan'],125,15009
Narcisse-Fortunat Belleau,place of birth,Quebec City,In what city was Narcisse-Fortunat Belleau born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']",307,48989
Joachim Zachris Duncker,place of birth,Ristiina,In what city was Joachim Zachris Duncker born?,"['Ristiina', 'Kristina', 'Kristina kommun']",89,228
Paul Braniff,place of birth,Portaferry,In what city was Paul Braniff born?,"['Portaferry', 'Portaferry, County Down']",85,1503
Scott Patterson,place of birth,Vancouver,In what city was Scott Patterson born?,"['Vancouver', 'City of Vancouver', 'Vancouver, BC', 'Vancouver, British Columbia']",42,145635
George Tintle,place of birth,Harrison,In what city was George Tintle born?,"['Harrison', 'Harrison, New Jersey', 'Harrison, Hudson County, New Jersey']",102,3853
Jakob Kaiser,place of birth,Hammelburg,In what city was Jakob Kaiser born?,['Hammelburg'],499,1245
Emmanuel Biron,place of birth,Lyon,In what city was Emmanuel Biron born?,"['Lyon', 'Lyons', 'Commune-Affranchie']",96,55002
Henry C Bailey JR,place of birth,Suffolk,In what city was Henry C Bailey JR born?,"['Suffolk', 'Suffolk, Virginia', 'Suffolk, VA']",103,5527
Yugo Yoshida,place of birth,Karatsu,In what city was Yugo Yoshida born?,"['Karatsu', 'Katatu']",43,804
Percy Scholes,place of birth,Leeds,In what city was Percy Scholes born?,['Leeds'],357,58982
Nicholas French,place of birth,Wexford,In what city was Nicholas French born?,['Wexford'],108,7601
David Harris Willson,place of birth,Philadelphia,In what city was David Harris Willson born?,"['Philadelphia', 'Philly', 'City of Brotherly Love', 'Cradle of Liberty', 'Philadelphia, Pennsylvania', 'City of Philadelphia', 'Philadelphia, PA']",130,159313
Ed Parker Jr.,place of birth,Glendale,In what city was Ed Parker Jr. born?,"['Glendale', 'Glendale, CA', 'Glendale, California', 'Glendale, California, USA']",232,25231
Montxu Miranda,place of birth,Santurtzi,In what city was Montxu Miranda born?,"['Santurtzi', 'Santurce']",60,485
Cornelis Springer,place of birth,Amsterdam,In what city was Cornelis Springer born?,"['Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",208,147710
Toni Tecuceanu,place of birth,Bucharest,In what city was Toni Tecuceanu born?,"['Bucharest', 'Little Paris', 'Paris of the East', 'București', 'Bucureşti', 'Bucuresti', 'Буцуреșти']",156,67905
Joseph Moncure March,place of birth,New York City,In what city was Joseph Moncure March born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']",472,718380
Aleksandra Socha,place of birth,Pabianice,In what city was Aleksandra Socha born?,"['Pabianice', 'Pabianitz', 'Burgstadt']",108,945
Juha Jokela,place of birth,Tampere,In what city was Juha Jokela born?,"['Tampere', 'Tammerfors']",88,18761
Giuseppe Bezzuoli,place of birth,Florence,In what city was Giuseppe Bezzuoli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']",280,78903
Richard S. Bull,place of birth,Wilkinsburg,In what city was Richard S. Bull born?,['Wilkinsburg'],27,5079
Maurice Reymond de Broutelles,place of birth,Geneva,In what city was Maurice Reymond de Broutelles born?,"['Geneva', 'Genève', 'Geneva GE', 'Geneve', 'Genf']",96,80696
Rie Oh,place of birth,Tokyo,In what city was Rie Oh born?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']",209,205487
Juan Manuel Montero Vázquez,place of birth,Palencia,In what city was Juan Manuel Montero Vázquez born?,['Palencia'],60,3322
Bruce Crowder,place of birth,Essex,In what city was Bruce Crowder born?,"['Essex', 'Essex, Ontario']",195,1286
Louis Lloyd Winter,place of birth,Canada,In what city was Louis Lloyd Winter born?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']",390,816653
Evan Abraham,place of birth,Swansea,In what city was Evan Abraham born?,"['Swansea', 'Abertawe']",78,27728
Carlos Nieto,place of birth,La Plata,In what city was Carlos Nieto born?,['La Plata'],65,7825
Mary Sanders,place of birth,Toronto,In what city was Mary Sanders born?,"['Toronto', 'City of Toronto', 'The Six', 'T-O', 'The 416', 'Hogtown']",194,208499
Ian Rutherford,place of birth,Dunedin,In what city was Ian Rutherford born?,"['Dunedin', 'Dunedin, NZ', 'Dunedin, New Zealand', 'Dunedin City']",112,17736
Andy Keeley,place of birth,Basildon,In what city was Andy Keeley born?,['Basildon'],88,11190
Vladimir Yakovlev,place of birth,Moscow,In what city was Vladimir Yakovlev born?,"['Moscow', 'Moskva', 'Moscow, Russia', 'Moskva Federal City, Russia', 'Moscow, USSR', 'Moskva, Russia', 'City of Moscow', 'Moscow, Russian Federation', 'Moscow, Soviet Union', 'Moscow, Russian SFSR', 'Muscovite', 'Moscovite']",252,149374
Fernando García,place of birth,Santiago,In what city was Fernando García born?,"['Santiago', 'Santiago de Chile', 'Santiago, Chile']",87,41610
William Franklin Switzler,place of birth,Columbia,In what city was William Franklin Switzler born?,"['Columbia', 'Columbia, Missouri']",89,16208
Dennis Havig,place of birth,Powell,In what city was Dennis Havig born?,"['Powell', 'Powell, Wyoming']",127,2001
Petros Tabouris,place of birth,Athens,In what city was Petros Tabouris born?,['Athens'],313,101288
György Kárpáti,place of birth,Budapest,In what city was György Kárpáti born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']",72,134197
Szymon Kataszek,place of birth,Warsaw,In what city was Szymon Kataszek born?,"['Warsaw', 'Warszawa', 'Varshe', 'Warschau', 'Varshava', 'Varšava', 'Varsó', 'Varsavia', 'Varsovie', 'Varsovia', 'Varšuva']",89,91213
Rolland Golden,place of birth,New Orleans,In what city was Rolland Golden born?,"['New Orleans', 'NOLA', 'New Orleans, Louisiana', 'New Orleans, LA', 'The Big Easy', 'Crescent City']",142,105848
Huo Liang,place of birth,Shanghai,In what city was Huo Liang born?,"['Shanghai', 'Hu', 'Shang Hai', 'Shanghai, China']",174,119653
David Granger,place of birth,New York City,In what city was David Granger born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']",78,718380
John Mant,place of birth,Darling Point,In what city was John Mant born?,"['Darling Point', 'Darling Point, New South Wales', 'Darling Point, New South Wales, Australia']",50,1691
Andrea Magi,place of birth,Pesaro,In what city was Andrea Magi born?,['Pesaro'],88,4700
Gérard Fromanger,place of birth,Jouars-Pontchartrain,In what city was Gérard Fromanger born?,['Jouars-Pontchartrain'],234,264
Joe English,place of birth,Newtownabbey,In what city was Joe English born?,['Newtownabbey'],240,3117
Mukhtar Mukhtarov,place of birth,Lankaran,In what city was Mukhtar Mukhtarov born?,['Lankaran'],112,2269
Hank Autry,place of birth,Hattiesburg,In what city was Hank Autry born?,"['Hattiesburg', 'Hattiesburg, Mississippi']",121,10582
Renato Bartilotti,place of birth,Villahermosa,In what city was Renato Bartilotti born?,['Villahermosa'],132,4255
Olegarius,place of birth,Tarragona,In what city was Olegarius born?,"['Barcelona', 'BCN', ""B'na"", 'Barcelona, Spain', 'Tarragona', 'Tarraco', 'Tarqon', 'Tarragona, Spain', 'Tarragona Spain']",216,9048
Philibert Orry,place of birth,Troyes,In what city was Philibert Orry born?,"['Troyes', 'Troyes, Aube', 'Troyes, Aube France']",226,9841
Israel Horowitz,place of birth,New York City,In what city was Israel Horowitz born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']",180,718380
Shagari Mohammed,place of birth,Kano,In what city was Shagari Mohammed born?,['Kano'],82,9017
Frederick Mackenzie,place of birth,Montreal,In what city was Frederick Mackenzie born?,"['Montreal', 'Montréal', 'City of Montreal', 'Montreal, Quebec', 'Ville de Montréal', 'Ville de Montreal']",78,131670
Ken Irvin,place of birth,Rome,In what city was Ken Irvin born?,"['Rome', 'Rome, Georgia']",222,11210
Gyula Czimra,place of birth,Budapest,In what city was Gyula Czimra born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']",46,134197
Serjik Teymourian,place of birth,Tehran,In what city was Serjik Teymourian born?,"['Tehran', 'Teheran']",280,51379
Dick Calmus,place of birth,Los Angeles,In what city was Dick Calmus born?,"['Los Angeles', 'Los Angeles, California', 'Pink City', 'The town of Our Lady the Queen of the Angels of the Little Portion', 'La La Land', 'Tinsel Town', 'City of Angels', 'City of Los Angeles', 'LA, California', 'L.A.', 'LA', 'Double Dubuque', 'Los Ángeles', 'Los Angeles, CA']",186,379485
Erik Pedersen,place of birth,Porsgrunn,In what city was Erik Pedersen born?,['Porsgrunn'],236,1814
Pete Donohue,place of birth,Athens,In what city was Pete Donohue born?,"['Athens', 'Athens, Texas']",209,3500
Tjokorda Ngurah Wim Sukawati,place of birth,Ubud,In what city was Tjokorda Ngurah Wim Sukawati born?,['Ubud'],215,4609
Damian Pettigrew,place of birth,Quebec,In what city was Damian Pettigrew born?,"['Quebec', 'Québec', 'QC', 'Province of Quebec', 'Quebec, Canada', 'Quebec Province']",315,142909
Wayne G. Hammond,place of birth,Cleveland,In what city was Wayne G. Hammond born?,"['Cleveland', 'Cleveland, Ohio', 'Cleveland, OH']",386,79117
Walter W. Arndt,place of birth,Istanbul,In what city was Walter W. Arndt born?,"['Istanbul', 'İstanbul']",145,179051
Christian Vaquero,place of birth,Montevideo,In what city was Christian Vaquero born?,['Montevideo'],101,30202
David Watson,place of birth,Quebec City,In what city was David Watson born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']",281,48989
Giancarlo Santi,place of birth,Rome,In what city was Giancarlo Santi born?,"['Rome', 'The Eternal City', 'Roma', 'Rome Italy']",175,193323
Catherine Tishem,place of birth,Norwich,In what city was Catherine Tishem born?,"['Norwich', 'Norwich, England', 'Norwich, Norfolk']",68,36457
Travis Thomas,place of birth,Washington,In what city was Travis Thomas born?,"['Washington', 'Washington, Pennsylvania']",256,4941
Karim Ojjeh,place of birth,Geneva,In what city was Karim Ojjeh born?,"['Geneva', 'Genève', 'Geneva GE', 'Geneve', 'Genf']",324,80696
Rahmatullo Fuzailov,place of birth,Dushanbe,In what city was Rahmatullo Fuzailov born?,"['Dushanbe', 'Dyushambe', 'Stalinabad']",133,21260
Jiří Vyčichlo,place of birth,Prague,In what city was Jiří Vyčichlo born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']",26,112627
Youri Messen-Jaschin,place of birth,Arosa,In what city was Youri Messen-Jaschin born?,"['Arosa', 'Arosa GR']",213,1389
Jesús Antonio Hernández,place of birth,Los Mochis,In what city was Jesús Antonio Hernández born?,"['Los Mochis', 'Los Mochis']",77,3474
Jan van de Cappelle,place of birth,Amsterdam,In what city was Jan van de Cappelle born?,"['Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",353,147710
Édouard Vaillant,place of birth,Vierzon,In what city was Édouard Vaillant born?,['Vierzon'],326,987
Gerhard Ludwig,place of birth,Berlin,In what city was Gerhard Ludwig born?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']",47,163000
James A. Peters,place of birth,Durant,In what city was James A. Peters born?,"['Durant', 'Durant, Iowa']",163,471
Gaston-François de Witte,place of birth,Antwerp,In what city was Gaston-François de Witte born?,"['Antwerp', 'Antwerpen', 'City of Antwerp', 'Anvers']",94,60419
Farman Behboud,place of birth,Tehran,In what city was Farman Behboud born?,"['Tehran', 'Teheran']",61,51379
Bill Short,place of birth,Kingston,In what city was Bill Short born?,"['Kingston', 'Kingston, New York']",153,9411
Francisco María Oreamuno Bonilla,place of birth,Cartago,In what city was Francisco María Oreamuno Bonilla born?,"['Cartago', 'Cartago, Costa Rica']",99,2031
Martin Simonson,place of birth,Gothenburg,In what city was Martin Simonson born?,"['Gothenburg', 'Göteborg']",99,47618
Roger Mendy,place of birth,Dakar,In what city was Roger Mendy born?,['Dakar'],353,26897
Mimoun Ouled Radi,place of birth,Amsterdam,In what city was Mimoun Ouled Radi born?,"['Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",99,147710
Naziah Ali,place of birth,Fiji,In what city was Naziah Ali born?,"['Fiji', 'Republic of Fiji', 'fj', '🇫🇯', 'FIJ', 'Republic of the Fiji Islands']",284,121356
Anthony Gale,place of birth,Toronto,In what city was Anthony Gale born?,"['Toronto', 'City of Toronto', 'The Six', 'T-O', 'The 416', 'Hogtown']",69,208499
Louis Kasekende,place of birth,Uganda,In what city was Louis Kasekende born?,"['Uganda', 'Republic of Uganda', 'ug', '🇺🇬', 'UGA']",178,113951
Shinji Hamazaki,place of birth,Kure,In what city was Shinji Hamazaki born?,['Kure'],58,3509
Henry Soames,place of birth,Brighton,In what city was Henry Soames born?,"['Brighton', 'Brighthelmston', 'Brighthelmstone', 'Brighton, East Sussex', 'Brighton, England']",68,52628
Karl Bartholomaeus Heller,place of birth,Moravia,In what city was Karl Bartholomaeus Heller born?,['Moravia'],49,52440
Yoshifumi Tajima,place of birth,Kōbe,In what city was Yoshifumi Tajima born?,"['Kōbe', 'Kobe, Japan', 'Kobe']",229,28682
Azharullah,place of birth,Burewala,In what city was Azharullah born?,['Burewala'],129,2139
Javier Suárez,place of birth,Madrid,In what city was Javier Suárez born?,"['Madrid', 'City of Madrid', 'Madrid, Spain']",96,108266
Anatoly Georgievich Ufimtsev,place of birth,Kursk,In what city was Anatoly Georgievich Ufimtsev born?,['Kursk'],77,8648
Rogers McKee,place of birth,Shelby,In what city was Rogers McKee born?,"['Shelby', 'Shelby, North Carolina']",152,3868
Domenico Bologna,place of birth,Turin,In what city was Domenico Bologna born?,"['Turin', 'Torino', 'Turin, Italy']",27,75884
Bruce Charles Heezen,place of birth,Vinton,In what city was Bruce Charles Heezen born?,"['Vinton', 'Vinton, Iowa']",455,946
Alexandros Matsas,place of birth,Athens,In what city was Alexandros Matsas born?,['Athens'],98,101288
Michele Tenore,place of birth,Naples,In what city was Michele Tenore born?,"['Naples', 'Napoli', 'Neapolis']",163,82026
Hans Tikkanen,place of birth,Karlstad,In what city was Hans Tikkanen born?,['Karlstad'],153,4910
Kazuhiro Suzuki,place of birth,Tokyo,In what city was Kazuhiro Suzuki born?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']",78,205487
John Mitchell,place of birth,Dickson,In what city was John Mitchell born?,"['Dickson', 'Dickson, Tennessee']",328,2427
Jim Roland,place of birth,Franklin,In what city was Jim Roland born?,"['Franklin', 'Franklin, North Carolina']",137,3269
Gino Bianco,place of birth,Milan,In what city was Gino Bianco born?,"['Milan', 'Milano', 'Milan, Italy', 'Milano, Italy', 'Milano, Italia', 'Mailand', 'Milan Records']",221,110644
Marcellus Stearns,place of birth,Lovell,In what city was Marcellus Stearns born?,"['Lovell', 'Lovell, Maine']",250,1338
Egbert van der Poel,place of birth,Delft,In what city was Egbert van der Poel born?,['Delft'],347,26535
Gösta Eriksson,place of birth,Vaxholm,In what city was Gösta Eriksson born?,['Vaxholm'],20,847
Rob Lukachyk,place of birth,Jersey City,In what city was Rob Lukachyk born?,"['Jersey City', 'Jersey City, New Jersey']",78,30760
Don Reid,place of birth,Staunton,In what city was Don Reid born?,"['Staunton', 'Staunton, Virginia']",187,8261
Pierre-Yves Barré,place of birth,Paris,In what city was Pierre-Yves Barré born?,"['Paris', 'City of Light', 'Paris, France']",57,265592
Todd Sieben,place of birth,Geneseo,In what city was Todd Sieben born?,"['Geneseo', 'Geneseo, Illinois']",79,1523
John Edward Campbell,place of birth,Lisburn,In what city was John Edward Campbell born?,['Lisburn'],160,6643
Louis Joseph Troost,place of birth,Paris,In what city was Louis Joseph Troost born?,"['Paris', 'City of Light', 'Paris, France']",77,265592
Jean Dorion,place of birth,Montreal,In what city was Jean Dorion born?,"['Montreal', 'Montréal', 'City of Montreal', 'Montreal, Quebec', 'Ville de Montréal', 'Ville de Montreal']",102,131670
Klaus Wunder,place of birth,Erfurt,In what city was Klaus Wunder born?,['Erfurt'],185,13920
Heiko Balz,place of birth,Burg,In what city was Heiko Balz born?,"['Burg', 'Burg bei Magdeburg', 'Burg (bei Magdeburg)', 'Burg (b Magdeburg)', 'Stadt Burg']",94,740
Margot Shumway,place of birth,Cincinnati,In what city was Margot Shumway born?,"['Cincinnati', 'Cincy', 'Cincinnati, Ohio', 'Cinti', 'Cincinnati, OH', 'Cin City']",81,88244
Norbert Grund,place of birth,Prague,In what city was Norbert Grund born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']",136,112627
Jaakko Laakso,place of birth,Turku,In what city was Jaakko Laakso born?,"['Turku', 'Åbo', 'Aboa']",108,16942
Vitaliy Sobko,place of birth,Kharkiv,In what city was Vitaliy Sobko born?,"['Kharkiv', 'Kharkov', 'Chárkiv', 'Harkov', ""Khar'kov"", 'Kharkoff']",60,23497
Mikael Eriksson,place of birth,Karlskoga,In what city was Mikael Eriksson born?,['Karlskoga'],50,1317
James W. Owens,place of birth,Franklin County,In what city was James W. Owens born?,"['Franklin County', 'Franklin County, Indiana']",137,1113
John Johnson,place of birth,LaGrange,In what city was John Johnson born?,"['LaGrange', 'LaGrange, Georgia', 'La Grange']",135,5624
Rodger Stevens,place of birth,Brooklyn,In what city was Rodger Stevens born?,"['Brooklyn', 'Brooklyn, New York']",89,131455
Gintautas Umaras,place of birth,Kaunas,In what city was Gintautas Umaras born?,"['Kaunas', 'Kovno', 'Kovne', 'Kovna', 'Kowno', 'Kauen']",171,17106
Cooper Smeaton,place of birth,Carleton Place,In what city was Cooper Smeaton born?,['Carleton Place'],213,1641
Liam Carroll,place of birth,Kinnitty,In what city was Liam Carroll born?,['Kinnitty'],43,343
Wellington Santos da Silva,place of birth,Guarulhos,In what city was Wellington Santos da Silva born?,['Guarulhos'],51,2856
George Chambers,place of birth,Kimberley,In what city was George Chambers born?,"['Kimberley', 'Kimberley, Nottinghamshire']",25,574
Corey Bramlet,place of birth,Wheatland,In what city was Corey Bramlet born?,"['Wheatland', 'Wheatland, Wyoming']",134,1393
Daniel Hynes,place of birth,Chicago,In what city was Daniel Hynes born?,"['Chicago', 'Chicago, Illinois', 'The Windy City', 'City by the Lake', 'The Queen of the West', 'Chi-Town', 'Chitown', 'The Second City', 'City of Chicago', 'City of Broad Shoulders', 'Chi-Raq', 'Chicago, IL']",425,327551
Cloe Elmo,place of birth,Lecce,In what city was Cloe Elmo born?,['Lecce'],162,12214
Marie-Hélène Aubert,place of birth,Nantes,In what city was Marie-Hélène Aubert born?,['Nantes'],74,30977
Johann Gregor Memhardt,place of birth,Linz,In what city was Johann Gregor Memhardt born?,['Linz'],71,17671
Franghískos Papamanólis,place of birth,Ano Syros,In what city was Franghískos Papamanólis born?,['Ano Syros'],57,431
Juan Landázuri Ricketts,place of birth,Arequipa,In what city was Juan Landázuri Ricketts born?,['Arequipa'],155,8661
hamza koudri,place of birth,Mila,In what city was hamza koudri born?,['Mila'],112,289
Stig Kleven,place of birth,Notodden,In what city was Stig Kleven born?,['Notodden'],49,1659
Li Huai Min,place of birth,Hong Kong,In what city was Li Huai Min born?,"['Hong Kong', 'HKSAR', 'HKG', 'HK', 'Hong Kong SAR', 'China Hong Kong', 'Hong Kong, China', 'hk', 'Hong Kong SAR, China', '🇭🇰', 'Hong Kong Special Administrative Region', 'Hongkong', 'xiang gang']",80,324750
Alton Montgomery,place of birth,Griffin,In what city was Alton Montgomery born?,"['Griffin', 'Griffin, Georgia']",115,4543
Richard Rawlinson,place of birth,London,In what city was Richard Rawlinson born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",298,523018
Valérie Létard,place of birth,Orchies,In what city was Valérie Létard born?,['Orchies'],125,386
María Milagros Véliz,place of birth,Guacara,In what city was María Milagros Véliz born?,['Guacara'],132,217
Florian Reichstädter,place of birth,Vienna,In what city was Florian Reichstädter born?,"['Vienna', 'Wien', 'Vienna, Austria', 'W']",54,122060
Jean-Georges Lefranc de Pompignan,place of birth,Montauban,In what city was Jean-Georges Lefranc de Pompignan born?,"['Montauban', 'Rive-Civique']",68,3572
Brad Goddard,place of birth,Lucan Biddulph,In what city was Brad Goddard born?,['Lucan Biddulph'],88,666
Bill Fellowes,place of birth,Bradford,In what city was Bill Fellowes born?,"['Bradford', 'Bradford, Yorkshire']",101,28918
Full Force,genre,power metal,What genre is Full Force?,['power metal'],224,17650
Ilona,genre,rock music,What genre is Ilona?,"['rock music', 'rock and roll', 'rock', 'Rock']",431,140450
Black President,genre,punk rock,What genre is Black President?,"['punk rock', 'punk', 'punk music']",475,83910
David Allan,genre,history painting,What genre is David Allan?,"['history painting', 'historical painting', 'historical art']",348,7259
Drive On,genre,pop music,What genre is Drive On?,"['pop music', 'pop', 'Pop']",90,286065
The Details,genre,indie rock,What genre is The Details?,"['indie rock', 'Independent rock', 'Indie Rock']",158,68145
Always Will Be,genre,heavy metal,What genre is Always Will Be?,"['heavy metal', 'heavy metal music', 'Heavy Metal', 'Metal', 'Metal music', 'metal', 'Heavy Metal Music']",128,106297
The Cross,genre,documentary film,What genre is The Cross?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",236,42565
Lanemeyer,genre,pop punk,What genre is Lanemeyer?,"['pop punk', 'punk-pop', 'pop-punk']",214,27492
Out of the Blue,genre,musical film,What genre is Out of the Blue?,"['musical film', 'musical movie']",168,22860
Everything,genre,J-pop,What genre is Everything?,"['J-pop', 'Japanese pop', 'jpop']",125,31446
Afsporet,genre,film noir,What genre is Afsporet?,['film noir'],189,68425
Valvin Roane,genre,rhythm and blues,What genre is Valvin Roane?,"['rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B']",127,60774
Intersect,genre,puzzle video game,What genre is Intersect?,"['puzzle video game', 'puzzle game', 'Puzzle video games', 'puzzle/jigsaw video game']",181,26431
Noise,genre,trip hop,What genre is Noise?,"['trip hop', 'Bristol sound', 'trip-hop']",417,33715
Removal,genre,experimental music,What genre is Removal?,"['experimental music', 'Experimental']",134,18371
Mother,genre,rock music,What genre is Mother?,"['rock music', 'rock and roll', 'rock', 'Rock']",79,140450
Galaxy,genre,jazz,What genre is Galaxy?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",330,100802
Spice,genre,pop rock,What genre is Spice?,"['pop rock', 'pop/rock', 'pop-rock']",368,85003
Me and My Friend,genre,sitcom,What genre is Me and My Friend?,"['sitcom', 'situational comedy', 'situation comedy']",66,47889
Unknown,genre,fantasy,What genre is Unknown?,"['fantasy', 'fantasy fiction']",42,105540
Run the World,genre,pop music,What genre is Run the World?,"['pop music', 'pop', 'Pop']",379,286065
Delivery,genre,progressive rock,What genre is Delivery?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']",437,66527
Umbrella,genre,documentary film,What genre is Umbrella?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",123,42565
Tomato,genre,alternative rock,What genre is Tomato?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']",175,138822
Roper,genre,pop punk,What genre is Roper?,"['pop punk', 'punk-pop', 'pop-punk']",253,27492
Erin Beck,genre,pop music,What genre is Erin Beck?,"['pop music', 'pop', 'Pop']",231,286065
Infinity,genre,acid house,What genre is Infinity?,"['acid house', 'acid']",342,14680
Germans,genre,indie rock,What genre is Germans?,"['indie rock', 'Independent rock', 'Indie Rock']",123,68145
Chess with Friends,genre,chess,What genre is Chess with Friends?,"['chess', 'International Chess', 'Modern European Chess', 'Western Chess', 'chess game']",285,146961
Reach,genre,country music,What genre is Reach?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']",85,91093
The Shapes,genre,punk rock,What genre is The Shapes?,"['punk rock', 'punk', 'punk music']",245,83910
Turn to the Right,genre,comedy-drama,What genre is Turn to the Right?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']",126,36819
Universe,genre,adventure game,What genre is Universe?,"['adventure game', 'adventure video game']",304,35112
Benjamin Speed,genre,indie pop,What genre is Benjamin Speed?,"['indie pop', 'indie pop music', 'indie-pop', 'indiepop']",202,49297
Far from Vietnam,genre,documentary film,What genre is Far from Vietnam?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",493,42565
Shedding for the Wedding,genre,reality television,What genre is Shedding for the Wedding?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",359,40906
Ninja Boy II,genre,action role-playing game,What genre is Ninja Boy II?,"['action role-playing game', 'action role-playing video game', 'action RPG', 'ARPG', 'action/RPG']",144,40299
Dag Stokke,genre,hard rock,What genre is Dag Stokke?,['hard rock'],215,77166
No Man Friday,genre,science fiction,What genre is No Man Friday?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",201,155784
The Wake,genre,gothic rock,What genre is The Wake?,"['gothic rock', 'goth rock', 'goth', 'Gothic rock', 'Goth rock', 'Gothic Rock']",178,27760
The Gang,genre,thriller,What genre is The Gang?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']",240,144161
The Scalawag Bunch,genre,swashbuckler film,What genre is The Scalawag Bunch?,"['swashbuckler film', 'swashbuckler movie', 'cloak-and-dagger movie']",230,9267
Hope,genre,espionage novel,What genre is Hope?,"['espionage novel', 'spy novel', 'espionage literature']",209,-2
The Off Season,genre,horror film,What genre is The Off Season?,"['horror film', 'horror movie']",318,90942
Elias Childe,genre,landscape art,What genre is Elias Childe?,"['landscape art', 'landscape painting', 'landscape']",96,13966
The Complex,genre,punk rock,What genre is The Complex?,"['punk rock', 'punk', 'punk music']",344,83910
Question and Answer,genre,science fiction,What genre is Question and Answer?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",230,155784
Passenger,genre,industrial metal,What genre is Passenger?,"['industrial metal', 'Industrial Metal']",208,15760
