subj,prop,obj,question,answers_list
The Law of the Land,producer,Jesse Louis Lasky,Who was the producer of The Law of the Land?,"['Jesse Louis Lasky', 'Jesse L. Lasky', 'Jesse Lasky', 'Jesse Louis Lasky Sr.']"
Bruce Crowder,place of birth,Essex,In what city was Bruce Crowder born?,"['Essex', 'Essex, Ontario']"
Charles Harrison,occupation,politician,What is Charles Harrison's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Jean Gabriel Marie,occupation,composer,What is Jean Gabriel Marie's occupation?,['composer']
Coming Home,author,Jack McDevitt,Who is the author of Coming Home?,['Jack McDevitt']
Erwin Neutzsky-Wulff,father,Aage Neutzsky-Wulff,Who is the father of Erwin Neutzsky-Wulff?,['Aage Neutzsky-Wulff']
Humane Heritage Museum,country,Saudi Arabia,In what country is Humane Heritage Museum?,"['Saudi Arabia', 'Kingdom of Saudi Arabia', '🇸🇦', 'KSA', 'sa']"
Dawn,producer,Herbert Wilcox,Who was the producer of Dawn?,"['Herbert Wilcox', 'Herbert Sydney Wilcox']"
The Amazing Catfish,genre,comedy-drama,What genre is The Amazing Catfish?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']"
Hope,genre,espionage novel,What genre is Hope?,"['espionage novel', 'spy novel', 'espionage literature']"
Istanbul Tales,screenwriter,Ümit Ünal,Who was the screenwriter for Istanbul Tales?,"['Ümit Ünal', 'Umit Unal']"
Batsère,country,France,In what country is Batsère?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
Leipzig–Dresden Railway Company,country,Kingdom of Saxony,In what country is Leipzig–Dresden Railway Company?,"['Kingdom of Saxony', 'Saxony']"
Click,author,David Almond,Who is the author of Click?,"['Margo Lanagan', 'Deborah Ellis', 'Nick Hornby', 'Nicholas Peter John Hornby', 'David Almond', 'Roddy Doyle', 'Ruaidhrí Ó Dúill', 'Ruaidhri O Duill', 'Gregory Maguire', 'Ruth Ozeki', 'Ruth L. Ozeki', 'Ruth Lounsbury Ozeki', 'Tim Wynne-Jones', 'Linda Sue Park']"
Competition,producer,American Film Manufacturing Company,Who was the producer of Competition?,"['American Film Manufacturing Company', 'Flying ""A"" Studios', 'American Film Company']"
Gideon Olin,occupation,politician,What is Gideon Olin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
"Sophia Jagiellon, Duchess of Brunswick-Lüneburg",father,Sigismund I the Old,"Who is the father of Sophia Jagiellon, Duchess of Brunswick-Lüneburg?","['Sigismund I the Old', 'Sigismund the Old', 'roi de Pologne Sigismond I', 'King of Poland Zygmunt Stary', 'King of Poland Sigismund I', 'Zygmunt Stary', 'King of Poland Zsigmond', 're di Polonia Zygmunt I Stary', 'król Polski Zygmunt I Stary', 'Zygmunt I Stary', 'krol Polski Zygmunt I Stary']"
Silhouette,genre,smooth jazz,What genre is Silhouette?,['smooth jazz']
Drôle de Félix,screenwriter,Jacques Martineau,Who was the screenwriter for Drôle de Félix?,"['Jacques Martineau', 'Olivier Ducastel']"
Ladomirová,country,Slovakia,In what country is Ladomirová?,"['Slovakia', 'Slovak Republic', 'sk', '🇸🇰', 'SVK']"
Giuseppe Bezzuoli,place of birth,Florence,In what city was Giuseppe Bezzuoli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']"
Police,screenwriter,Charlie Chaplin,Who was the screenwriter for Police?,"['Charlie Chaplin', 'Charles Spencer Chaplin', 'Charles Chaplin', 'Sir Charles Spencer Chaplin']"
The Builder,screenwriter,Rick Alverson,Who was the screenwriter for The Builder?,['Rick Alverson']
The Battle,producer,Victor Tourjansky,Who was the producer of The Battle?,"['Victor Tourjansky', 'Vjačeslav Turžanskij', 'Viatcheslav Tourjansky']"
Institute of Technological Studies,country,Sri Lanka,In what country is Institute of Technological Studies?,"['Sri Lanka', 'Democratic Socialist Republic of Sri Lanka', 'Ceylon', 'Taprobane', 'Serendib', 'Ceylan', '🇱🇰', 'lk', 'Lanka, Sri', 'sri', 'lke', 'ce', 'Srilanka', 'SRI', 'سرنديب', 'سيلان']"
Liberation,genre,black metal,What genre is Liberation?,"['black metal', 'Black Metal']"
Jim Brown,occupation,radio personality,What is Jim Brown's occupation?,"['radio personality', 'radio presenter', 'radio hostess', 'host', 'hostess', 'radio host', 'radio jockey', 'radio program boss', 'RJ']"
Today,producer,Carlos Santana,Who was the producer of Today?,"['Carlos Santana', 'Carlos Augusto Alves Santana']"
The Marauders,genre,Western film,What genre is The Marauders?,"['Western film', 'western film', 'western genre', 'Western']"
The Sweet Sins of Sexy Susan,producer,Franz Antel,Who was the producer of The Sweet Sins of Sexy Susan?,['Franz Antel']
The Game,author,Diana Wynne Jones,Who is the author of The Game?,"['Diana Wynne Jones', 'Diana Gwyneth Jones']"
Footes,country,United States of America,In what country is Footes?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Exposure,author,Mal Peet,Who is the author of Exposure?,"['Mal Peet', 'Malcolm Charles Peet']"
Dublin,country,United States of America,In what country is Dublin?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Motor,genre,automobile magazine,What genre is Motor?,"['automobile magazine', 'car magazine']"
Sevil Atasoy,place of birth,Istanbul,In what city was Sevil Atasoy born?,"['Istanbul', 'İstanbul']"
Remco Campert,father,Jan Campert,Who is the father of Remco Campert?,"['Jan Campert', 'Jan Remco Theodoor Campert']"
The Mark Waters Story,genre,docudrama,What genre is The Mark Waters Story?,"['docudrama', 'documentary drama', 'Docudrama', 'Drama-documentary']"
Ditte Kotzian,sport,diving,What sport does Ditte Kotzian play?,['diving']
Play,composer,Karlheinz Stockhausen,Who was the composer of Play?,"['Karlheinz Stockhausen', 'Karl-Heinz Stockhausen', 'Karlheinz Stockhausen']"
Fear No More,screenwriter,Adam Barr,Who was the screenwriter for Fear No More?,['Adam Barr']
Timothy Manning,religion,Catholic Church,What is the religion of Timothy Manning?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
White,author,Ted Dekker,Who is the author of White?,"['Ted Dekker', 'Theodore R. Dekker']"
Satis Cognitum,author,Leo XIII,Who is the author of Satis Cognitum?,"['Leo XIII', 'Pope Leo XIII', 'Vincenzo Gioacchino Raffaele Luigi Pecci', 'Leo PP. XIII', 'Pope Léon XIII', 'Pope Lev XIII', 'papa Leone XIII', 'Pope Leone XIII', 'Gioacchino Vincenzo Pecci', 'Pope Leon XIII']"
Vitaliy Sobko,place of birth,Kharkiv,In what city was Vitaliy Sobko born?,"['Kharkiv', 'Kharkov', 'Chárkiv', 'Harkov', ""Khar'kov"", 'Kharkoff']"
Consequences,author,Rudyard Kipling,Who is the author of Consequences?,"['Rudyard Kipling', 'Joseph Rudyard Kipling', 'R. Kipling', 'Kipling']"
Ugonna Okegwo,genre,jazz,What genre is Ugonna Okegwo?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']"
Jürgen W. Falter,place of birth,Heppenheim,In what city was Jürgen W. Falter born?,['Heppenheim']
Rie Oh,place of birth,Tokyo,In what city was Rie Oh born?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']"
Uno,genre,alternative rock,What genre is Uno?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']"
Alu,country,Estonia,In what country is Alu?,"['Estonia', 'Republic of Estonia', 'Estland', 'Eesti', 'ee', 'EST', '🇪🇪']"
Tomorrow,director,Francesca Archibugi,Who was the director of Tomorrow?,['Francesca Archibugi']
Second Best Bed,screenwriter,Ben Travers,Who was the screenwriter for Second Best Bed?,['Ben Travers']
The Abandoned,screenwriter,Francesco Maselli,Who was the screenwriter for The Abandoned?,['Francesco Maselli']
The Prodigal Son,author,Peter Wessel Zapffe,Who is the author of The Prodigal Son?,['Peter Wessel Zapffe']
The Governor,genre,docudrama,What genre is The Governor?,"['docudrama', 'documentary drama', 'Docudrama', 'Drama-documentary']"
Alexander,religion,Islam,What is the religion of Alexander?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']"
Aa Divasam,composer,Shyam,Who was the composer of Aa Divasam?,['Shyam']
Zoran Rankić,occupation,actor,What is Zoran Rankić's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Lord,author,Buronson,Who is the author of Lord?,['Buronson']
Smile,father,In Reality,Who is the father of Smile?,['In Reality']
Gregorio Selser,place of birth,Buenos Aires,In what city was Gregorio Selser born?,"['Buenos Aires', 'Buenos Ayres', 'Autonomous City of Buenos Aires', 'CABA', 'Ciudad Autónoma de Buenos Aires']"
The Fifth Wheel,genre,comedy-drama,What genre is The Fifth Wheel?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']"
Goodbye,screenwriter,Heddy Honigmann,Who was the screenwriter for Goodbye?,['Heddy Honigmann']
Break Free,genre,comedy-drama,What genre is Break Free?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']"
Fairfax M. Cone,occupation,businessperson,What is Fairfax M. Cone's occupation?,"['businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman']"
Shintotsukawa,country,Japan,In what country is Shintotsukawa?,"['Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon', 'Nippon', 'JP', 'Nippon-koku', 'Nihon-koku', 'JA', 'JPN', 'jp', 'JAP', 'Ja', 'Jap']"
Nevada,genre,Western film,What genre is Nevada?,"['Western film', 'western film', 'western genre', 'Western']"
Gada Meilin,director,Feng Xiaoning,Who was the director of Gada Meilin?,['Feng Xiaoning']
The Journey,screenwriter,Fernando Solanas,Who was the screenwriter for The Journey?,"['Fernando Solanas', 'Pino Solanas', 'Fernando E. Solanas']"
Episode,director,Walter Reisch,Who was the director of Episode?,['Walter Reisch']
Glasses,author,Henry James,Who is the author of Glasses?,"['Henry James', 'Henricus James']"
Nelson Vargas,place of birth,Holyoke,In what city was Nelson Vargas born?,"['Holyoke', 'The Paper City', 'The Venice of America', 'The Birthplace of Volleyball', 'The Chicago of Massachusetts', 'Holyoke, Massachusetts']"
Michael Shelley,occupation,singer-songwriter,What is Michael Shelley's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']"
Small Town,screenwriter,Paul Redford,Who was the screenwriter for Small Town?,"['Aaron Sorkin', 'Aaron Benjamin Sorkin', 'Paul Redford']"
Julia,genre,telenovela,What genre is Julia?,"['telenovela', 'Spanish soap opera']"
Lukáš Bodeček,sport,association football,What sport does Lukáš Bodeček play?,"['association football', 'football', 'soccer']"
Exposure,author,Kathy Reichs,Who is the author of Exposure?,"['Kathy Reichs', 'Kathleen Joan Toelle', 'Kathleen Reichs', 'Kathleen Joan Toelle Reichs']"
Brain,genre,thriller,What genre is Brain?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']"
Adorable,genre,musical film,What genre is Adorable?,"['musical film', 'musical movie', 'romantic comedy', 'romedy', 'romcom']"
Late Last Night,director,Steven Brill,Who was the director of Late Last Night?,['Steven Brill']
Theater,composer,Ralph Siegel,Who was the composer of Theater?,"['Ralph Siegel', 'Ralph Siegel Jr.']"
The Convent,screenwriter,Manoel de Oliveira,Who was the screenwriter for The Convent?,"['Manoel de Oliveira', 'Manoel Cândido Pinto de Oliveira']"
Stone,genre,science fiction,What genre is Stone?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
Two,director,Werner Schroeter,Who was the director of Two?,['Werner Schroeter']
Visionseeker: Shared Wisdom from the Place of Refuge,author,Hank Wesselman,Who is the author of Visionseeker: Shared Wisdom from the Place of Refuge?,"['Hank Wesselman', 'Henry Barnard Wesselman']"
The Friendship,author,Mildred D. Taylor,Who is the author of The Friendship?,"['Mildred D. Taylor', 'Mildred DeLois Taylor', 'Mildred Taylor']"
Blade of Fire,author,Stuart Hill,Who is the author of Blade of Fire?,['Stuart Hill']
The House,author,Danielle Steel,Who is the author of The House?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']"
The Burning,author,Stewart Conn,Who is the author of The Burning?,['Stewart Conn']
Released,genre,progressive rock,What genre is Released?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']"
NK Zreče,sport,association football,What sport does NK Zreče play?,"['association football', 'football', 'soccer']"
Deux-Nèthes,capital,Antwerp,What is the capital of Deux-Nèthes?,"['Antwerp', 'Antwerpen', 'City of Antwerp', 'Anvers']"
The Congress,producer,Ken Burns,Who was the producer of The Congress?,"['Ken Burns', 'Kenneth Lauren Burns', 'Kenneth L. Burns', 'Kenneth Burns']"
H,director,Darrell Wasyk,Who was the director of H?,['Darrell Wasyk']
Jääpeili,author,Aaro Hellaakoski,Who is the author of Jääpeili?,"['Aaro Hellaakoski', 'Aaro Antti Hellaakoski']"
Bennie Osler,sport,rugby union,What sport does Bennie Osler play?,"['rugby union', 'rugby']"
Signal,composer,Kanon Wakeshima,Who was the composer of Signal?,['Kanon Wakeshima']
Breathing,genre,public art,What genre is Breathing?,['public art']
Eudamidas III,father,Agis IV,Who is the father of Eudamidas III?,['Agis IV']
Rinaldo del Mel,occupation,composer,What is Rinaldo del Mel's occupation?,['composer']
The Burning,author,Justin Richards,Who is the author of The Burning?,"['Justin Richards', 'Justin C Richards']"
Herbert Richmond,father,William Blake Richmond,Who is the father of Herbert Richmond?,"['William Blake Richmond', 'Sir William Blake Richmond', 'Sir William Blake Richmond KCB', 'Sir William Blake Richmond KCB, RA', 'William Blake Richmond (Sir)', 'William Blake, Sir Richmond', 'Sir William Richmond', 'William Richmond']"
Three Hours,producer,Corinne Griffith,Who was the producer of Three Hours?,"['Corinne Griffith', 'Corinne Griffith (1894-1979)']"
Aleksandar Markovski,place of birth,Zrenjanin,In what city was Aleksandar Markovski born?,"['Zrenjanin', 'Bečkerek']"
The Girlfriend,screenwriter,Agnieszka Holland,Who was the screenwriter for The Girlfriend?,"['Jeanine Meerapfel', 'Agnieszka Holland', 'Osvaldo Bayer']"
Carsten Hemmingsen,sport,association football,What sport does Carsten Hemmingsen play?,"['association football', 'football', 'soccer']"
Kalevi Kull,place of birth,Tartu,In what city was Kalevi Kull born?,"['Tartu', 'Dorpat', 'Dörpt', 'Derpt', 'Tarbatu', 'Jurjev', 'Tartto', 'Tartus']"
For Sale,screenwriter,Laetitia Masson,Who was the screenwriter for For Sale?,['Laetitia Masson']
Amin Amidu Sulemana,occupation,diplomat,What is Amin Amidu Sulemana's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Sprout,author,Dale Peck,Who is the author of Sprout?,['Dale Peck']
Mass,composer,Igor Stravinsky,Who was the composer of Mass?,"['Igor Stravinsky', 'Igor Fyodorovich Stravinsky', 'Stravinsky', 'Igor Strawinski', 'Igor Strawinsky', 'Igor Stravinskii', 'Igor Feodorovich Stravinsky', 'Jgor Strawinsky', 'Igor Strawinskij', 'Igor Stravinski', 'Igor Fedorovich Stravinsky', 'I. Strawinsky']"
Molokovsky District,capital,Molokovo,What is the capital of Molokovsky District?,['Molokovo']
Derby Carrillo,sport,association football,What sport does Derby Carrillo play?,"['association football', 'football', 'soccer']"
Turn to the Right,director,Rex Ingram,Who was the director of Turn to the Right?,['Rex Ingram']
Kaberamaido,capital of,Kaberamaido District,What is Kaberamaido the capital of?,['Kaberamaido District']
You and I,director,Wolfgang Liebeneiner,Who was the director of You and I?,['Wolfgang Liebeneiner']
The Day,director,Alfred Rolfe,Who was the director of The Day?,['Alfred Rolfe']
The Museum of Abandoned Secrets,author,Oksana Zabuzhko,Who is the author of The Museum of Abandoned Secrets?,"['Oksana Zabuzhko', 'Oksana Stefanivna Zabuzhko']"
Jonathan Le Billon,occupation,actor,What is Jonathan Le Billon's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Dipu Ghosh,sport,badminton,What sport does Dipu Ghosh play?,['badminton']
Scorpio,genre,rock music,What genre is Scorpio?,"['rock music', 'rock and roll', 'rock', 'Rock']"
Beast,author,Ally Kennen,Who is the author of Beast?,['Ally Kennen']
Per amare Ofelia,director,Flavio Mogherini,Who was the director of Per amare Ofelia?,['Flavio Mogherini']
Neglected Aspects of Sufi Study,author,Idries Shah,Who is the author of Neglected Aspects of Sufi Study?,"['Idries Shah', 'Arkon Daraul']"
Jack Mackenzie,occupation,civil engineer,What is Jack Mackenzie's occupation?,['civil engineer']
Willie McCarter,sport,basketball,What sport does Willie McCarter play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
Zones,author,Damien Broderick,Who is the author of Zones?,"['Damien Broderick', 'Damien Francis Broderick', 'D. Broderick', 'D Broderick', 'Roger Delaney', 'Edgar Grieve', 'Jack Harding', 'Alan Harlison', 'Philip Jenkins', 'Horace West', 'Iago Yarrick', ""O'Flaherty Gribbles"", 'Rory Barnes']"
Daughter,screenwriter,Koo Hye-sun,Who was the screenwriter for Daughter?,"['Koo Hye-sun', 'Goo Hye-sun', 'Ku Hye-sun', 'Ku Hye-seon', 'Koo Hye-sun', 'Goo Hye-seon', 'Gu hye- seon']"
Simón Bolívar,genre,biographical film,What genre is Simón Bolívar?,"['biographical film', 'biopic', 'biography film', 'biography movie', 'biographical movie', 'biographical picture']"
One Nation,country,Israel,In what country is One Nation?,"['Israel', 'State of Israel', 'il', '🇮🇱', 'Holy Land', 'the Jewish state', 'ISR']"
Mélonin Noumonvi,place of birth,Paris,In what city was Mélonin Noumonvi born?,"['Paris', 'City of Light', 'Paris, France']"
Ernest Savard,sport,ice hockey,What sport does Ernest Savard play?,['ice hockey']
I Will Be There,composer,Van Morrison,Who was the composer of I Will Be There?,"['Van Morrison', 'George Morrison', 'George Ivan Morrison', 'Sir George Morrison', 'Sir George Ivan Morrison', 'Van the Man']"
Heaven,director,Diane Keaton,Who was the director of Heaven?,"['Diane Keaton', 'Diane Hall', 'Diane Hall Keaton']"
Giovanni Diodati,religion,Calvinism,What is the religion of Giovanni Diodati?,"['Calvinism', 'Reformed Christianity', 'Reformed Protestantism', 'Reformed faith', 'Reformed tradition', 'Reformed', 'Calvinist Christianity', 'Reformed church']"
Symphony No. 2,composer,Walter Piston,Who was the composer of Symphony No. 2?,"['Walter Piston', 'Walter Hamor Piston', 'Walter Hamor Piston Jr']"
Martin Shapiro,occupation,screenwriter,What is Martin Shapiro's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']"
Asleep,author,Banana Yoshimoto,Who is the author of Asleep?,"['Banana Yoshimoto', 'Yoshimoto Banana']"
Walter Tigers Tübingen,sport,basketball,What sport does Walter Tigers Tübingen play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
Eliza Lawrence,occupation,politician,What is Eliza Lawrence's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Cổ Linh,country,Vietnam,In what country is Cổ Linh?,"['Vietnam', 'Socialist Republic of Vietnam', 'VN', 'VIE', '🇻🇳', 'Việt Nam', 'Viet Nam', 'SRV', 'VNM']"
Removal,genre,experimental music,What genre is Removal?,"['experimental music', 'Experimental']"
2010 Hong Kong Super Series,sport,badminton,What sport does 2010 Hong Kong Super Series play?,['badminton']
About Love,director,Zhang Yibai,Who was the director of About Love?,"['Zhang Yibai', 'Zhang Xiaoling']"
Bogdan Andone,place of birth,Aiud,In what city was Bogdan Andone born?,"['Aiud', 'Nagyenyed', 'Straßburg am Mieresch']"
The Oak,screenwriter,Lucian Pintilie,Who was the screenwriter for The Oak?,['Lucian Pintilie']
Crime as Forgiven by Against Me!,genre,folk punk,What genre is Crime as Forgiven by Against Me!?,"['folk punk', 'rogue folk', 'Folk Punk']"
Desire,composer,Philip Vella,Who was the composer of Desire?,['Philip Vella']
Criteria,genre,indie rock,What genre is Criteria?,"['indie rock', 'Independent rock', 'Indie Rock']"
Serving You,genre,Cantopop,What genre is Serving You?,"['Cantopop', 'Cantonese popular music', 'HK-pop', 'Hong Kong pop music']"
"Hedwig of France, Countess of Nevers",father,Robert II of France,"Who is the father of Hedwig of France, Countess of Nevers?","['Robert II of France', 'Robert II']"
Mira Burt-Wintonick,father,Peter Wintonick,Who is the father of Mira Burt-Wintonick?,"['Peter Wintonick', 'Peter Kenneth Wintonick']"
One Night,director,Lucas Belvaux,Who was the director of One Night?,['Lucas Belvaux']
The Source,producer,Chuck Workman,Who was the producer of The Source?,"['Chuck Workman', 'Carl Workman']"
Narcisse-Fortunat Belleau,place of birth,Quebec City,In what city was Narcisse-Fortunat Belleau born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']"
The Scientific Cardplayer,director,Luigi Comencini,Who was the director of The Scientific Cardplayer?,['Luigi Comencini']
Free and Easy,director,George Sidney,Who was the director of Free and Easy?,['George Sidney']
To Live,composer,Tito Schipa,Who was the composer of To Live?,"['Tito Schipa', 'Raffaele Attilio Amedeo Schipa', 'Tito Skipa', 'Tito Shipa', 'Tito Skipu', 'Titus Schipa', 'Titto Shippa', 'Titto Skipa', 'Raffaele Schipa']"
I.P. Paul,place of birth,Thrissur,In what city was I.P. Paul born?,"['Thrissur', 'Thrichur', 'Thrissivaperur']"
Storm,author,Kevin Crossley-Holland,Who is the author of Storm?,"['Kevin Crossley-Holland', 'Kevin John William Crossley-Holland']"
Yoshifumi Tajima,place of birth,Kōbe,In what city was Yoshifumi Tajima born?,"['Kōbe', 'Kobe, Japan', 'Kobe']"
Žarko Petan,occupation,film director,What is Žarko Petan's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']"
Fear,author,Heather Graham Pozzessere,Who is the author of Fear?,"['Meg Cabot', 'Patricia Cabot', 'Jenny Carroll', 'Meggin Patricia Cabot', 'Meggin Cabot', 'Heather Graham Pozzessere', 'Heather Graham', 'Shannon Drake']"
The Band,director,Avi Nesher,Who was the director of The Band?,['Avi Nesher']
Easter,author,August Strindberg,Who is the author of Easter?,"['August Strindberg', 'Johan August Strindberg', 'A. Sṭrindberg', 'Augusts Strindbergs', 'August Johan Strindberg', 'Sutorintoberuku']"
Spas-Demensk,capital of,Spas-Demensky District,What is Spas-Demensk the capital of?,['Spas-Demensky District']
Scott Patterson,place of birth,Vancouver,In what city was Scott Patterson born?,"['Vancouver', 'City of Vancouver', 'Vancouver, BC', 'Vancouver, British Columbia']"
World Trade,genre,progressive rock,What genre is World Trade?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']"
Billy,country,France,In what country is Billy?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
The Gap,genre,comedy-drama,What genre is The Gap?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']"
Step Across the Border,composer,Fred Frith,Who was the composer of Step Across the Border?,"['Fred Frith', 'Jeremy Webster ""Fred"" Frith', 'Jeremy Webster Frith']"
The Old Lady,director,Amleto Palermi,Who was the director of The Old Lady?,['Amleto Palermi']
Showdown,author,Errol Flynn,Who is the author of Showdown?,"['Errol Flynn', 'Errol Leslie Thomson Flynn']"
The Well,author,Elizabeth Jolley,Who is the author of The Well?,"['Elizabeth Jolley', 'Monica Elizabeth Jolley', 'Monica Elizabeth Knight']"
Without You,composer,Lamont Dozier,Who was the composer of Without You?,"['Lamont Dozier', 'Lamont Herbert Dozier']"
Donald Robert Macgregor,occupation,politician,What is Donald Robert Macgregor's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Daniel Manzato,sport,ice hockey,What sport does Daniel Manzato play?,['ice hockey']
Gente di Roma,screenwriter,Ettore Scola,Who was the screenwriter for Gente di Roma?,['Ettore Scola']
The Lab,author,Jack Heath,Who is the author of The Lab?,['Jack Heath']
The Vision,director,Norman Stone,Who was the director of The Vision?,['Norman Stone']
Sons of Satan,screenwriter,Duccio Tessari,Who was the screenwriter for Sons of Satan?,['Duccio Tessari']
Wilson Rodrigues Fonseca,sport,association football,What sport does Wilson Rodrigues Fonseca play?,"['association football', 'football', 'soccer']"
Close to Home,author,Deborah Moggach,Who is the author of Close to Home?,"['Deborah Moggach', 'Deborah Hough']"
The Ram,author,"Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy",Who is the author of The Ram?,"[""Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy"", 'La Mothe, Marie-Catherine,', ""Madame d' Aulnoy"", ""Marie-Catherine de La Mothe d' Aulnoy"", ""Countess d'Aulnoy""]"
Options,author,Robert Sheckley,Who is the author of Options?,['Robert Sheckley']
The FJ Holden,director,Michael Thornhill,Who was the director of The FJ Holden?,['Michael Thornhill']
Smoke,author,Lisa Unger,Who is the author of Smoke?,"['Lisa Unger', 'Lisa Miscione']"
Muhammad Ibn Abi'l-Saj,father,Abi'l-Saj Devdad,Who is the father of Muhammad Ibn Abi'l-Saj?,"[""Abi'l-Saj Devdad""]"
Evil,genre,alternative rock,What genre is Evil?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']"
The Railroad,producer,Park Gok-ji,Who was the producer of The Railroad?,['Park Gok-ji']
Barbara Engel,place of birth,Hamburg,In what city was Barbara Engel born?,"['Hamburg', 'Free and Hanseatic City of Hamburg', 'Hamburg, Germany', 'Hamburg, Freie und Hansestadt']"
Save Me,producer,Chad Allen,Who was the producer of Save Me?,"['Judith Light', 'Judith Ellen Light', 'Chad Allen']"
The Other Place,author,Sharr White,Who is the author of The Other Place?,['Sharr White']
Escape,author,David McMillan,Who is the author of Escape?,['David McMillan']
Nizhneangarsk,capital of,Severo-Baykalsky District,What is Nizhneangarsk the capital of?,"['Severo-Baykalsky District', 'Severo-Baikalsky Raion', 'Severo-Baikalsky District', 'Severo-Baykalsky Raion']"
The Chief,director,Charles Reisner,Who was the director of The Chief?,['Charles Reisner']
Billy Whitehouse,sport,association football,What sport does Billy Whitehouse play?,"['association football', 'football', 'soccer']"
Something Special,author,Iris Murdoch,Who is the author of Something Special?,"['Iris Murdoch', 'Jean Iris Murdoch', 'Dame Iris Murdoch']"
The Millions,genre,alternative rock,What genre is The Millions?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']"
